,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
0,1e-05,0.1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.3,0.5,1e-05,1e-05,1e-05,1e-05
1,1e-05,0.1,0.7,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.1,1e-05,1e-05,1e-05,1e-05
2,1e-05,0.1,0.1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.6,1e-05,1e-05,1e-05,1e-05
3,1e-05,0.1,0.7,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
4,1e-05,0.2,0.4,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.2,1e-05,0.1,1e-05,1e-05,1e-05,1e-05,1e-05
5,1e-05,0.1,0.4,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.3,1e-05,1e-05,0.1,1e-05,1e-05,1e-05,1e-05
6,1e-05,1e-05,0.30000000000000004,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.3,1e-05,0.1,0.3,1e-05,1e-05,1e-05,1e-05
7,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.2,0.4,1e-05,0.1,1e-05,1e-05
8,1e-05,1e-05,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
9,1e-05,0.1,0.2,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
10,1e-05,1e-05,0.5,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,1e-05
11,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.1,0.3,1e-05,1e-05,1e-05,1e-05
12,1e-05,0.2,0.2,1e-05,1e-05,1e-05,1e-05,0.1,1e-05,0.2,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,1e-05
13,1e-05,1e-05,0.6000000000000001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.3,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
14,1e-05,1e-05,0.7999999999999999,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
15,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,0.3,1e-05,1e-05,0.3,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
16,1e-05,1e-05,0.6,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.2,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,1e-05
17,1e-05,1e-05,0.4,1e-05,1e-05,1e-05,0.1,1e-05,1e-05,0.3,1e-05,0.1,0.1,1e-05,1e-05,1e-05,1e-05
18,1e-05,1e-05,0.30000000000000004,1e-05,1e-05,1e-05,1e-05,1e-05,0.1,0.1,1e-05,1e-05,0.4,1e-05,1e-05,1e-05,1e-05
19,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.7,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,1e-05
20,1e-05,1e-05,0.5,1e-05,1e-05,1e-05,0.1,1e-05,1e-05,0.3,1e-05,0.1,1e-05,1e-05,1e-05,1e-05,1e-05
21,1e-05,0.3,0.4,1e-05,1e-05,1e-05,0.1,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
22,1e-05,0.1,0.1,1e-05,1e-05,1e-05,0.1,1e-05,1e-05,0.4,1e-05,0.2,0.1,1e-05,1e-05,1e-05,1e-05
23,1e-05,1e-05,0.7,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.2,1e-05,0.1,1e-05,1e-05,1e-05,1e-05,1e-05
24,1e-05,1e-05,0.5,1e-05,1e-05,1e-05,0.1,1e-05,1e-05,0.3,1e-05,1e-05,0.1,1e-05,1e-05,1e-05,1e-05
25,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,1e-05,1e-05,0.1,0.3,1e-05,0.2,0.2,1e-05,1e-05,1e-05,1e-05
26,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.4,1e-05,0.2,0.2,1e-05,1e-05,1e-05,1e-05
27,1e-05,1e-05,0.1,1e-05,1e-05,1e-05,0.3,1e-05,1e-05,0.5,1e-05,1e-05,0.1,1e-05,1e-05,1e-05,1e-05
28,1e-05,1e-05,0.2,1e-05,1e-05,1e-05,0.6,1e-05,1e-05,0.1,1e-05,1e-05,0.1,1e-05,1e-05,1e-05,1e-05
