,temporal,contingency,comparision,expansion
0,1e-05,1e-05,1e-05,1.0
1,1e-05,1e-05,1e-05,1.0
2,1e-05,1e-05,1e-05,1.0
3,1e-05,1e-05,0.1,0.8999999999999999
4,1e-05,0.3,0.30000000000000004,0.4
5,1e-05,1e-05,1e-05,1.0
6,1e-05,0.1,1e-05,0.8999999999999999
7,1e-05,1e-05,1e-05,1.0
8,1e-05,1e-05,1e-05,1.0
9,1e-05,0.2,1e-05,0.7999999999999999
10,1e-05,1e-05,1e-05,1.0
11,1e-05,0.1,1e-05,0.9
12,0.4,1e-05,1e-05,0.6
13,0.30000000000000004,0.4,0.1,0.2
14,1e-05,0.3,0.6,0.1
15,0.1,0.7999999999999999,1e-05,0.1
16,0.2,0.5,0.2,0.1
17,0.1,0.6,0.2,0.1
18,0.1,0.7,1e-05,0.2
19,0.1,0.1,1e-05,0.7999999999999999
20,0.1,1e-05,1e-05,0.9
21,0.1,0.1,1e-05,0.8
22,0.1,0.8,0.1,1e-05
23,0.2,0.8,1e-05,1e-05
24,0.3,0.6,1e-05,0.1
25,0.30000000000000004,0.4,0.1,0.2
26,0.4,0.1,1e-05,0.5
27,1e-05,1e-05,0.3,0.7
28,1e-05,1e-05,0.1,0.8999999999999999
29,1e-05,0.5,1e-05,0.5
30,1e-05,0.2,0.1,0.7
31,1e-05,0.1,1e-05,0.9
32,0.1,0.1,0.4,0.4
33,1e-05,1e-05,1e-05,1.0
34,0.1,0.2,1e-05,0.7
35,1e-05,0.7,0.1,0.2
36,1e-05,0.2,1e-05,0.7999999999999999
37,0.1,1e-05,0.1,0.7999999999999999
38,1e-05,0.3,1e-05,0.7
39,1e-05,0.4,0.2,0.4
40,0.1,1e-05,1e-05,0.9
41,0.1,1e-05,0.5,0.4
42,0.30000000000000004,1e-05,0.2,0.4
43,0.1,0.30000000000000004,0.3,0.30000000000000004
44,1e-05,1e-05,0.1,0.9
45,1e-05,0.1,0.5,0.4
46,1e-05,1e-05,0.2,0.8
47,1e-05,0.2,1e-05,0.8
48,0.5,1e-05,0.1,0.4
49,0.30000000000000004,0.2,0.30000000000000004,0.2
50,1e-05,0.1,1e-05,0.8
51,1e-05,0.1,0.7000000000000001,0.2
52,0.1,1e-05,0.1,0.7999999999999999
53,0.1,0.1,0.2,0.6000000000000001
54,1e-05,0.5,1e-05,0.5
55,1e-05,0.5,0.1,0.4
56,1e-05,1e-05,1e-05,1.0
57,0.1,1e-05,0.1,0.7999999999999999
58,1e-05,0.5,1e-05,0.5
59,0.30000000000000004,1e-05,1e-05,0.7000000000000001
60,1e-05,1e-05,0.30000000000000004,0.7
61,1e-05,0.3,0.1,0.6
62,1e-05,1e-05,0.4,0.6
63,1e-05,1e-05,1e-05,1.0
64,1e-05,1e-05,1e-05,1.0
65,0.1,0.2,0.1,0.6
66,0.2,1e-05,0.2,0.6
67,1e-05,1e-05,0.1,0.8999999999999999
68,0.1,0.1,1e-05,0.8
69,0.7,0.2,1e-05,0.1
70,0.6,1e-05,1e-05,0.4
71,0.1,1e-05,1e-05,0.8999999999999999
72,0.30000000000000004,1e-05,0.2,0.5
73,0.4,1e-05,0.2,0.4
74,0.30000000000000004,0.1,0.2,0.4
75,0.6000000000000001,1e-05,1e-05,0.4
76,1e-05,0.1,0.30000000000000004,0.6000000000000001
77,0.1,1e-05,0.7,0.1
78,0.1,1e-05,0.8,0.1
79,1e-05,0.2,1e-05,0.7999999999999999
80,0.2,0.4,1e-05,0.2
81,0.4,0.30000000000000004,1e-05,0.2
82,0.4,0.4,0.1,0.1
83,0.30000000000000004,0.2,1e-05,0.5
84,0.6,0.1,0.1,0.2
85,0.30000000000000004,1e-05,0.2,0.5
86,0.3,0.3,0.1,0.30000000000000004
87,1e-05,0.2,1e-05,0.8
88,0.1,1e-05,0.7,0.2
89,1e-05,1e-05,0.5,0.5
90,1e-05,0.1,0.1,0.8
91,0.2,0.5,1e-05,0.30000000000000004
92,0.1,0.7,1e-05,0.2
93,1e-05,1e-05,1e-05,1.0000000000000002
94,1e-05,1e-05,1e-05,1.0
95,1e-05,0.1,1e-05,0.9
96,0.4,1e-05,0.3,0.30000000000000004
97,0.1,1e-05,1e-05,0.9
98,1e-05,0.2,0.1,0.7000000000000001
99,1e-05,0.1,0.2,0.7
100,1e-05,0.2,1e-05,0.7999999999999999
101,1e-05,0.2,1e-05,0.7999999999999999
102,1e-05,0.2,0.1,0.7000000000000001
103,0.1,0.5,0.1,0.30000000000000004
104,1e-05,0.5,1e-05,0.5
105,0.1,0.30000000000000004,0.1,0.5
106,1e-05,0.4,1e-05,0.6000000000000001
107,1e-05,0.6,1e-05,0.4
108,1e-05,0.2,1e-05,0.8
109,1e-05,0.3,0.2,0.5
110,1e-05,0.2,1e-05,0.8
111,1e-05,1e-05,1e-05,1.0
112,0.1,0.2,0.30000000000000004,0.4
113,1e-05,1e-05,0.7,0.30000000000000004
114,1e-05,1e-05,1e-05,0.9999999999999999
115,0.1,0.30000000000000004,1e-05,0.6000000000000001
116,1e-05,0.1,1e-05,0.8999999999999999
117,1e-05,1e-05,0.4,0.6000000000000001
118,0.1,0.2,0.2,0.5
119,0.1,1e-05,1e-05,0.9
120,1e-05,1e-05,1e-05,1.0000000000000002
121,0.1,1e-05,1e-05,0.9
122,1e-05,1e-05,1e-05,1.0
123,0.30000000000000004,1e-05,1e-05,0.7000000000000001
124,1e-05,1e-05,1e-05,1.0
125,1e-05,0.1,1e-05,0.9
126,1e-05,1e-05,1e-05,1.0
127,0.1,0.1,1e-05,0.8
128,1e-05,1e-05,1e-05,1.0
129,1e-05,0.2,1e-05,0.7999999999999999
130,0.30000000000000004,1e-05,0.5,0.2
131,0.1,0.2,1e-05,0.7
132,0.6,1e-05,1e-05,0.4
133,1e-05,0.1,1e-05,0.8999999999999999
134,0.4,0.1,1e-05,0.5
135,1e-05,0.6,1e-05,0.4
136,1e-05,1e-05,1e-05,1.0
137,1e-05,0.1,1e-05,0.9
138,1e-05,0.1,0.1,0.8
139,1e-05,1e-05,0.30000000000000004,0.7
140,1e-05,0.1,0.1,0.7999999999999999
141,0.1,1e-05,0.3,0.6000000000000001
142,0.3,0.1,0.1,0.5
143,0.2,1e-05,0.4,0.4
144,1e-05,1e-05,1e-05,1.0
145,1e-05,0.2,0.1,0.7
146,1e-05,0.1,1e-05,0.9
147,1e-05,1e-05,0.1,0.9
148,1e-05,0.1,0.1,0.8
149,1e-05,0.4,0.4,0.2
150,1e-05,0.5,0.1,0.4
151,1e-05,1e-05,0.6,0.4
152,1e-05,1e-05,1e-05,1.0
153,1e-05,0.1,1e-05,0.8999999999999999
154,0.1,1e-05,0.30000000000000004,0.6
155,1e-05,1e-05,1e-05,0.9
156,1e-05,1e-05,1e-05,1.0
157,1e-05,1e-05,1e-05,0.8999999999999999
158,1e-05,1e-05,1e-05,1.0
159,0.5,0.1,1e-05,0.4
160,0.2,0.1,1e-05,0.7
161,0.2,0.1,0.3,0.4
162,0.4,0.2,0.1,0.30000000000000004
163,0.2,0.5,1e-05,0.30000000000000004
164,0.3,0.3,0.1,0.30000000000000004
165,0.7,1e-05,1e-05,0.30000000000000004
166,0.4,0.2,0.1,0.3
167,1e-05,1e-05,1e-05,1.0
168,1e-05,1e-05,1e-05,1.0
169,1e-05,0.1,1e-05,0.9000000000000001
170,1e-05,0.1,0.1,0.7999999999999999
171,1e-05,0.2,0.2,0.6
172,0.1,1e-05,1e-05,0.8999999999999999
173,1e-05,1e-05,1e-05,1.0
174,1e-05,0.2,0.1,0.7
175,1e-05,0.6000000000000001,0.1,0.30000000000000004
176,0.1,0.2,1e-05,0.7
177,1e-05,0.5,1e-05,0.5
178,1e-05,0.1,0.1,0.8
179,0.1,0.1,0.1,0.7
180,1e-05,0.1,0.3,0.6000000000000001
181,1e-05,0.8,1e-05,0.2
182,0.1,1e-05,0.2,0.7
183,0.30000000000000004,1e-05,1e-05,0.7000000000000001
184,0.1,0.2,0.1,0.6000000000000001
185,1e-05,1e-05,1e-05,1.0
186,1e-05,0.1,0.5,0.4
187,1e-05,0.2,0.6,0.2
188,1e-05,0.1,0.30000000000000004,0.6000000000000001
189,1e-05,0.2,1e-05,0.8
190,1e-05,0.2,0.1,0.7
191,1e-05,0.1,0.1,0.8
192,1e-05,0.1,1e-05,0.9
193,1e-05,1e-05,0.1,0.9000000000000001
194,1e-05,1e-05,0.1,0.9
195,1e-05,0.1,0.2,0.7
196,1e-05,0.2,1e-05,0.8
197,1e-05,0.1,1e-05,0.9
198,1e-05,1e-05,0.4,0.6000000000000001
199,0.1,1e-05,0.7,0.2
200,1e-05,0.1,1e-05,0.9
201,0.1,0.1,1e-05,0.8
