,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
0,-1.2626590106868105,-1.2626590106868105,-1.2626590106868105,-1.2626590106868105,-1.2626590106868105,-1.2626590106868105,-1.2626590106868105,-1.2626590106868105,-1.2626590106868105,9.893591510344686,-1.2626590106868105,-1.2626590106868105,9.046293649957482,-1.2626590106868105,-1.2626590106868105,-1.2626590106868105,-1.2626590106868105
1,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,9.731586042715984,-1.2705137984882542,-1.2705137984882542,9.32612093460782,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542
2,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,9.731586042715984,-1.2705137984882542,-1.2705137984882542,9.32612093460782,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542,-1.2705137984882542
3,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,7.429747522238311,9.375657671293625,-1.7805928497378714,-1.7805928497378714,8.122894702798257,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714
4,-2.8789455069280634,-2.8789455069280634,7.430007153716229,-2.8789455069280634,-2.8789455069280634,-2.8789455069280634,6.331394865048119,7.024542045608064,-2.8789455069280634,-2.8789455069280634,-2.8789455069280634,6.331394865048119,7.430007153716229,-2.8789455069280634,-2.8789455069280634,-2.8789455069280634,-2.8789455069280634
5,-1.2466629097760076,-1.2466629097760076,-1.2466629097760076,-1.2466629097760076,-1.2466629097760076,-1.2466629097760076,-1.2466629097760076,-1.2466629097760076,-1.2466629097760076,8.656824642760121,-1.2466629097760076,-1.2466629097760076,10.043119003880012,-1.2466629097760076,-1.2466629097760076,-1.2466629097760076,-1.2466629097760076
6,-1.7805928497378714,-1.7805928497378714,7.429747522238311,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,9.375657671293625,-1.7805928497378714,-1.7805928497378714,8.122894702798257,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714,-1.7805928497378714
7,-2.326435981706289,-2.326435981706289,-2.326435981706289,-2.326435981706289,-2.326435981706289,-2.326435981706289,-2.326435981706289,-2.326435981706289,-2.326435981706289,6.883904390269893,-2.326435981706289,7.982516678938003,8.493342302703994,6.883904390269893,-2.326435981706289,-2.326435981706289,-2.326435981706289
8,-2.3433584565563943,-2.3433584565563943,-2.3433584565563943,-2.3433584565563943,-2.3433584565563943,-2.3433584565563943,-2.3433584565563943,-2.3433584565563943,-2.3433584565563943,7.560129095979733,-2.3433584565563943,6.866981915419788,8.476419827853888,7.560129095979733,-2.3433584565563943,-2.3433584565563943,-2.3433584565563943
9,-2.3540832540148635,-2.3540832540148635,7.549404298521265,-2.3540832540148635,-2.3540832540148635,-2.3540832540148635,-2.3540832540148635,-2.3540832540148635,-2.3540832540148635,8.24255147908121,-2.3540832540148635,-2.3540832540148635,7.954869406629429,-2.3540832540148635,6.856257117961319,-2.3540832540148635,-2.3540832540148635
