,synchronous+++,precedence+++,succession,reason+++,result+++,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier+++,arg2-as-denier+++,contrast+++,similarity+++,conjunction+++,disjunction,arg1-as-instance,arg2-as-instance+++,arg1-as-detail+++,arg2-as-detail+++,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous+++,0.9918578802701605,0.03692024762635215,0.0,0.02362488125121763,0.015370847908988924,0.0,0.0,0.0,0.0,0.0,0.0,0.007649953561789899,0.020005942267704774,0.01148250460699213,0.0037682459619758444,0.0016922465465397402,0.0,0.0,0.021137154915771554,0.002563693247942623,0.0344915605536452,0.0,0.0,0.0,0.0,0.0,0.0
precedence+++,0.03692024762635215,0.9990847325224013,0.007547560538992893,0.08183223144599461,0.03642919484265526,0.0,0.0,0.0,0.0,0.0,0.0,0.038075788315969264,0.03551798934325663,0.0450799145269625,0.0332278837073504,0.10090355647539435,0.0,0.0,0.07186773645533079,0.025594841315649895,0.15238393927070062,0.0,0.0,0.0,0.0,0.0,0.0
succession,0.0,0.007547560538992893,0.9582563273268649,0.004660757610652509,0.025884445019518823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002390922635969322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02507041841873114,0.0,0.0,0.0,0.0,0.0,0.0
reason+++,0.02362488125121763,0.08183223144599461,0.004660757610652509,0.9988063125057344,0.14115221941546835,0.0,0.0,0.0,0.0,0.0,0.0,0.026321993202212353,0.055942701196377995,0.024924566378060804,0.027671535613074606,0.12168274420520682,0.0,0.0,0.030729722481580016,0.0020106250380015657,0.009476774531472588,0.0,0.0,0.0,0.0,0.0,0.0
result+++,0.015370847908988924,0.03642919484265526,0.025884445019518823,0.14115221941546835,0.9996486596785319,0.0,0.0,0.0,0.0,0.0046846166092802625,0.0,0.05258723055800125,0.06908890301321044,0.0777855070193319,0.057742797055790406,0.21594482185072303,0.0,0.0,0.1300038901537628,0.025069079516702498,0.24632260967255698,0.0,0.0,0.0,0.0,0.0,0.00727703157856678
arg1-as-cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-goal,0.0,0.0,0.0,0.0,0.0046846166092802625,0.0,0.0,0.0,0.0,0.49992312423124224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-denier+++,0.007649953561789899,0.038075788315969264,0.0,0.026321993202212353,0.05258723055800125,0.0,0.0,0.0,0.0,0.0,0.0,0.9957894477930362,0.08002626925692077,0.008599028007199356,0.010200498621338162,0.08184302829257252,0.0,0.0,0.031967403635705306,0.008845044817009961,0.038156533930361024,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier+++,0.020005942267704774,0.03551798934325663,0.002390922635969322,0.055942701196377995,0.06908890301321044,0.0,0.0,0.0,0.0,0.0,0.0,0.08002626925692077,0.9985022950227843,0.02488203840692666,0.023650794335833714,0.11019972945074395,0.0,0.0,0.0439568193623658,0.008541013114778692,0.10415640870418051,0.0,0.0,0.0,0.0,0.0,0.0038031447708209896
contrast+++,0.01148250460699213,0.0450799145269625,0.0,0.024924566378060804,0.0777855070193319,0.0,0.0,0.0,0.0,0.0,0.0,0.008599028007199356,0.02488203840692666,0.9970800894870654,0.005712544033227248,0.07311758399851613,0.0,0.0,0.03560717417027441,0.012800896521213927,0.06615165650433573,0.0,0.0,0.0,0.0,0.0,0.002478323491668478
similarity+++,0.0037682459619758444,0.0332278837073504,0.0,0.027671535613074606,0.057742797055790406,0.0,0.0,0.0,0.0,0.0,0.0,0.010200498621338162,0.023650794335833714,0.005712544033227248,0.9936721789883269,0.09075522640394683,0.0,0.0,0.007106920220946882,0.0,0.047030451588101325,0.0,0.0,0.0,0.0,0.0,0.0
conjunction+++,0.0016922465465397402,0.10090355647539435,0.0,0.12168274420520682,0.21594482185072303,0.0,0.0,0.0,0.0,0.0,0.0,0.08184302829257252,0.11019972945074395,0.07311758399851613,0.09075522640394683,0.9996641639784296,0.00376726570898882,0.0,0.10520735138263455,0.060188033375536194,0.11032594025983045,0.0,0.0,0.0,0.0,0.0,0.030960931619129866
disjunction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00376726570898882,0.49992312423124224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-instance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-instance+++,0.021137154915771554,0.07186773645533079,0.0,0.030729722481580016,0.1300038901537628,0.0,0.0,0.0,0.0,0.0,0.0,0.031967403635705306,0.0439568193623658,0.03560717417027441,0.007106920220946882,0.10520735138263455,0.0,0.0,0.9986094401591117,0.010207527595888121,0.059174998786443056,0.0,0.0,0.0,0.0,0.0,0.004545210817220338
arg1-as-detail+++,0.002563693247942623,0.025594841315649895,0.0,0.0020106250380015657,0.025069079516702498,0.0,0.0,0.0,0.0,0.0,0.0,0.008845044817009961,0.008541013114778692,0.012800896521213927,0.0,0.060188033375536194,0.0,0.0,0.010207527595888121,0.9927794427794427,0.017105125183694815,0.0,0.0,0.0,0.0,0.0,0.0
