,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,0.9736071214112989,0.015790836803267136,0.0,0.0035572129676227316,0.02571599724159685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009297095575019149,0.0,0.0,0.005069543538679756,0.0,0.0,0.0024503434613784582,0.0,0.016264382444585578,0.0,0.0,0.0,0.0,0.0,0.0
precedence,0.015790836803267136,0.9986680999180999,0.0,0.04333865991753222,0.08179058607581818,0.0,0.0,0.0,0.0,0.0,0.0,0.018058837346018274,0.03489881943537514,0.027579458565025184,0.010299194222464874,0.08880407060160984,0.0,0.0,0.04669958883621804,0.00939994104733172,0.09625001944637021,0.0,0.0,0.0,0.0,0.0,0.0
succession,0.0,0.0,0.7499231124096569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reason,0.0035572129676227316,0.04333865991753222,0.0,0.9979515088609445,0.09802811908919482,0.0,0.0,0.0,0.0,0.0,0.0,0.012511381518747443,0.027895480327291035,0.020479107741318336,0.005721830564006886,0.09566818575040203,0.0,0.0,0.014268970400782115,0.004907823238293426,0.03710494562498932,0.0,0.0,0.0,0.0,0.0,0.0
result,0.02571599724159685,0.08179058607581818,0.0,0.09802811908919482,0.9995586409751613,0.0,0.0,0.0,0.0,0.0,0.0,0.03503950686685582,0.08132098347169466,0.055862955317460675,0.02363702453425032,0.21374645014358218,0.0,0.0,0.09279919637736421,0.03527137812789171,0.18275724683893463,0.0,0.0,0.0,0.0,0.0,0.0008109313237275534
arg1-as-cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-denier,0.0,0.018058837346018274,0.0,0.012511381518747443,0.03503950686685582,0.0,0.0,0.0,0.0,0.0,0.0,0.9892842787767768,0.0,0.0,0.0,0.0435512529483498,0.0,0.0,0.011181249799426952,0.0,0.02966543910747717,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier,0.0009297095575019149,0.03489881943537514,0.0,0.027895480327291035,0.08132098347169466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972892444888943,0.0,0.003026576028787514,0.07873117905348738,0.0,0.0,0.03033437483330703,0.0022420799199235797,0.061750946696552594,0.0,0.0,0.0,0.0,0.0,0.0
contrast,0.0,0.027579458565025184,0.0,0.020479107741318336,0.055862955317460675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943665021217633,0.0,0.04927113126691693,0.0,0.0,0.018818906471245882,0.0,0.04300212155060694,0.0,0.0,0.0,0.0,0.0,0.0
similarity,0.0,0.010299194222464874,0.0,0.005721830564006886,0.02363702453425032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003026576028787514,0.0,0.9790895180784859,0.043494734004632475,0.0,0.0,0.004580738078344459,0.0,0.019291797009450464,0.0,0.0,0.0,0.0,0.0,0.0
conjunction,0.005069543538679756,0.08880407060160984,0.0,0.09566818575040203,0.21374645014358218,0.0,0.0,0.0,0.0,0.0,0.0,0.0435512529483498,0.07873117905348738,0.04927113126691693,0.043494734004632475,0.9995566962647725,0.0,0.0,0.08833387380801196,0.028047615515951085,0.12294627716699898,0.0,0.0,0.0,0.0,0.0,0.011963974578182143
disjunction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49992312423124224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-instance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-instance,0.0024503434613784582,0.04669958883621804,0.0,0.014268970400782115,0.09279919637736421,0.0,0.0,0.0,0.0,0.0,0.0,0.011181249799426952,0.03033437483330703,0.018818906471245882,0.004580738078344459,0.08833387380801196,0.0,0.0,0.9976981599433828,0.003781284468209481,0.02753250690663647,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-detail,0.0,0.00939994104733172,0.0,0.004907823238293426,0.03527137812789171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022420799199235797,0.0,0.0,0.028047615515951085,0.0,0.0,0.003781284468209481,0.9771956024848203,0.010157572542973902,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-detail,0.016264382444585578,0.09625001944637021,0.0,0.03710494562498932,0.18275724683893463,0.0,0.0,0.0,0.0,0.0,0.0,0.02966543910747717,0.061750946696552594,0.04300212155060694,0.019291797009450464,0.12294627716699898,0.0,0.0,0.02753250690663647,0.010157572542973902,0.9993022931548576,0.0,0.0,0.0,0.0,0.0,0.0
equivalence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-manner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-manner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
