,synchronous+++,asynchronous+++,cause+++,condition,negative-condition,purpose,concession+++,contrast+++,similarity+++,conjunction+++,disjunction,instantiation+++,level-of-detail+++,equivalence,manner,exception,substitution
synchronous+++,0.8999230769230769,0.0,0.0075826841130881804,0.0,0.0,0.0,0.0,0.0,0.0,0.0029162944931058307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asynchronous+++,0.0,0.9981403063791636,0.10362740898179376,0.0,0.0,0.0,0.032059455663569804,0.015491720836424343,0.0,0.07659882864585704,0.0,0.028153553959955537,0.06476841703150844,0.0,0.0,0.0,0.0
cause+++,0.0075826841130881804,0.10362740898179376,0.9995393878935984,0.0,0.0,0.0,0.08858573951208762,0.045796362437416784,0.014226062480224275,0.1995976059717982,0.0,0.073827467860083,0.1472766008035123,0.0,0.0,0.0,0.0
condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
negative-condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purpose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concession+++,0.0,0.032059455663569804,0.08858573951208762,0.0,0.0,0.0,0.9975051507801724,0.002393168590788666,0.0,0.07066550321755109,0.0,0.02320952616787189,0.05485570406522111,0.0,0.0,0.0,0.0
contrast+++,0.0,0.015491720836424343,0.045796362437416784,0.0,0.0,0.0,0.002393168590788666,0.990831571529246,0.0,0.03419558504553958,0.0,0.0074819741614299854,0.02576758983952205,0.0,0.0,0.0,0.0
similarity+++,0.0,0.0,0.014226062480224275,0.0,0.0,0.0,0.0,0.0,0.9443674740010948,0.0033241078686282693,0.0,0.0,0.00428908146880673,0.0,0.0,0.0,0.0
conjunction+++,0.0029162944931058307,0.07659882864585704,0.1995976059717982,0.0,0.0,0.0,0.07066550321755109,0.03419558504553958,0.0033241078686282693,0.9993460602770572,0.0,0.04965881696091894,0.12107998320978916,0.0,0.0,0.0,0.0
disjunction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instantiation+++,0.0,0.028153553959955537,0.073827467860083,0.0,0.0,0.0,0.02320952616787189,0.0074819741614299854,0.0,0.04965881696091894,0.0,0.99619017610113,0.03557785467964107,0.0,0.0,0.0,0.0
level-of-detail+++,0.0,0.06476841703150844,0.1472766008035123,0.0,0.0,0.0,0.05485570406522111,0.02576758983952205,0.00428908146880673,0.12107998320978916,0.0,0.03557785467964107,0.9990446170449131,0.0,0.0,0.0,0.0
equivalence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
substitution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499231124096569
