,synchronous+++,precedence+++,succession,reason+++,result+++,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier+++,arg2-as-denier+++,contrast+++,similarity+++,conjunction+++,disjunction,arg1-as-instance,arg2-as-instance+++,arg1-as-detail+++,arg2-as-detail+++,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous+++,0.9637213801999355,0.02090263154243096,0.0,0.036381289451828475,0.025053938332334987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00652724506401651,0.0,0.029206901279179263,0.0,0.0,0.013327828642291603,0.0,0.06793479635978762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precedence+++,0.02090263154243096,0.9925460900101041,0.2422074158448119,0.09919736736136078,0.03185403377391129,0.0,0.0,0.0,0.0,0.0,0.0,0.01207949680235937,0.0,0.03679042540308294,0.0,0.15900366615536696,0.0,0.01207949680235937,0.06730319014937908,0.01452824976482535,0.13427982713047543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
succession,0.0,0.2422074158448119,0.9637213801999355,0.036381289451828475,0.025053938332334987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06541380369138496,0.0,0.0,0.0,0.0,0.04788846300771914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reason+++,0.036381289451828475,0.09919736736136078,0.036381289451828475,0.9952259200712928,0.16643090536694935,0.0,0.0,0.0,0.0,0.0,0.0,0.02623959786439562,0.007546989822956077,0.06403419172023539,0.0,0.17295839546065583,0.007546989822956077,0.02623959786439562,0.025760439609357536,0.029017986301619347,0.05898407369002898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result+++,0.025053938332334987,0.03185403377391129,0.025053938332334987,0.16643090536694935,0.9963067528971471,0.0,0.0,0.0,0.0,0.02713541201843457,0.0026508326708053207,0.009413792396634344,0.0,0.08484387162437576,0.021357291936186358,0.2656269353010075,0.0,0.0,0.11534743778617788,0.01378979010078998,0.20218713302595664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-goal,0.0,0.0,0.0,0.0,0.02713541201843457,0.0,0.0,0.0,0.0,0.4994438264738598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
