,synchronous+++,asynchronous+++,cause+++,condition,negative-condition,purpose,concession+++,contrast+++,similarity+++,conjunction+++,disjunction,instantiation+++,level-of-detail+++,equivalence,manner,exception,substitution
synchronous+++,0.986598767086572,0.06177739674962565,0.028020304245969695,0.0,0.0,0.016020190846927084,0.04030850331142002,0.01007648098440525,0.0,0.026946516064136956,0.0,0.08299886620858421,0.06171196137827229,0.0,0.0,0.0,0.0
asynchronous+++,0.06177739674962565,0.9959122124922786,0.012795757836451737,0.0,0.0,0.020861924668271838,0.0766854175285886,0.052608344555459166,0.0380672143705254,0.229604973064224,0.00780244366057164,0.1496210827906145,0.17002777250746068,0.0,0.00351427368902956,0.0,0.0
cause+++,0.028020304245969695,0.012795757836451737,0.9977766798418971,0.03762732657013721,0.0,0.09707889819512662,0.07359201014101975,0.1768692895250534,0.09963408887193255,0.26879099794652683,0.017757205231489458,0.12934499167699695,0.21603810023268932,0.0,0.03416392382307731,0.0,0.0
condition,0.0,0.0,0.03762732657013721,0.9369394618834082,0.0,0.023338048808202613,0.0,0.012128928007666172,0.0,0.03946145492726157,0.0,0.008980296120818198,0.033835272165424195,0.0,0.046427927763844926,0.0,0.0
negative-condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purpose,0.016020190846927084,0.020861924668271838,0.09707889819512662,0.023338048808202613,0.0,0.9767032511907229,0.028370066780914145,0.041156474116860915,0.000635504401438509,0.0,0.0,0.01744001759717587,0.04755963272345579,0.0,0.0,0.0,0.0
concession+++,0.04030850331142002,0.0766854175285886,0.07359201014101975,0.0,0.0,0.028370066780914145,0.9912073311319097,0.26879226544951806,0.0,0.06809642998580673,0.009878685348598279,0.010468833513344525,0.10131019067769324,0.0,0.0074968544885005975,0.05734873696441318,0.0
contrast+++,0.01007648098440525,0.052608344555459166,0.1768692895250534,0.012128928007666172,0.0,0.041156474116860915,0.26879226544951806,0.9938874475339246,0.03361029037089321,0.04246374864226476,0.04655006142001116,0.07623968058325456,0.14885516124234024,0.0,0.017970819055721086,0.044128548816113694,0.0
similarity+++,0.0,0.0380672143705254,0.09963408887193255,0.0,0.0,0.000635504401438509,0.0,0.03361029037089321,0.9756216479765969,0.09351427106294723,0.08328729907289399,0.03513579969439923,0.0,0.0,0.0,0.0,0.0
conjunction+++,0.026946516064136956,0.229604973064224,0.26879099794652683,0.03946145492726157,0.0,0.0,0.06809642998580673,0.04246374864226476,0.09351427106294723,0.9975951775293389,0.031886173218011855,0.009709465713437159,0.16000659392956723,0.011018778604107075,0.04141207148927168,0.009560422670756777,0.0
disjunction,0.0,0.00780244366057164,0.017757205231489458,0.0,0.0,0.0,0.009878685348598279,0.04655006142001116,0.08328729907289399,0.031886173218011855,0.9539830248491665,0.033304813094831826,0.05870594398658468,0.0,0.0,0.0,0.0
instantiation+++,0.08299886620858421,0.1496210827906145,0.12934499167699695,0.008980296120818198,0.0,0.01744001759717587,0.010468833513344525,0.07623968058325456,0.03513579969439923,0.009709465713437159,0.033304813094831826,0.9957206436152003,0.044865767187981485,0.0,0.030399813297004058,0.0,0.0
level-of-detail+++,0.06171196137827229,0.17002777250746068,0.21603810023268932,0.033835272165424195,0.0,0.04755963272345579,0.10131019067769324,0.14885516124234024,0.0,0.16000659392956723,0.05870594398658468,0.044865767187981485,0.9977770752237743,0.0,0.05112353274365837,0.0,0.0
equivalence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011018778604107075,0.0,0.0,0.0,0.7494432071269487,0.0,0.0,0.0
manner,0.0,0.00351427368902956,0.03416392382307731,0.046427927763844926,0.0,0.0,0.0074968544885005975,0.017970819055721086,0.0,0.04141207148927168,0.0,0.030399813297004058,0.05112353274365837,0.0,0.9494382022471911,0.0,0.0
exception,0.0,0.0,0.0,0.0,0.0,0.0,0.05734873696441318,0.044128548816113694,0.0,0.009560422670756777,0.0,0.0,0.0,0.0,0.0,0.4994438264738598,0.0
substitution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
