,synchronous+++,precedence+++,succession,reason+++,result+++,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier+++,arg2-as-denier+++,contrast+++,similarity+++,conjunction+++,disjunction,arg1-as-instance,arg2-as-instance+++,arg1-as-detail+++,arg2-as-detail+++,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous+++,1.0,0.5057011856263404,0.7082928081934088,0.22765132438595725,0.15879720585313348,0.7925983340772232,0.7890435861927195,0.7882831267746221,0.7925983340772232,0.7887189926415435,0.7894098938049473,0.43264602373658495,0.3168491148571062,0.43149544368020165,0.5507198412083161,0.181706342044617,0.7845602419653261,0.7420693681382841,0.22886471766225183,0.4072367429080706,0.07154241858271933,0.7159241132977635,0.789155761478692,0.7784498178040485,0.7913876927916371,0.7888564186952359,0.6875308878781208
precedence+++,0.5057011856263404,1.0,0.45770018990441114,0.047761866868783635,0.15369117128293433,0.5037546241658405,0.4991223529800072,0.500247661963707,0.5037546241658405,0.5007858134120463,0.5027240966908589,0.22595448065353702,0.20327461980035344,0.23117031347771122,0.33062754475025763,0.07583040534410854,0.49605438414710273,0.462826517664881,0.07569175552944984,0.21680975975863134,-0.08049385618024821,0.44644197328908003,0.5011002174794882,0.4943692287423083,0.502545127832118,0.5001592953470811,0.42288061783538616
succession,0.7082928081934088,0.45770018990441114,1.0,0.3105502176426863,0.17732893455465717,0.8808226238914095,0.876266466814011,0.876503360583668,0.8808226238914095,0.8783969633294606,0.876955009513524,0.5231579499514792,0.35314241355003206,0.5070602968771966,0.6300088661324038,0.2045387022844351,0.8717592956682135,0.824059680127831,0.32964917486759326,0.4881825633926624,0.12489146935523895,0.8002836087090475,0.8754529465659012,0.8678499395769244,0.8796101620784649,0.8751843155087957,0.7590974396750313
reason+++,0.22765132438595725,0.047761866868783635,0.3105502176426863,1.0,0.006306088617530411,0.3737001235136348,0.3718605215585529,0.3740838846966765,0.3737001235136348,0.37078389169305864,0.3731010660205026,0.20891695576974936,0.05935907539076103,0.1961535085220487,0.23470668226860736,-0.0033333817032792402,0.3699818911436317,0.3528714913382326,0.17947980093373606,0.26423809436237694,0.10606556072922582,0.3554896331115111,0.3715046642771541,0.3680188128149182,0.37334824919640947,0.370743904282205,0.3251571346296698
result+++,0.15879720585313348,0.15369117128293433,0.17732893455465717,0.006306088617530411,1.0,0.23441208795003773,0.23225513821124322,0.23288892473722128,0.23441208795003773,0.23389528920998182,0.23223470652876008,0.07858586876126314,0.0725637368910585,0.06229389730384902,0.1362989462853296,-0.09249608381585002,0.22969721762302422,0.21038979853498338,-0.005665692908421317,0.16161244974580086,-0.1574385921634554,0.2157512931035788,0.23235160008294106,0.2321119527002305,0.2342010890208996,0.2314844777445341,0.19554786518404094
arg1-as-cond,0.7925983340772232,0.5037546241658405,0.8808226238914095,0.3737001235136348,0.23441208795003773,1.0,0.9947455640448912,0.9956782261489459,0.9999999999999998,0.995080885464538,0.9961294197169475,0.5858042274229539,0.41457355450323774,0.5787899521302114,0.7239072674830166,0.23661432282527062,0.9898624079698174,0.9389964510751782,0.3780353560362406,0.5872160202438893,0.1393592932166923,0.917213351766614,0.9946265021361756,0.9858292442833603,0.9987867353730225,0.9943581313992963,0.8735876351644728
arg2-as-cond,0.7890435861927195,0.4991223529800072,0.876266466814011,0.3718605215585529,0.23225513821124322,0.9947455640448912,1.0,0.9904239148913202,0.9947455640448911,0.9898267711176371,0.9908751887869741,0.583344032136611,0.4139767207769111,0.5751896637401638,0.71977631909109,0.23344683755594428,0.9846083934599104,0.9361189392976239,0.37786157124138997,0.5836814480432564,0.1378270216869685,0.9119612602381045,0.9893721516674241,0.9805752172600746,0.9935323270691256,0.9891037784417392,0.8683372823581871
arg1-as-negcond,0.7882831267746221,0.500247661963707,0.876503360583668,0.3740838846966765,0.23288892473722128,0.9956782261489459,0.9904239148913202,1.0,0.9956782261489459,0.9907592437353716,0.9918078255251335,0.5826099506376337,0.4144348577153534,0.576016931931018,0.7207362306791096,0.23457890666543807,0.9867667848213886,0.9346757356881522,0.37632850407494567,0.5867884214044782,0.1378785415903578,0.9128923810797825,0.9903046201403536,0.981507537753873,0.9956342655208115,0.9900364461317919,0.8692678569407125
arg2-as-negcond,0.7925983340772232,0.5037546241658405,0.8808226238914095,0.3737001235136348,0.23441208795003773,0.9999999999999998,0.9947455640448911,0.9956782261489459,1.0,0.995080885464538,0.9961294197169475,0.5858042274229539,0.41457355450323774,0.5787899521302114,0.7239072674830166,0.23661432282527062,0.9898624079698174,0.9389964510751782,0.3780353560362406,0.5872160202438893,0.1393592932166923,0.917213351766614,0.9946265021361756,0.9858292442833603,0.9987867353730225,0.9943581313992963,0.8735876351644728
arg1-as-goal,0.7887189926415435,0.5007858134120463,0.8783969633294606,0.37078389169305864,0.23389528920998182,0.995080885464538,0.9898267711176371,0.9907592437353716,0.995080885464538,1.0,0.9912104651953736,0.5835353863190504,0.41141430533441414,0.5752634519573253,0.7189981890564932,0.23441717788649857,0.9849434438601551,0.9361280267535677,0.37496139287485086,0.5839914552841724,0.13841692710955786,0.9122970779920185,0.9897075751529305,0.9821531774017201,0.99386750544696,0.9894392546311379,0.8686722192359868
