,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,1.0,0.5120100310640637,0.6893944418429857,0.12229874345494839,0.13963860889262358,0.7839215454553982,0.7796022905317831,0.7781332299679022,0.7839215454553982,0.7800583717617173,0.7798831141557074,0.36122358812480615,0.2483425626296757,0.362919599291803,0.5112355457095477,0.18742117773126737,0.7745069259320145,0.7252646561537253,0.13293321375046976,0.3356707943044192,-0.0049501185976444035,0.6890640286682099,0.7800435591159157,0.7667793165872427,0.7825976301334252,0.7796924743124735,0.6594051062675078
precedence,0.5120100310640637,1.0,0.4425130531220825,-0.06088676129443473,0.16656270753161398,0.49137244536993646,0.48555576453972704,0.48660335230237745,0.49137244536993646,0.4883021899681764,0.4901041867277729,0.15837323572354844,0.1561717431403032,0.1708747629393678,0.2955812771145694,0.0572375698312728,0.48190359008564004,0.4434413606345955,-0.01188815957180102,0.15212826065551424,-0.19206664134302723,0.41985182264048637,0.48859356216169597,0.480156762935037,0.4899841856213397,0.48697873153568977,0.3930097423059691
succession,0.6893944418429857,0.4425130531220825,1.0,0.20368153838871647,0.15373522146758228,0.8635405241179275,0.8579165341874195,0.8577596439626117,0.8635405241179275,0.8612136009385912,0.8589107595213696,0.4489939757600055,0.27163142206159707,0.43537343520956706,0.5836348059005673,0.21095936074004568,0.8527068799059587,0.7971570286117717,0.23955932981157138,0.41032611210303294,0.05623852952339387,0.7638533332569386,0.8571988456396314,0.8482055442328564,0.8622225959284993,0.8568953993483536,0.7180174861744572
reason,0.12229874345494839,-0.06088676129443473,0.20368153838871647,1.0,-0.06220127041574089,0.271881941986711,0.27009389962188146,0.2726723632328298,0.271881941986711,0.26923281172855407,0.2715912694695949,0.10333962369950792,-0.06491360036724042,0.09138087600692402,0.12842807882107016,-0.06931278673448484,0.267967409848792,0.2506528068413718,0.09992352121635634,0.18069943148558434,0.07088325785768826,0.2536049471277652,0.26964077201814385,0.2657800461626458,0.27174041577095914,0.26874504510533775,0.22075582155285292
result,0.13963860889262358,0.16656270753161398,0.15373522146758228,-0.06220127041574089,1.0,0.22971967591374412,0.2269755831343749,0.22760787834109122,0.22971967591374412,0.22936862759667329,0.22668573279833198,0.027784566560171427,0.0386771678980832,0.004467387623190071,0.10658187881784613,-0.16355676349089054,0.22330004603639758,0.19863420402288073,-0.0796706025711975,0.15542947766637172,-0.2722311231521701,0.2069921913607269,0.22706319859947122,0.22725915530626234,0.22951239221462802,0.2257899255392451,0.18123687220273144
arg1-as-cond,0.7839215454553982,0.49137244536993646,0.8635405241179275,0.271881941986711,0.22971967591374412,1.0,0.9937667260745946,0.9942221262790809,1.0,0.9947603655129892,0.9953751461146827,0.5130966088123601,0.3363674168382724,0.5103828384112647,0.6888447654429323,0.24990173837114285,0.9877463647278135,0.9280493579148003,0.28930744360043487,0.52356584457503,0.0676873555959199,0.8973840495417683,0.9936642021977017,0.982927882245178,0.9986835839056475,0.9933616387414657,0.8488251023495483
arg2-as-cond,0.7796022905317831,0.48555576453972704,0.8579165341874195,0.27009389962188146,0.2269755831343749,0.9937667260745946,1.0,0.9879888515823781,0.9937667260745946,0.9885270857008296,0.989141871161057,0.5104508068543102,0.33603759309284154,0.5061245734360174,0.6841530285660035,0.24536245523708902,0.9815130550596775,0.9252301741606765,0.2897185734438426,0.5193315118593262,0.06574419998818073,0.89114788173203,0.9874309085525297,0.9766945273139795,0.9924503084597798,0.9871283504995204,0.8425847652883331
arg1-as-negcond,0.7781332299679022,0.48660335230237745,0.8577596439626117,0.2726723632328298,0.22760787834109122,0.9942221262790809,0.9879888515823781,1.0,0.9942221262790809,0.9889824893041185,0.9895972773055307,0.5089247289398098,0.336269133567685,0.5064872957879485,0.684717906886768,0.2469624569084243,0.9837511002776578,0.9222705177225621,0.28724629222955955,0.5231434335859212,0.06567708492566561,0.8916043864446362,0.9878863146364969,0.9771499657783286,0.9945425489555,0.9875837606958738,0.8430433900151916
arg2-as-negcond,0.7839215454553982,0.49137244536993646,0.8635405241179275,0.271881941986711,0.22971967591374412,1.0,0.9937667260745946,0.9942221262790809,1.0,0.9947603655129892,0.9953751461146827,0.5130966088123601,0.3363674168382724,0.5103828384112647,0.6888447654429323,0.24990173837114285,0.9877463647278135,0.9280493579148003,0.28930744360043487,0.52356584457503,0.0676873555959199,0.8973840495417683,0.9936642021977017,0.982927882245178,0.9986835839056475,0.9933616387414657,0.8488251023495483
arg1-as-goal,0.7800583717617173,0.4883021899681764,0.8612136009385912,0.26923281172855407,0.22936862759667329,0.9947603655129892,0.9885270857008296,0.9889824893041185,0.9947603655129892,1.0,0.9901355052169696,0.5112123034940218,0.3334020203557215,0.5066870017542994,0.6835594878590706,0.24690317813150267,0.9825066853747167,0.9254574585566689,0.28644130024002373,0.5198885180287934,0.06691575602803591,0.892142013990584,0.9884245480982541,0.9795216324306734,0.9934439424927787,0.988121991960621,0.8435792925423957
arg2-as-goal,0.7798831141557074,0.4901041867277729,0.8589107595213696,0.2715912694695949,0.22668573279833198,0.9953751461146827,0.989141871161057,0.9895972773055307,0.9953751461146827,0.9901355052169696,1.0,0.5098818583902383,0.3337934523033898,0.5071345005122521,0.6841863782161598,0.24948581871102996,0.9831214860692777,0.9234231233199596,0.28786147474157125,0.5225754028740789,0.06722417481343766,0.8927570785627185,0.9890393453498315,0.9783029781180274,0.9940587315511112,0.988736776197736,0.8441949875972828
arg1-as-denier,0.36122358812480615,0.15837323572354844,0.4489939757600055,0.10333962369950792,0.027784566560171427,0.5130966088123601,0.5104508068543102,0.5089247289398098,0.5130966088123601,0.5112123034940218,0.5098818583902383,1.0,0.2918188107990669,0.30359318820028447,0.29859130554687596,0.05730456318616181,0.5062149952355994,0.46467981350191856,0.039592546142969816,0.21595406876685788,-0.047295625574507005,0.4456447678542814,0.5079957458577055,0.5027242426138018,0.5125116115909124,0.5111871903492461,0.4398711741414175
arg2-as-denier,0.2483425626296757,0.1561717431403032,0.27163142206159707,-0.06491360036724042,0.0386771678980832,0.3363674168382724,0.33603759309284154,0.336269133567685,0.3363674168382724,0.3334020203557215,0.3337934523033898,0.2918188107990669,1.0,0.28419286123968523,0.14886407220923248,-0.027374606973538187,0.3283935293490393,0.29378898675038606,-0.0964397438947711,0.0980564758701347,-0.21746335060941685,0.28012373433301574,0.3330406427213896,0.3278420535092806,0.33642970705495256,0.33312621759270583,0.31040180644516135
contrast,0.362919599291803,0.1708747629393678,0.43537343520956706,0.09138087600692402,0.004467387623190071,0.5103828384112647,0.5061245734360174,0.5064872957879485,0.5103828384112647,0.5066870017542994,0.5071345005122521,0.30359318820028447,0.28419286123968523,1.0,0.318825681080063,0.041088220762342025,0.5090035355236322,0.4631500878669632,0.058860633985407806,0.21834663902832852,-0.08096213111176377,0.4513133438760672,0.5055779355862504,0.49454984786508005,0.5093667926941221,0.5090827656535601,0.4776580018293738
