,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.42515596102989206,0.16176115227761295,0.7674435068406615,0.7670080718657739,0.7634325410290512,0.17894984088773375,0.4061162456018391,0.5178240271648937,0.15403259795443006,0.7624405311641688,0.18458725012803734,0.060087501753789206,0.6961321272522754,0.7537357181823082,0.7660116391724738,0.6637370719097816
asynchronous,0.42515596102989206,1.0,0.07157655662304814,0.4110002279795273,0.4115947256975723,0.41198909405858203,0.05567358679558205,0.16633358087865474,0.2475211503072278,0.025052471816066346,0.40685367684238094,0.010528975375679948,-0.11815711414335896,0.3602452601138573,0.40341870540038643,0.4102713413753741,0.33581673513645127
cause,0.16176115227761295,0.07157655662304814,1.0,0.26971818151067295,0.2709024464633001,0.26875265344272903,0.01476452047689835,0.084069739980925,0.1438912713662314,-0.13399466893899104,0.2674756592630694,0.018321217759059188,-0.054127401064830154,0.24959774071575025,0.26652192364611677,0.268455668248326,0.22761479029797954
condition,0.7674435068406615,0.4110002279795273,0.26971818151067295,1.0,0.9907199577358755,0.9853200986992523,0.27553360873999694,0.5663933651946269,0.7051074290539096,0.2187208620648115,0.9839624683970397,0.3454312151083754,0.15364247476100362,0.9135136281324863,0.9754310445697385,0.9876960225288561,0.8647578615554574
negative-condition,0.7670080718657739,0.4115947256975723,0.2709024464633001,0.9907199577358755,1.0,0.9868327611305038,0.2746072501172015,0.5678555167589796,0.7066011290747847,0.22006101066298595,0.986686275622187,0.3440821961655119,0.15399426048618628,0.9150257330732905,0.9769437536542012,0.9903091896738954,0.8662672079448723
purpose,0.7634325410290512,0.41198909405858203,0.26875265344272903,0.9853200986992523,0.9868327611305038,1.0,0.27085930116764073,0.563231460959796,0.700090095636148,0.21923518238667572,0.9800752330776228,0.34127232916478406,0.15357130930641105,0.9096280784051495,0.9727797354401616,0.9838087623812675,0.860870035161738
concession,0.17894984088773375,0.05567358679558205,0.01476452047689835,0.27553360873999694,0.2746072501172015,0.27085930116764073,1.0,0.251458862799621,0.12557613421901254,-0.0431998999337289,0.27010993709103787,-0.04789688694697818,-0.10219218137111372,0.23912019020644174,0.2656838922740823,0.27451896022481725,0.2541811202839816
contrast,0.4061162456018391,0.16633358087865474,0.084069739980925,0.5663933651946269,0.5678555167589796,0.563231460959796,0.251458862799621,1.0,0.38370950819466315,0.0527062698097095,0.567632820381347,0.13501957729170422,0.011619718885393851,0.5213282913615402,0.5529406122848569,0.5682502268719796,0.5351731527998933
similarity,0.5178240271648937,0.2475211503072278,0.1438912713662314,0.7051074290539096,0.7066011290747847,0.700090095636148,0.12557613421901254,0.38370950819466315,1.0,0.18520358496483624,0.7048299116633959,0.2586064785643034,0.060430033950407434,0.6546594145601413,0.6954043565307214,0.7024624116596137,0.6025758668667892
conjunction,0.15403259795443006,0.025052471816066346,-0.13399466893899104,0.2187208620648115,0.22006101066298595,0.21923518238667572,-0.0431998999337289,0.0527062698097095,0.18520358496483624,1.0,0.21804767385797472,-0.0010848596268560212,-0.03455680485285883,0.1878286184838071,0.21413999228016228,0.21927916783939258,0.15888432678503436
disjunction,0.7624405311641688,0.40685367684238094,0.2674756592630694,0.9839624683970397,0.986686275622187,0.9800752330776228,0.27010993709103787,0.567632820381347,0.7048299116633959,0.21804767385797472,1.0,0.3421128333199937,0.15093032298916215,0.9082695427716357,0.9701857677104843,0.9824511575382188,0.8636285346583841
instantiation,0.18458725012803734,0.010528975375679948,0.018321217759059188,0.3454312151083754,0.3440821961655119,0.34127232916478406,-0.04789688694697818,0.13501957729170422,0.2586064785643034,-0.0010848596268560212,0.3421128333199937,1.0,0.13828175287450872,0.31905337619523333,0.34319919006282723,0.3443263493540102,0.2697265703296729
level-of-detail,0.060087501753789206,-0.11815711414335896,-0.054127401064830154,0.15364247476100362,0.15399426048618628,0.15357130930641105,-0.10219218137111372,0.011619718885393851,0.060430033950407434,-0.03455680485285883,0.15093032298916215,0.13828175287450872,1.0,0.14490206532025124,0.15349893530473743,0.15266975784289025,0.11645549748952977
equivalence,0.6961321272522754,0.3602452601138573,0.24959774071575025,0.9135136281324863,0.9150257330732905,0.9096280784051495,0.23912019020644174,0.5213282913615402,0.6546594145601413,0.1878286184838071,0.9082695427716357,0.31905337619523333,0.14490206532025124,1.0,0.9021623801600976,0.9132138732585177,0.8063356901104158
manner,0.7537357181823082,0.40341870540038643,0.26652192364611677,0.9754310445697385,0.9769437536542012,0.9727797354401616,0.2656838922740823,0.5529406122848569,0.6954043565307214,0.21413999228016228,0.9701857677104843,0.34319919006282723,0.15349893530473743,0.9021623801600976,1.0,0.9739197114909489,0.853224451893416
exception,0.7660116391724738,0.4102713413753741,0.268455668248326,0.9876960225288561,0.9903091896738954,0.9838087623812675,0.27451896022481725,0.5682502268719796,0.7024624116596137,0.21927916783939258,0.9824511575382188,0.3443263493540102,0.15266975784289025,0.9132138732585177,0.9739197114909489,1.0,0.8638540326281694
substitution,0.6637370719097816,0.33581673513645127,0.22761479029797954,0.8647578615554574,0.8662672079448723,0.860870035161738,0.2541811202839816,0.5351731527998933,0.6025758668667892,0.15888432678503436,0.8636285346583841,0.2697265703296729,0.11645549748952977,0.8063356901104158,0.853224451893416,0.8638540326281694,1.0
