,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.40068102797551625,0.13088166633666343,0.7416681602824922,0.741208808003103,0.7373161858726855,0.0713586646962648,0.3162202222645126,0.45345639514392705,0.13555197340552105,0.7356112829543537,0.06066501008462884,-0.01738769685287653,0.6552830525908585,0.7253888538911378,0.740136063926423,0.617501053916512
asynchronous,0.40068102797551625,1.0,0.040026007871345595,0.360736920637083,0.3615826086049726,0.3627334334103987,-0.037038350517576105,0.07509779596014854,0.1743982983788986,-0.023816075827373478,0.3555039886489758,-0.1104063223108161,-0.24801263452458838,0.2986496072515574,0.3526076953555869,0.360030881579186,0.2692220166182765
cause,0.13088166633666343,0.040026007871345595,1.0,0.2772425887910067,0.27920020892533604,0.27613532183745126,-0.04312453544239979,0.02748890268633494,0.1063276099943023,-0.2269113630174485,0.2741582398562629,-0.04881033036135103,-0.11097630779251909,0.25382859365669846,0.27416992904029625,0.27542411692925817,0.2239401195438472
condition,0.7416681602824922,0.360736920637083,0.2772425887910067,1.0,0.9886281276366448,0.982591405578872,0.16745085909289725,0.48734960323038,0.6574949009739991,0.21330557399316682,0.9799356449489027,0.2399604870904277,0.10088945687785623,0.8945086855032935,0.970248472399651,0.9848646278866593,0.83564327249585
negative-condition,0.741208808003103,0.3615826086049726,0.27920020892533604,0.9886281276366448,1.0,0.9846289079573087,0.165925430343252,0.48933834936564335,0.659527603180926,0.21530159639857055,0.9837076270105064,0.2381252016709078,0.10143279388800681,0.896546955570118,0.9722860102128779,0.9883510152682914,0.8376825433796798
purpose,0.7373161858726855,0.3627334334103987,0.27613532183745126,0.982591405578872,0.9846289079573087,1.0,0.1619164533462414,0.48418078721716223,0.65178721473416,0.21454385878769022,0.9759363666855003,0.23528898056625072,0.10117121499218829,0.8905069590408019,0.9680650574939933,0.9808653824024671,0.8316375701081873
concession,0.0713586646962648,-0.037038350517576105,-0.04312453544239979,0.16745085909289725,0.165925430343252,0.1619164533462414,1.0,0.18045471873590885,-0.002152971297686425,-0.12480194861368617,0.16009485724054748,-0.19796460560331264,-0.21922235071346644,0.12513405646292652,0.15568542916767214,0.1659975610914854,0.15004678119036408
contrast,0.3162202222645126,0.07509779596014854,0.02748890268633494,0.48734960323038,0.48933834936564335,0.48418078721716223,0.18045471873590885,1.0,0.2855537495315235,-0.007925301336346932,0.4897810924029198,0.007746806118101556,-0.07834550664355186,0.4354732618011987,0.4714943456147056,0.4898841115675248,0.45965632524202776
similarity,0.45345639514392705,0.1743982983788986,0.1063276099943023,0.6574949009739991,0.659527603180926,0.65178721473416,-0.002152971297686425,0.2855537495315235,1.0,0.18781437749903096,0.656948994048484,0.1636039552228622,-0.01432740932743094,0.5998803602111199,0.6466864229290882,0.6540891964015588,0.5354837544577565
conjunction,0.13555197340552105,-0.023816075827373478,-0.2269113630174485,0.21330557399316682,0.21530159639857055,0.21454385878769022,-0.12480194861368617,-0.007925301336346932,0.18781437749903096,1.0,0.2127208168174595,-0.06776745921644152,-0.07835150854022416,0.17087123219140668,0.20739145398104,0.21435492118074395,0.1289791956976885
disjunction,0.7356112829543537,0.3555039886489758,0.2741582398562629,0.9799356449489027,0.9837076270105064,0.9759363666855003,0.16009485724054748,0.4897810924029198,0.656948994048484,0.2127208168174595,1.0,0.23574032094204217,0.0971026992530895,0.8878508429274796,0.963593272056466,0.9782096160094093,0.8342884524111011
instantiation,0.06066501008462884,-0.1104063223108161,-0.04881033036135103,0.2399604870904277,0.2381252016709078,0.23528898056625072,-0.19796460560331264,0.007746806118101556,0.1636039552228622,-0.06776745921644152,0.23574032094204217,1.0,0.1298685218891323,0.21335421146707498,0.2384070143045787,0.23874703774570563,0.15033170339752439
level-of-detail,-0.01738769685287653,-0.24801263452458838,-0.11097630779251909,0.10088945687785623,0.10143279388800681,0.10117121499218829,-0.21922235071346644,-0.07834550664355186,-0.01432740932743094,-0.07835150854022416,0.0971026992530895,0.1298685218891323,1.0,0.09358402811968082,0.10206052221650602,0.09953348089928497,0.05412443565879273
equivalence,0.6552830525908585,0.2986496072515574,0.25382859365669846,0.8945086855032935,0.896546955570118,0.8905069590408019,0.12513405646292652,0.4354732618011987,0.5998803602111199,0.17087123219140668,0.8878508429274796,0.21335421146707498,0.09358402811968082,1.0,0.8817211207153737,0.8945588952963244,0.766345023277357
manner,0.7253888538911378,0.3526076953555869,0.27416992904029625,0.970248472399651,0.9722860102128779,0.9680650574939933,0.15568542916767214,0.4714943456147056,0.6466864229290882,0.20739145398104,0.963593272056466,0.2384070143045787,0.10206052221650602,0.8817211207153737,1.0,0.9685223959145425,0.8224071952809875
exception,0.740136063926423,0.360030881579186,0.27542411692925817,0.9848646278866593,0.9883510152682914,0.9808653824024671,0.1659975610914854,0.4898841115675248,0.6540891964015588,0.21435492118074395,0.9782096160094093,0.23874703774570563,0.09953348089928497,0.8945588952963244,0.9685223959145425,1.0,0.8343933139096962
substitution,0.617501053916512,0.2692220166182765,0.2239401195438472,0.83564327249585,0.8376825433796798,0.8316375701081873,0.15004678119036408,0.45965632524202776,0.5354837544577565,0.1289791956976885,0.8342884524111011,0.15033170339752439,0.05412443565879273,0.766345023277357,0.8224071952809875,0.8343933139096962,1.0
