,synchronous+++,precedence+++,succession,reason+++,result+++,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier+++,arg2-as-denier+++,contrast+++,similarity+++,conjunction+++,disjunction,arg1-as-instance,arg2-as-instance+++,arg1-as-detail+++,arg2-as-detail+++,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous+++,1.0,0.27844211902436355,0.328430741584889,0.16918154488323459,0.05355946989428443,0.4723032308537183,0.45652170193379493,0.5087850374734718,0.49690321233132895,0.43887812582687474,0.347517353398062,0.3591489298004303,0.39033432561528425,0.30169447832741264,0.3801481496100337,0.15170727406490553,0.45806421333449326,0.35713879659643955,0.1871629889363379,0.2844270186603321,0.07534853859210937,0.433224851114792,0.46010446287138823,0.377080231717157,0.5077138664686084,0.5011369424994209,0.4986131493933668,0.5027095372041563
precedence+++,0.27844211902436355,1.0,0.5754431317207805,0.10954677827887589,0.22032299803657307,0.408677448072943,0.4474783354342547,0.5219419496923473,0.5173069025836953,0.4299679462954425,0.393643227246749,0.26380873959322,0.3756137251246154,0.18450784445138257,0.3312391136276731,0.07814097400506903,0.4321748461189862,0.3450671963314973,0.1197714851891285,0.2674743750124809,0.10398976557314725,0.4421270300618553,0.4683844525849697,0.3540228528543723,0.5146821671998977,0.5135820381694115,0.5065196551418126,0.5148789781503452
succession,0.328430741584889,0.5754431317207805,1.0,0.20169820757306897,0.1808214525666924,0.5685664097477903,0.5660854103057675,0.6445742581186984,0.6402509498296151,0.5438647592480608,0.49582131615600006,0.38188598894129766,0.4404218830569207,0.2758589328227265,0.43365990757150896,0.15545384422880903,0.5797145771059405,0.4272583266982804,0.17864399967996128,0.37288557841872355,0.14021802257350233,0.5597414224031807,0.568540933075728,0.42744811460277804,0.6372995226674997,0.6366395844500916,0.6365550998953196,0.6254664154947862
reason+++,0.16918154488323459,0.10954677827887589,0.20169820757306897,1.0,-0.006733388080187205,0.3419290939852861,0.41429443754589873,0.4458533988753526,0.4450729506386533,0.34889561727661267,0.4257331936651838,0.27302655177013563,0.28105411034724215,0.08797702690619978,0.29081108621879015,0.1039463542129766,0.38016601609657735,0.274197689634996,0.23207773947923901,0.21954010546745456,0.1366638810287327,0.41087552181083364,0.40278493632358386,0.3599968778492542,0.4386077164866379,0.4348808928117075,0.4351667060181188,0.4251549503873405
result+++,0.05355946989428443,0.22032299803657307,0.1808214525666924,-0.006733388080187205,1.0,0.22053705477518612,0.2259257900239363,0.24447516353735482,0.24201211280730875,0.2560066037964487,0.1675305051413581,0.09768931036606796,0.15241600498001887,0.010082036465272145,0.13527196963583982,-0.0733486003699208,0.19788484705649284,0.2178229297109236,0.03440381256280534,0.17238958562780302,-0.08324816601012933,0.19790378563594152,0.23097348152781413,0.17673183220818223,0.2372219789509051,0.24678412276101144,0.24355903768026507,0.2420275606099021
arg1-as-cond,0.4723032308537183,0.408677448072943,0.5685664097477903,0.3419290939852861,0.22053705477518612,1.0,0.7773896581549804,0.8477851360446028,0.8358790220775099,0.7442684590560018,0.6578412717868112,0.5382261296251653,0.6184949751372326,0.34179151439994077,0.6510231652929431,0.27353528395445276,0.7546506485785329,0.6368832603373438,0.3630523978041859,0.5330242230860833,0.23568076012222416,0.7610469855928463,0.7712820320304813,0.6190626723694895,0.8545158016307411,0.8336326669897591,0.8253297918625077,0.8211137498588291
arg2-as-cond,0.45652170193379493,0.4474783354342547,0.5660854103057675,0.41429443754589873,0.2259257900239363,0.7773896581549804,1.0,0.9138569293169103,0.9106495057550639,0.7869785444971025,0.7282750980828089,0.5816078894106772,0.6426295665044272,0.3364014420021588,0.6859775768186507,0.3027665094425794,0.8129124910657407,0.6424238381751288,0.4731518014982767,0.5504555437083106,0.29634118488270866,0.8115546150433925,0.8160138354393026,0.7236140986680628,0.9065686886258763,0.8996838551556273,0.8913869837100094,0.8871873592805137
arg1-as-negcond,0.5087850374734718,0.5219419496923473,0.6445742581186984,0.4458533988753526,0.24447516353735482,0.8477851360446028,0.9138569293169103,1.0,0.9880800274453393,0.8612102560786357,0.7881248696476122,0.6379479845750312,0.7058788228100324,0.39470822078883944,0.7462780822958249,0.34656458025894993,0.8989496837251377,0.7143614192294117,0.4809803872109656,0.6221480525289804,0.31878104259934203,0.8891987025344944,0.9020922052638319,0.7547916402622072,0.9927082031212606,0.9858180736506638,0.9775123092406032,0.9733142049435868
arg2-as-negcond,0.49690321233132895,0.5173069025836953,0.6402509498296151,0.4450729506386533,0.24201211280730875,0.8358790220775099,0.9106495057550639,0.9880800274453393,1.0,0.8493051322543266,0.7762349719197174,0.6337588901477808,0.6939702586267917,0.39557500674416507,0.7343756261026189,0.3379569155591813,0.8870451041708922,0.702461667346757,0.4803278378835866,0.6102548454696173,0.3170231689951515,0.8859397186870512,0.890177946165846,0.7428975891162178,0.980788821821151,0.9739009410140511,0.9655935953563478,0.9613951345043864
arg1-as-goal,0.43887812582687474,0.4299679462954425,0.5438647592480608,0.34889561727661267,0.2560066037964487,0.7442684590560018,0.7869785444971025,0.8612102560786357,0.8493051322543266,1.0,0.6802857273323368,0.5328857490511606,0.5952907043599714,0.3141793212752021,0.6385116432157366,0.2915972109992586,0.7826717222215244,0.641841065643511,0.39176494698084713,0.5471379759219485,0.23418868327762912,0.7505416316372916,0.7793879276437892,0.6468522065485335,0.8539248137684408,0.8470473792068822,0.8387350466749056,0.8414850312235999
arg2-as-goal,0.347517353398062,0.393643227246749,0.49582131615600006,0.4257331936651838,0.1675305051413581,0.6578412717868112,0.7282750980828089,0.7881248696476122,0.7762349719197174,0.6802857273323368,1.0,0.47909082574731493,0.5350156293914573,0.23934336628919606,0.5687219991618154,0.2593365719137556,0.7093320443525682,0.5135811397399986,0.3388833746769473,0.4744982244277772,0.24800581773640104,0.6939723983811282,0.7037872408737817,0.6184653185384007,0.7808490753220713,0.7739733663503151,0.7728619722024747,0.7614955760650431
arg1-as-denier+++,0.3591489298004303,0.26380873959322,0.38188598894129766,0.27302655177013563,0.09768931036606796,0.5382261296251653,0.5816078894106772,0.6379479845750312,0.6337588901477808,0.5328857490511606,0.47909082574731493,1.0,0.5841188193990703,0.38721537556307883,0.4633667099260965,0.17085400816889126,0.5771731198113272,0.4652693013779238,0.29205460161964797,0.35618908806087596,0.1481788136862817,0.5318222197184301,0.5724098242798537,0.46030938399527094,0.6449584424349012,0.630343035311008,0.6231510271974265,0.6265593450984402
arg2-as-denier+++,0.39033432561528425,0.3756137251246154,0.4404218830569207,0.28105411034724215,0.15241600498001887,0.6184949751372326,0.6426295665044272,0.7058788228100324,0.6939702586267917,0.5952907043599714,0.5350156293914573,0.5841188193990703,1.0,0.40726433934635375,0.48041002653829296,0.19099949642535505,0.629842718812868,0.5036963577037215,0.29671868411131264,0.42218525320458655,0.1628348687774154,0.5953329344448854,0.631740841634457,0.5159955110966624,0.7122391197222911,0.6983377432332408,0.6893367704306587,0.6872260673808459
contrast+++,0.30169447832741264,0.18450784445138257,0.2758589328227265,0.08797702690619978,0.010082036465272145,0.34179151439994077,0.3364014420021588,0.39470822078883944,0.39557500674416507,0.3141793212752021,0.23934336628919606,0.38721537556307883,0.40726433934635375,1.0,0.27922598403202464,0.09050875316646108,0.3848748439058664,0.263773218833272,0.1287694694592104,0.19777229232149013,0.028022356416421593,0.3094109999185435,0.3591216125406345,0.23225736437762867,0.40119894522784616,0.38695819361297445,0.3906428683058528,0.3943530454019949
similarity+++,0.3801481496100337,0.3312391136276731,0.43365990757150896,0.29081108621879015,0.13527196963583982,0.6510231652929431,0.6859775768186507,0.7462780822958249,0.7343756261026189,0.6385116432157366,0.5687219991618154,0.4633667099260965,0.48041002653829296,0.27922598403202464,1.0,0.2776959043434588,0.6927116926783745,0.5615730226778489,0.38468235678832935,0.4526783503299152,0.19995086894928904,0.6875439388333715,0.693487550609053,0.5496205398112929,0.7390051142904887,0.7321307897352666,0.7238219880211088,0.7244882690181123
conjunction+++,0.15170727406490553,0.07814097400506903,0.15545384422880903,0.1039463542129766,-0.0733486003699208,0.27353528395445276,0.3027665094425794,0.34656458025894993,0.3379569155591813,0.2915972109992586,0.2593365719137556,0.17085400816889126,0.19099949642535505,0.09050875316646108,0.2776959043434588,1.0,0.3098138724119881,0.2034035891736393,0.19553755876759304,0.20105049737781408,0.20822672951455637,0.3053720063788244,0.2960890597498401,0.2456936824136022,0.33931931116741126,0.335711709483419,0.3358507010973357,0.3338155942557473
disjunction,0.45806421333449326,0.4321748461189862,0.5797145771059405,0.38016601609657735,0.19788484705649284,0.7546506485785329,0.8129124910657407,0.8989496837251377,0.8870451041708922,0.7826717222215244,0.7093320443525682,0.5771731198113272,0.629842718812868,0.3848748439058664,0.6927116926783745,0.3098138724119881,1.0,0.6437469049934785,0.41269552715934327,0.5353363913449813,0.2705193799125718,0.8048932636775081,0.8011278050197334,0.6614439183014114,0.8916656181487651,0.8847793895765107,0.8951770819191621,0.887897433115449
arg1-as-instance,0.35713879659643955,0.3450671963314973,0.4272583266982804,0.274197689634996,0.2178229297109236,0.6368832603373438,0.6424238381751288,0.7143614192294117,0.702461667346757,0.641841065643511,0.5135811397399986,0.4652693013779238,0.5036963577037215,0.263773218833272,0.5615730226778489,0.2034035891736393,0.6437469049934785,1.0,0.2748144746462651,0.516028781265687,0.16214808940170058,0.6531327570579868,0.6718505362084758,0.5530829711675594,0.7070855017034433,0.7002229023924517,0.6919093016946825,0.6877026020823701
