,synchronous+++,precedence+++,succession,reason+++,result+++,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier+++,arg2-as-denier+++,contrast+++,similarity+++,conjunction+++,disjunction,arg1-as-instance,arg2-as-instance+++,arg1-as-detail+++,arg2-as-detail+++,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous+++,1.0,0.2081950104872417,0.2468713273451391,0.10479906624589265,-0.04067020155175432,0.3968766205609559,0.3675797557926788,0.4239177668567519,0.40785864339029043,0.3537660847984003,0.25457443637284,0.26407683087725203,0.2945221172191286,0.22534961649085047,0.30113167387455836,0.15522257335027617,0.37022038937863244,0.2637111729980669,0.09988007652540475,0.199085241145292,0.021941684512287205,0.33602386846857724,0.37338809951342666,0.28220744084903787,0.42317540887309585,0.41779595409276016,0.4122124092726711,0.4185288224932587
precedence+++,0.2081950104872417,1.0,0.5669034681960986,0.04704179338995102,0.19779683828609596,0.34939348867477465,0.3932968271367106,0.4832262979475167,0.47771580490575105,0.38378580311080635,0.3500662810220159,0.17822854416607795,0.3122749146472618,0.10180237675090467,0.27310045445230724,0.03611238446753057,0.3771648685210614,0.28339747850011093,0.037869165482901646,0.20651864871088463,0.07728070063255359,0.39059055768544737,0.4239746031722465,0.29118360429946605,0.4743488772295536,0.47512718216948197,0.4653692608175353,0.4762521094438004
succession,0.2468713273451391,0.5669034681960986,1.0,0.14814669577059547,0.13596850522251402,0.5246227938230902,0.5141505292093351,0.605790766398862,0.6007974783778026,0.4967526637685325,0.44946920608819624,0.30080417797710945,0.3608700751859467,0.1967846480619274,0.36895996648180435,0.14325719628742278,0.533807920041999,0.3594092581580449,0.09002593441802083,0.3186171879896935,0.11475053549632994,0.5064452646708535,0.5157172423508755,0.3499429605053722,0.5970412328431784,0.5982241235450222,0.5990261942542386,0.5832136381829756
reason+++,0.10479906624589265,0.04704179338995102,0.14814669577059547,1.0,-0.08890746100017388,0.30496579054082573,0.39381859006778364,0.4326164083596794,0.431342343202049,0.3172452370427633,0.4270135872845758,0.22666578162921633,0.22683543890946567,0.0013084136486765392,0.2579070041752442,0.10818841568713096,0.35474178583305693,0.23266604206134556,0.21618044350840968,0.17994659612373864,0.14563747244801648,0.3941402626635115,0.3864652907187974,0.3393388730320468,0.42354434669685964,0.4198980278267427,0.41897271831630456,0.40672347037167655
result+++,-0.04067020155175432,0.19779683828609596,0.13596850522251402,-0.08890746100017388,1.0,0.16399926757262798,0.16723812275596855,0.18473532698602296,0.18197022806145535,0.2157082228808685,0.105597567201044,0.0076935039769966355,0.07887366322102249,-0.08575600220704307,0.061367958249457615,-0.15665037008273014,0.13187984793316207,0.1736219047941047,-0.04494523691694589,0.1348173320685809,-0.1797345257715371,0.13072085181123688,0.173712778016169,0.11224766783494615,0.17508876971017492,0.18949240562240946,0.18677002853448957,0.18324508903100348
arg1-as-cond,0.3968766205609559,0.34939348867477465,0.5246227938230902,0.30496579054082573,0.16399926757262798,1.0,0.7414994859058084,0.8212905997020613,0.8053698742259167,0.7067879745106386,0.6166272906714076,0.45777584253579534,0.54959126411317,0.2430877382048643,0.6167379330100375,0.31067332177399415,0.7164206032881879,0.5924635755034213,0.30325392188204775,0.49444375169217986,0.23518618570363983,0.7243955493767593,0.7355080786533926,0.5549028945333075,0.8297588706534383,0.8067294013639165,0.7943749473317372,0.7880657739229318
arg2-as-cond,0.3675797557926788,0.3932968271367106,0.5141505292093351,0.39381859006778364,0.16723812275596855,0.7414994859058084,1.0,0.8987384104552055,0.8955092021053198,0.7555997550206593,0.7036341325180804,0.5038662669587956,0.5700697302719218,0.231244046969301,0.6500747012639382,0.3478172297343184,0.7830992717674667,0.5850318745262533,0.4409402406429917,0.5023403237032334,0.3208232986171332,0.780124714901593,0.7847905849105805,0.6850010663398992,0.89009846130798,0.884210557533125,0.8718611650562635,0.865559348353024
arg1-as-negcond,0.4239177668567519,0.4832262979475167,0.605790766398862,0.4326164083596794,0.18473532698602296,0.8212905997020613,0.8987384104552055,1.0,0.9840929067193283,0.8437496387375983,0.7737682910487299,0.5696999931622997,0.6401804734943615,0.2961135421983624,0.7189909528398479,0.4090172516557342,0.8845026765471633,0.6681780412887133,0.44280531939059836,0.5867642785352348,0.34742945960913263,0.8692184270107052,0.8861941552562487,0.7158817633505369,0.9913652558705371,0.9854842202871413,0.9731391942465988,0.9668400954220886
arg2-as-negcond,0.40785864339029043,0.47771580490575105,0.6007974783778026,0.431342343202049,0.18197022806145535,0.8053698742259167,0.8955092021053198,0.9840929067193283,1.0,0.8278339235797681,0.7578318584883925,0.5649357909086405,0.624232145852081,0.29715509144351776,0.7030344418994144,0.3960016600988839,0.8685905396323333,0.6522169700463029,0.4416020791619729,0.5707376175953452,0.34537759096315795,0.8659136788381103,0.8702803296749086,0.6999393826599055,0.9754581228860134,0.9695771422950263,0.9572317255341148,0.9509327276677888
arg1-as-goal,0.3537660847984003,0.38378580311080635,0.4967526637685325,0.3172452370427633,0.2157082228808685,0.7067879745106386,0.7555997550206593,0.8437496387375983,0.8278339235797681,1.0,0.6518773146574348,0.4523793596191874,0.5204374161381727,0.21136338627779414,0.5970355492867806,0.3376429838961144,0.7536182309298622,0.5945966493594733,0.34051094852594116,0.5110544514922368,0.23374873726478826,0.7126339218656708,0.7478286832986691,0.5964496974911694,0.8350986512742417,0.8291981746574583,0.8168476884112058,0.8190687113517731
