,synchronous+++,asynchronous+++,cause+++,condition,negative-condition,purpose,concession+++,contrast+++,similarity+++,conjunction+++,disjunction,instantiation+++,level-of-detail+++,equivalence,manner,exception,substitution
synchronous+++,1.0,-0.006855921642980732,-0.17438725102195865,-0.033366480727114206,-0.18683950057862356,-0.12984600398215917,0.00849135741441076,0.1032067971699603,-0.07449655153773664,-0.04303833404033647,-0.07855201845414997,-0.12846650234911264,-0.17421993897820878,-0.12203457718726159,-0.08454797461112654,-0.11300287650879616,-0.08775406782566182
asynchronous+++,-0.006855921642980732,1.0,0.021709991040055804,-0.07511809800702847,-0.03122913451062907,-0.06905962121850923,-0.07367203499746638,-0.021685145980238414,-0.13177325918074415,-0.2249569806061277,-0.08844070391541341,-0.24766643177248976,-0.15420430759307643,-0.07690705745471106,-0.11978404221369504,-0.04170885535409752,-0.025089599723675783
cause+++,-0.17438725102195865,0.021709991040055804,1.0,-0.011907366918783262,-0.039990344607267254,0.0839490917625202,-0.08430905111622931,-0.2202797116620398,-0.1753365508052851,-0.23876470447711182,-0.09239329988261932,-0.09707666191596406,-0.20001248536792676,-0.044911348025175,-0.0319766629592164,-0.058776133972437535,-0.02771875810290002
condition,-0.033366480727114206,-0.07511809800702847,-0.011907366918783262,1.0,0.03686898142604871,0.0005545982722930656,-0.06649073599055973,-0.10860151358391258,-0.019352687777144297,-0.13331452669581526,-0.07708345282258483,-0.07348540923926608,-0.06098285174901172,-0.013905399919306156,-0.022912096498071993,0.06200860960090969,-0.057163018987086464
negative-condition,-0.18683950057862356,-0.03122913451062907,-0.039990344607267254,0.03686898142604871,1.0,0.005237182349580574,-0.1439070102436505,-0.15012058839820858,0.009983005867856626,-0.014611484767562726,0.17211106197114096,-0.12948602739444534,0.03801224657129319,0.24179416211393887,-0.057172701440459946,0.5197830183184103,0.33868010773335383
purpose,-0.12984600398215917,-0.06905962121850923,0.0839490917625202,0.0005545982722930656,0.005237182349580574,1.0,-0.11093052687648854,-0.19562527623414286,-0.05738940725024367,-0.11060813319089671,0.017273266710767524,-0.14220957281566635,-0.07835439372647479,-0.04965613886906057,-0.004680064529165235,-0.0030185985265057304,-0.008301923982142429
concession+++,0.00849135741441076,-0.07367203499746638,-0.08430905111622931,-0.06649073599055973,-0.1439070102436505,-0.11093052687648854,1.0,0.2277675381581905,-0.15021932371798286,-0.18533828098065824,-0.07163883119488014,-0.09396848254668679,-0.1796626530753412,-0.18848919134559158,-0.08149116287549933,-0.06659491784181332,-0.09654479758605006
contrast+++,0.1032067971699603,-0.021685145980238414,-0.2202797116620398,-0.10860151358391258,-0.15012058839820858,-0.19562527623414286,0.2277675381581905,1.0,-0.08877492444820265,-0.08288340228868507,-0.00025092202994795416,-0.14110321055739622,-0.21959120218127562,-0.18092749003643704,-0.14455985539003777,-0.10812954984814772,-0.060814775955667415
similarity+++,-0.07449655153773664,-0.13177325918074415,-0.1753365508052851,-0.019352687777144297,0.009983005867856626,-0.05738940725024367,-0.15021932371798286,-0.08877492444820265,1.0,0.05210793773191284,0.06598883115312945,0.008403095636738717,-0.08086020010881059,0.06214227713294155,-0.04291846895970011,0.003969175023894039,-0.021808167984927802
conjunction+++,-0.04303833404033647,-0.2249569806061277,-0.23876470447711182,-0.13331452669581526,-0.014611484767562726,-0.11060813319089671,-0.18533828098065824,-0.08288340228868507,0.05210793773191284,1.0,0.012632980629671236,-0.0008147659681967342,0.11864460653502482,0.008255822307068596,-0.05811455944958764,-0.11953182305664133,0.0050177202098602965
disjunction,-0.07855201845414997,-0.08844070391541341,-0.09239329988261932,-0.07708345282258483,0.17211106197114096,0.017273266710767524,-0.07163883119488014,-0.00025092202994795416,0.06598883115312945,0.012632980629671236,1.0,-0.131757848702222,-0.08974122186194805,0.05362414734122552,-0.11180729627505794,0.14339944011907071,0.26251259850300707
