,synchronous+++,asynchronous+++,cause+++,condition,negative-condition,purpose,concession+++,contrast+++,similarity+++,conjunction+++,disjunction,instantiation+++,level-of-detail+++,equivalence,manner,exception,substitution
synchronous+++,1.0,0.17360702494052271,-0.05963472845683611,0.29273709413071936,0.36695597655221474,0.16092461236327366,0.16088267745621307,0.2000598280368825,0.2530714495514426,0.10995867941009539,0.324676353860016,-0.053085363171641586,-0.0017331252511648188,0.30484861891395537,0.19805352129200085,0.3827639580602399,0.3671870063157174
asynchronous+++,0.17360702494052271,1.0,0.09944286971850543,0.25452576241582653,0.4036579807057491,0.20503853484558984,0.11754324548664602,0.11966759394630443,0.2120179424865052,0.0013284681664639602,0.31623728079089236,-0.1414666632253277,0.015072050557081919,0.3313228865420855,0.1761109156966,0.3951038855002133,0.3892663268221651
cause+++,-0.05963472845683611,0.09944286971850543,1.0,0.16094935651595432,0.24369786992981782,0.22442391872446976,0.017237994671222497,-0.12855701674726833,0.06312596371099272,-0.2105470302993186,0.1777692844740549,-0.05005779455622648,-0.1540339245692049,0.20467374457188942,0.1357718515619492,0.23479066665886128,0.2288937639633596
condition,0.29273709413071936,0.25452576241582653,0.16094935651595432,1.0,0.7109265757855657,0.44376929584390745,0.27029371324866774,0.14485081810379363,0.5165607510872365,0.23256576377410565,0.5965838373988279,0.1411901391322668,0.2095443247381397,0.6369320923972642,0.4635664296706362,0.713432416009428,0.6516811188807692
negative-condition,0.36695597655221474,0.4036579807057491,0.24369786992981782,0.7109265757855657,1.0,0.6167787704738339,0.3886300750201348,0.2759678195065881,0.6836046154361218,0.40247390121198645,0.8535692684066839,0.2175952602234816,0.34398901993778597,0.8719210434183257,0.6117280810799313,0.9664326774713132,0.9195971766751239
purpose,0.16092461236327366,0.20503853484558984,0.22442391872446976,0.44376929584390745,0.6167787704738339,1.0,0.18146413917684195,0.030144449188879294,0.4129934979216713,0.21574789229878094,0.5622949697771152,0.029032550029435503,0.17590500225382094,0.5300849290527745,0.4054656933634459,0.616244207489911,0.5885314535422278
concession+++,0.16088267745621307,0.11754324548664602,0.017237994671222497,0.27029371324866774,0.3886300750201348,0.18146413917684195,1.0,0.2945608336477777,0.19799271323301793,0.039494024114234624,0.34061109774338505,-0.003384340343602776,0.002204623829541357,0.2736058754333815,0.20200927931214457,0.3992497596609441,0.3707821074245528
contrast+++,0.2000598280368825,0.11966759394630443,-0.12855701674726833,0.14485081810379363,0.2759678195065881,0.030144449188879294,0.2945608336477777,1.0,0.15315473301358107,0.035297465185497645,0.2672835634610154,-0.11044763879737442,-0.08834789128090251,0.18009046019878885,0.06322129044069082,0.278543329461812,0.2709229511330521
similarity+++,0.2530714495514426,0.2120179424865052,0.06312596371099272,0.5165607510872365,0.6836046154361218,0.4129934979216713,0.19799271323301793,0.15315473301358107,1.0,0.31789731414833805,0.6349199658279967,0.18341309600562578,0.1870648671146976,0.6369206639174831,0.43141237631250684,0.6831709356722775,0.6425032249023118
conjunction+++,0.10995867941009539,0.0013284681664639602,-0.2105470302993186,0.23256576377410565,0.40247390121198645,0.21574789229878094,0.039494024114234624,0.035297465185497645,0.31789731414833805,1.0,0.3546973045570765,0.08400298973807038,0.30787467583365835,0.36463919389112437,0.20711646514669416,0.3930484713914749,0.38005787401710145
disjunction,0.324676353860016,0.31623728079089236,0.1777692844740549,0.5965838373988279,0.8535692684066839,0.5622949697771152,0.34061109774338505,0.2672835634610154,0.6349199658279967,0.3546973045570765,1.0,0.1544930097397396,0.2632911399845437,0.7700308775089579,0.5080887792750675,0.8532454351143395,0.8545255045552107
instantiation+++,-0.053085363171641586,-0.1414666632253277,-0.05005779455622648,0.1411901391322668,0.2175952602234816,0.029032550029435503,-0.003384340343602776,-0.11044763879737442,0.18341309600562578,0.08400298973807038,0.1544930097397396,1.0,0.050940088096092656,0.1890976036775457,0.1506435266008195,0.20859635794997866,0.15861932547003044
level-of-detail+++,-0.0017331252511648188,0.015072050557081919,-0.1540339245692049,0.2095443247381397,0.34398901993778597,0.17590500225382094,0.002204623829541357,-0.08834789128090251,0.1870648671146976,0.30787467583365835,0.2632911399845437,0.050940088096092656,1.0,0.31394564800102953,0.1894137315752434,0.3365855115005645,0.31328687556292795
equivalence,0.30484861891395537,0.3313228865420855,0.20467374457188942,0.6369320923972642,0.8719210434183257,0.5300849290527745,0.2736058754333815,0.18009046019878885,0.6369206639174831,0.36463919389112437,0.7700308775089579,0.1890976036775457,0.31394564800102953,1.0,0.5653382809171076,0.8592035838624331,0.8360197027417929
manner,0.19805352129200085,0.1761109156966,0.1357718515619492,0.4635664296706362,0.6117280810799313,0.4054656933634459,0.20200927931214457,0.06322129044069082,0.43141237631250684,0.20711646514669416,0.5080887792750675,0.1506435266008195,0.1894137315752434,0.5653382809171076,1.0,0.6213085480643266,0.5641351231299723
exception,0.3827639580602399,0.3951038855002133,0.23479066665886128,0.713432416009428,0.9664326774713132,0.616244207489911,0.3992497596609441,0.278543329461812,0.6831709356722775,0.3930484713914749,0.8532454351143395,0.20859635794997866,0.3365855115005645,0.8592035838624331,0.6213085480643266,1.0,0.9192852998472923
substitution,0.3671870063157174,0.3892663268221651,0.2288937639633596,0.6516811188807692,0.9195971766751239,0.5885314535422278,0.3707821074245528,0.2709229511330521,0.6425032249023118,0.38005787401710145,0.8545255045552107,0.15861932547003044,0.31328687556292795,0.8360197027417929,0.5641351231299723,0.9192852998472923,1.0
