,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,1.0,0.2205075280024243,0.03203643524624309,-0.10216887979398528,-0.0713523251102177,,0.012454720169337997,-0.01133478103414354,,-0.0032543837392105756,0.004575953293706904,-0.050534662862745036,-0.02096268378368431,-0.03863030051358311,-0.04457600123072305,-0.0070978280017440845,-0.0015594044937666121,-0.01024254071067473,-0.11015941453419857,-0.10120801710003034,-0.06160227163023285,-0.03530231467371433,0.00795061032760935,-0.021989504532364965,-0.006939239033602885,0.009431961433914707,-0.010253912712168842
precedence,0.2205075280024243,1.0,0.029365860363131366,-0.17297825197339334,0.0594558599900306,,-0.016324473880540712,-0.013087725656583683,,-0.00693439063694151,0.014480639382775669,-0.09162344445036855,-0.010968613859430088,-0.08596120038678076,-0.060127733197259156,-0.08483674594032312,-0.018756817234390426,-0.035412742417280825,-0.15295448873147408,-0.11079205665983403,-0.22367838429001344,-0.041398768619727744,-0.004592224727146881,-0.014529014482874482,-0.01275970591171118,-0.005085989316257692,-0.027318243055302026
succession,0.03203643524624309,0.029365860363131366,1.0,-0.014881720167948611,-0.07988833078214126,,0.009769887198822366,-0.007563352360291755,,0.040372137941182815,-0.007564225407374479,0.0298065954133826,-0.017261106457703897,0.0016560932300903957,-0.013756356234134456,0.0013602761845803813,8.433145704291918e-05,-0.01187019462632776,0.01719537534385811,-0.051338968455536975,0.037268181098253673,-0.027025499656156485,-0.009646245761433525,-0.0038371458815002046,-0.004630341756522053,-0.009267099444810805,-0.028769455672066607
reason,-0.10216887979398528,-0.17297825197339334,-0.014881720167948611,1.0,-0.10844359720085273,,0.005936344854569145,0.027271364806691,,-0.010452870233185444,0.010838484512008008,0.02478084120896214,-0.07223568021536328,0.0053316591079459776,-0.030492651111822703,-0.11828549614548794,0.0095087293422492,0.024092366110453855,0.08739579306368232,0.0946919122476171,0.11616093060485407,0.05572623155128493,0.00045503186216208765,0.009047331442820586,0.00015354772303225305,-0.0029377747166004324,0.019624787592525634
result,-0.0713523251102177,0.0594558599900306,-0.07988833078214126,-0.10844359720085273,1.0,,-0.006973400648788611,-0.004159253017032278,,0.010095665464188561,-0.016818267932116382,-0.07860043897165464,-0.022700299071551647,-0.1091090347773731,-0.07661943090121161,-0.2217851141726358,-0.015323319524659174,-0.03923214967449774,-0.13199995858056024,0.06292576354496458,-0.24886498580852762,0.019106388876035378,0.008928853546019782,0.012840627145563163,-0.003881848439161318,-0.01400583031408178,-0.004877189336714523
arg1-as-cond,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
arg2-as-cond,0.012454720169337997,-0.016324473880540712,0.009769887198822366,0.005936344854569145,-0.006973400648788611,,1.0,-0.0014440380346066152,,-0.0018415849102032397,-0.0014442047216963341,0.01138934992644777,0.020365901052646736,0.0013533470957488797,-0.002264420887249586,-0.023174938288533252,-0.002397182600311774,0.04479636376549911,0.024749192173763715,0.001510186254711122,-0.0026357811963768074,-0.006882175668433315,-0.0018417158301131341,-0.0028014375232515362,-0.00088405105185224,-0.0017693270697059578,-0.008878036866044828
arg1-as-negcond,-0.01133478103414354,-0.013087725656583683,-0.007563352360291755,0.027271364806691,-0.004159253017032278,,-0.0014440380346066152,1.0,,-0.0015699650309969379,-0.001231195421998588,-0.0027618829914921807,0.024373506309752522,0.007533638425872369,0.0020318784053226214,-0.010961967520590591,0.07344245912405281,-0.005257914358012871,0.002412940718749721,0.02945410246056838,-0.004693859868117043,-0.005867106684440552,-0.001570076641207934,-0.0023882466258600024,0.20370806939834854,-0.0015083646767761992,-0.00756859341449197
arg2-as-negcond,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
arg1-as-goal,-0.0032543837392105756,-0.00693439063694151,0.040372137941182815,-0.010452870233185444,0.010095665464188561,,-0.0018415849102032397,-0.0015699650309969379,,1.0,-0.0015701462539950209,0.0061217128323793,-0.013531722055755696,-0.003748478545022115,-0.01595111097288899,-0.005069561570100325,-0.0026062283438601013,0.04017125994205736,-0.013218623235634205,0.005337418182734813,-0.002526590085457747,-0.007482334175194849,-0.002002322224912033,0.04774777246576651,-0.0009611445154228069,-0.001923620819718477,-0.009652243978039727
