,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.21508120040844525,-0.11166898491991023,0.012454720169337997,-0.01133478103414354,0.00026345947394799143,-0.03816946043313741,-0.03863030051358311,-0.04457600123072305,-0.0070978280017440845,-0.0015594044937666121,-0.10767564360400603,-0.08859656318424387,-0.03530231467371433,-0.013549436980953724,0.0065864512189316065,-0.010253912712168842
asynchronous,0.21508120040844525,1.0,-0.04873069862073634,-0.01016723589667316,-0.014757877466211752,0.010869575682977722,-0.049367006972746055,-0.07944289293393308,-0.060720836012117724,-0.08243112792834142,-0.020297019022514694,-0.1392013753484109,-0.22717084196326323,-0.047155009168084995,-0.0174558577315773,-0.011155444039065342,-0.03320445299787201
cause,-0.11166898491991023,-0.04873069862073634,1.0,-0.004574230186904841,0.006649785801212762,-0.004884060785014791,-0.07713664642752649,-0.1071484523902288,-0.09656234174853279,-0.28701801825028445,-0.00663703462144159,-0.10183464583833245,-0.149596434641601,0.032893797675072466,0.019378972371921228,-0.014094483499321445,-0.0012226311903537276
condition,0.012454720169337997,-0.01016723589667316,-0.004574230186904841,1.0,-0.0014440380346066152,-0.002342051561689739,0.025445727810601542,0.0013533470957488797,-0.002264420887249586,-0.023174938288533252,-0.002397182600311774,0.02623013231814451,-0.0003127950844734208,-0.006882175668433315,-0.0033175308614272793,-0.001911249355117105,-0.008878036866044828
negative-condition,-0.01133478103414354,-0.014757877466211752,0.006649785801212762,-0.0014440380346066152,1.0,-0.001996616627489018,0.01601838617739653,0.007533638425872369,0.0020318784053226214,-0.010961967520590591,0.07344245912405281,0.0013659196133889143,0.0019737335872101855,-0.005867106684440552,-0.002828220090660479,0.09307687557915781,-0.00756859341449197
purpose,0.00026345947394799143,0.010869575682977722,-0.004884060785014791,-0.002342051561689739,-0.001996616627489018,1.0,-0.0071353280331745,-0.006266046834046872,-0.020285963551155552,0.003978865804391282,-0.0033144934719214095,-0.0022310287863411544,0.0034464904629756166,-0.009515723300624586,0.029233177461330553,-0.002642612002075165,-0.012275324888540431
concession,-0.03816946043313741,-0.049367006972746055,-0.07713664642752649,0.025445727810601542,0.01601838617739653,-0.0071353280331745,1.0,0.17707520112713424,-0.06503806102396376,-0.10230295552389838,-0.0032940313811220673,-0.1084973046590887,-0.12550352633864675,-0.01277243653438214,-0.012500732394986107,0.024890994463605393,0.07153153567430727
contrast,-0.03863030051358311,-0.07944289293393308,-0.1071484523902288,0.0013533470957488797,0.007533638425872369,-0.006266046834046872,0.17707520112713424,1.0,-0.0024717588878988795,-0.06686377902750124,0.03597141592541944,-0.03850258184391265,-0.0707797015991553,0.009383323699465046,-0.026540533844992276,0.029612079123426917,0.10891360013410373
similarity,-0.04457600123072305,-0.060720836012117724,-0.09656234174853279,-0.002264420887249586,0.0020318784053226214,-0.020285963551155552,-0.06503806102396376,-0.0024717588878988795,1.0,0.1398206237283586,0.036485024553231,0.04536949484657668,-0.05291225949064665,0.016245912518728877,2.550838506225439e-05,-0.01655451800860538,-0.025350178656821955
conjunction,-0.0070978280017440845,-0.08243112792834142,-0.28701801825028445,-0.023174938288533252,-0.010961967520590591,0.003978865804391282,-0.10230295552389838,-0.06686377902750124,0.1398206237283586,1.0,-0.003797007065574545,-0.06437847720687016,-0.0906468973586071,-0.03395435497979742,-0.01415804887099655,-0.0008205909313381279,-0.08050414333903193
disjunction,-0.0015594044937666121,-0.020297019022514694,-0.00663703462144159,-0.002397182600311774,0.07344245912405281,-0.0033144934719214095,-0.0032940313811220673,0.03597141592541944,0.036485024553231,-0.003797007065574545,1.0,0.007147721749162374,-0.010059753088874256,-0.009739719952698652,-0.004695000982457107,-0.002704818123721927,0.03817759591966092
instantiation,-0.10767564360400603,-0.1392013753484109,-0.10183464583833245,0.02623013231814451,0.0013659196133889143,-0.0022310287863411544,-0.1084973046590887,-0.03850258184391265,0.04536949484657668,-0.06437847720687016,0.007147721749162374,1.0,0.17637876885452444,0.019375254299237435,0.031065550714421526,0.013802146426638948,-0.03686604885250267
level-of-detail,-0.08859656318424387,-0.22717084196326323,-0.149596434641601,-0.0003127950844734208,0.0019737335872101855,0.0034464904629756166,-0.12550352633864675,-0.0707797015991553,-0.05291225949064665,-0.0906468973586071,-0.010059753088874256,0.17637876885452444,1.0,0.046329504753819147,0.02038503938823992,-0.007441082946926778,-0.01255514724736959
equivalence,-0.03530231467371433,-0.047155009168084995,0.032893797675072466,-0.006882175668433315,-0.005867106684440552,-0.009515723300624586,-0.01277243653438214,0.009383323699465046,0.016245912518728877,-0.03395435497979742,-0.009739719952698652,0.019375254299237435,0.046329504753819147,1.0,0.010099339297059102,0.01261012451395595,0.04157935236342908
manner,-0.013549436980953724,-0.0174558577315773,0.019378972371921228,-0.0033175308614272793,-0.002828220090660479,0.029233177461330553,-0.012500732394986107,-0.026540533844992276,2.550838506225439e-05,-0.01415804887099655,-0.004695000982457107,0.031065550714421526,0.02038503938823992,0.010099339297059102,1.0,-0.003743276627666271,0.0009901898609320026
exception,0.0065864512189316065,-0.011155444039065342,-0.014094483499321445,-0.001911249355117105,0.09307687557915781,-0.002642612002075165,0.024890994463605393,0.029612079123426917,-0.01655451800860538,-0.0008205909313381279,-0.002704818123721927,0.013802146426638948,-0.007441082946926778,0.01261012451395595,-0.003743276627666271,1.0,0.005864368520589178
substitution,-0.010253912712168842,-0.03320445299787201,-0.0012226311903537276,-0.008878036866044828,-0.00756859341449197,-0.012275324888540431,0.07153153567430727,0.10891360013410373,-0.025350178656821955,-0.08050414333903193,0.03817759591966092,-0.03686604885250267,-0.01255514724736959,0.04157935236342908,0.0009901898609320026,0.005864368520589178,1.0
