,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.05393663540615506,-0.1262164392040161,0.06751125483513751,-0.029050445131933996,-0.04702605680435221,0.1013557252339113,0.1814473967856189,0.012275186893597953,-0.005893911351226556,0.02107344185167942,-0.03595843057286406,-0.13648175880979527,-0.013314792831899722,0.01198045229872807,0.013646737061827131,0.04250849570050594
asynchronous,0.05393663540615506,1.0,0.014898834512676117,-0.029060263433563008,0.010035289896072889,-0.03080269461852498,-0.015451665097032828,0.02479867689965099,-0.08609217091718988,-0.20157943290237051,-0.04570763390717559,-0.17337454393314009,-0.17356647838426853,-0.037602349759129204,-0.06235026543026829,-0.02043629225658155,0.012167546955740918
cause,-0.1262164392040161,0.014898834512676117,1.0,0.01645481278702365,0.017143965068133826,0.14479272430421491,-0.05297130344054619,-0.15730570557839868,-0.12143734130227102,-0.34028424147887093,-0.03375961438349448,-0.08172108748698788,-0.2696068000840809,-0.010980187717199129,-0.0007312458046282935,-0.005172252073504958,0.0063646402271897926
condition,0.06751125483513751,-0.029060263433563008,0.01645481278702365,1.0,0.049873973200610426,0.04658457345285686,0.03248451762768748,-0.001665178247124513,0.03282376613267343,-0.07682626202865275,-0.040382156971766184,0.01726517070750835,-0.049331016603984354,0.02078360519609759,0.04778331125555784,0.06143845927362202,-0.0399276288369956
negative-condition,-0.029050445131933996,0.010035289896072889,0.017143965068133826,0.049873973200610426,1.0,-0.02316136401195315,0.015335660950320495,0.05916551718118147,-0.019885142860847905,-0.04215909198628565,-0.011402743402972773,0.022894160951820498,0.004709544001114724,0.08932773691986629,-0.021896674712990637,-0.005117753551741901,-0.007529019119663406
purpose,-0.04702605680435221,-0.03080269461852498,0.14479272430421491,0.04658457345285686,-0.02316136401195315,1.0,-0.034452773693455015,-0.10515378536088833,-0.019249600813410966,-0.07921264178964868,0.03608187679068039,-0.06316941398996047,-0.08882317458818285,-0.028767035840356368,0.04659800468042673,-0.03544171172767272,-0.004078167026504714
concession,0.1013557252339113,-0.015451665097032828,-0.05297130344054619,0.03248451762768748,0.015335660950320495,-0.034452773693455015,1.0,0.2966387021958542,-0.05691482826736157,-0.11204206239673487,0.025670082469419073,-0.005883447295193682,-0.1516475204803163,-0.08318871369738588,0.014184056186273102,0.06523576917427704,0.02621903374553318
contrast,0.1814473967856189,0.02479867689965099,-0.15730570557839868,-0.001665178247124513,0.05916551718118147,-0.10515378536088833,0.2966387021958542,1.0,0.009867661449169058,-0.04797930135096233,0.10849009961876285,-0.05207330237324352,-0.18584288549856845,-0.06042979616335023,-0.04304295594648507,0.047012322235191036,0.08237256224435349
similarity,0.012275186893597953,-0.08609217091718988,-0.12143734130227102,0.03282376613267343,-0.019885142860847905,-0.019249600813410966,-0.05691482826736157,0.009867661449169058,1.0,0.0925440956071166,0.0860513777107916,0.07752326736364838,-0.0879226000886685,0.08330698890129712,0.016494517657913346,-0.030428410890396843,-0.01772139043028668
conjunction,-0.005893911351226556,-0.20157943290237051,-0.34028424147887093,-0.07682626202865275,-0.04215909198628565,-0.07921264178964868,-0.11204206239673487,-0.04797930135096233,0.0925440956071166,1.0,-0.01806574716313151,-0.0008099124431255012,0.07998584393352587,0.00947132889900398,-0.05389460935670354,-0.09420266864317228,-0.037056313662686476
disjunction,0.02107344185167942,-0.04570763390717559,-0.03375961438349448,-0.040382156971766184,-0.011402743402972773,0.03608187679068039,0.025670082469419073,0.10849009961876285,0.0860513777107916,-0.01806574716313151,1.0,-0.030601851144543446,-0.0996667998443306,0.020863377503119805,-0.057724699542780006,-0.017448572734499467,0.1995181501339302
instantiation,-0.03595843057286406,-0.17337454393314009,-0.08172108748698788,0.01726517070750835,0.022894160951820498,-0.06316941398996047,-0.005883447295193682,-0.05207330237324352,0.07752326736364838,-0.0008099124431255012,-0.030601851144543446,1.0,-0.03157110952239248,0.019757040633390385,0.08390029704543207,-0.019802344016325826,-0.07583168609470256
level-of-detail,-0.13648175880979527,-0.17356647838426853,-0.2696068000840809,-0.049331016603984354,0.004709544001114724,-0.08882317458818285,-0.1516475204803163,-0.18584288549856845,-0.0879226000886685,0.07998584393352587,-0.0996667998443306,-0.03157110952239248,1.0,0.023713700844533163,-0.02010129745750748,-0.019363585727874538,-0.04490442437538255
equivalence,-0.013314792831899722,-0.037602349759129204,-0.010980187717199129,0.02078360519609759,0.08932773691986629,-0.028767035840356368,-0.08318871369738588,-0.06042979616335023,0.08330698890129712,0.00947132889900398,0.020863377503119805,0.019757040633390385,0.023713700844533163,1.0,0.04742819211535743,-0.01751555859733785,0.06497612629908064
manner,0.01198045229872807,-0.06235026543026829,-0.0007312458046282935,0.04778331125555784,-0.021896674712990637,0.04659800468042673,0.014184056186273102,-0.04304295594648507,0.016494517657913346,-0.05389460935670354,-0.057724699542780006,0.08390029704543207,-0.02010129745750748,0.04742819211535743,1.0,0.0038209136618808453,-0.04929328428877586
exception,0.013646737061827131,-0.02043629225658155,-0.005172252073504958,0.06143845927362202,-0.005117753551741901,-0.03544171172767272,0.06523576917427704,0.047012322235191036,-0.030428410890396843,-0.09420266864317228,-0.017448572734499467,-0.019802344016325826,-0.019363585727874538,-0.01751555859733785,0.0038209136618808453,1.0,-0.011520967637896232
substitution,0.04250849570050594,0.012167546955740918,0.0063646402271897926,-0.0399276288369956,-0.007529019119663406,-0.004078167026504714,0.02621903374553318,0.08237256224435349,-0.01772139043028668,-0.037056313662686476,0.1995181501339302,-0.07583168609470256,-0.04490442437538255,0.06497612629908064,-0.04929328428877586,-0.011520967637896232,1.0
