,synchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.3148991520602448,0.6509470594593325,0.7052330715084698,0.5748775793376616,0.5831087189610117,0.569086552380293,0.6244018371010613,0.4562948270010029,0.6775637993230232,0.47520688092004254,0.3667865162437125,0.6733332374930531,0.6137104941683792,0.7034686038567365,0.701498604367041
cause,0.3148991520602448,1.0,0.45382777768388594,0.5019952790373844,0.48585648944212284,0.3671363409897261,0.27040443079935916,0.3912412711389758,0.13606047444627925,0.47107827473243746,0.3137527074858001,0.14469822974512506,0.47694734606438927,0.43085462821751547,0.496014080589729,0.4921479182657184
condition,0.6509470594593325,0.45382777768388594,1.0,0.879506784037649,0.7398933128313712,0.6775346346018153,0.5981236673803634,0.7676630163688757,0.5252903428330499,0.8281286799263372,0.6051363141184664,0.5000039401874828,0.8381049212926663,0.75991907957187,0.8751113167857535,0.8557671303362295
negative-condition,0.7052330715084698,0.5019952790373844,0.879506784037649,1.0,0.8186143112984358,0.7533090671218601,0.6746455290549811,0.854633477855943,0.6220722757034793,0.9406774701430939,0.6787372429141153,0.5832950110701085,0.9447280448629607,0.8424373689023172,0.9826823799907357,0.9697062798293599
purpose,0.5748775793376616,0.48585648944212284,0.7398933128313712,0.8186143112984358,1.0,0.6148002336491198,0.5243168934164091,0.7039848514607319,0.4871589737350331,0.785981900849313,0.5392517145990806,0.44278959319523115,0.7755832332912566,0.7141399810274034,0.8109334674591703,0.8033926237129524
concession,0.5831087189610117,0.3671363409897261,0.6775346346018153,0.7533090671218601,0.6148002336491198,1.0,0.6554911942775113,0.6373260810110742,0.42927601299688833,0.7211946957980377,0.5183778044847507,0.3799114230230899,0.700749558540582,0.6472158869821123,0.7532739543732189,0.74057954669633
contrast,0.569086552380293,0.27040443079935916,0.5981236673803634,0.6746455290549811,0.5243168934164091,0.6554911942775113,1.0,0.5908434798001877,0.4038036201527806,0.6638688495354499,0.4447939237050011,0.3143366017011406,0.6266271718997302,0.5616961465065978,0.6715536115341088,0.669474400494533
similarity,0.6244018371010613,0.3912412711389758,0.7676630163688757,0.854633477855943,0.7039848514607319,0.6373260810110742,0.5908434798001877,1.0,0.5666662936982112,0.8265063154041994,0.608485783374042,0.46865443424980596,0.8269662233514131,0.734306416292422,0.8469672727704043,0.8366572113180448
conjunction,0.4562948270010029,0.13606047444627925,0.5252903428330499,0.6220722757034793,0.4871589737350331,0.42927601299688833,0.4038036201527806,0.5666662936982112,1.0,0.5877188642255771,0.40575509924321096,0.3961513544997028,0.5939241589635164,0.5104586427904815,0.6095454802968515,0.6071150705729433
disjunction,0.6775637993230232,0.47107827473243746,0.8281286799263372,0.9406774701430939,0.785981900849313,0.7211946957980377,0.6638688495354499,0.8265063154041994,0.5877188642255771,1.0,0.6358927613185954,0.5286613146487044,0.8977671029924765,0.7921602114173523,0.9333463237527605,0.9364811995761649
instantiation,0.47520688092004254,0.3137527074858001,0.6051363141184664,0.6787372429141153,0.5392517145990806,0.5183778044847507,0.4447939237050011,0.608485783374042,0.40575509924321096,0.6358927613185954,1.0,0.373310268010167,0.6474569694630573,0.6079023170791399,0.6703115031598341,0.6528876830318088
level-of-detail,0.3667865162437125,0.14469822974512506,0.5000039401874828,0.5832950110701085,0.44278959319523115,0.3799114230230899,0.3143366017011406,0.46865443424980596,0.3961513544997028,0.5286613146487044,0.373310268010167,1.0,0.5580912015985657,0.48643376755411044,0.5764528818906196,0.5657805289027154
equivalence,0.6733332374930531,0.47694734606438927,0.8381049212926663,0.9447280448629607,0.7755832332912566,0.700749558540582,0.6266271718997302,0.8269662233514131,0.5939241589635164,0.8977671029924765,0.6474569694630573,0.5580912015985657,1.0,0.8108108640930832,0.934208495124373,0.9279110619605351
manner,0.6137104941683792,0.43085462821751547,0.75991907957187,0.8424373689023172,0.7141399810274034,0.6472158869821123,0.5616961465065978,0.734306416292422,0.5104586427904815,0.7921602114173523,0.6079023170791399,0.48643376755411044,0.8108108640930832,1.0,0.837609731345833,0.8213325428665142
exception,0.7034686038567365,0.496014080589729,0.8751113167857535,0.9826823799907357,0.8109334674591703,0.7532739543732189,0.6715536115341088,0.8469672727704043,0.6095454802968515,0.9333463237527605,0.6703115031598341,0.5764528818906196,0.934208495124373,0.837609731345833,1.0,0.9625164422604342
substitution,0.701498604367041,0.4921479182657184,0.8557671303362295,0.9697062798293599,0.8033926237129524,0.74057954669633,0.669474400494533,0.8366572113180448,0.6071150705729433,0.9364811995761649,0.6528876830318088,0.5657805289027154,0.9279110619605351,0.8213325428665142,0.9625164422604342,1.0
