,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.24548706085647193,0.030119127807040232,0.3952518684515506,0.47518477387533653,0.2753312279928038,0.2785123303271074,0.2874539144224709,0.35384666145004856,0.13057105386569004,0.4335987615488022,0.07209968562802699,0.06672134354472158,0.41721923999582,0.312221057006707,0.48252406798257313,0.47087522490204503
asynchronous,0.24548706085647193,1.0,0.11738393851527422,0.3228583419619736,0.44940203713331567,0.2700840659057102,0.20145382036405324,0.18881810199339727,0.27936147891343394,0.054153452650348675,0.37773079182379987,-0.01860137680160216,0.06345969233183144,0.3861138427838985,0.25167381105336806,0.4405206041304018,0.43527349473736016
cause,0.030119127807040232,0.11738393851527422,1.0,0.1871721821175255,0.2552697168671345,0.2164411238476299,0.07937611575587851,-0.024360050605196127,0.12146380355534461,-0.11760355591196077,0.20623313771171006,0.011609424902440976,-0.07677569973161032,0.2229588843172524,0.16331501544592955,0.248228869994171,0.2433862050848485
condition,0.3952518684515506,0.3228583419619736,0.1871721821175255,1.0,0.7597032695425568,0.515477090964735,0.38143674440682646,0.2671895895433451,0.5751733905218089,0.22895477528820454,0.6633352980296793,0.22791306842309797,0.2188499086200665,0.6890137761769688,0.5336074545183027,0.7591150235011545,0.7126512015616695
negative-condition,0.47518477387533653,0.44940203713331567,0.2552697168671345,0.7597032695425568,1.0,0.6594696428944533,0.49193780082804905,0.3843102236775074,0.7235459730084988,0.35186695303602267,0.8791580520849703,0.3038058654665657,0.31839724210138043,0.8896886144668541,0.6664424580259223,0.9702154281025512,0.9364407528397666
purpose,0.2753312279928038,0.2700840659057102,0.2164411238476299,0.515477090964735,0.6594696428944533,1.0,0.2914997109347934,0.16036018938200008,0.47453520739943356,0.20659749484755338,0.6085376550602566,0.13317598467670927,0.18617395486675895,0.5831290924268953,0.46779435998924024,0.6543554268131737,0.6346670218012747
concession,0.2785123303271074,0.20145382036405324,0.07937611575587851,0.38143674440682646,0.49193780082804905,0.2914997109347934,1.0,0.36609476523365553,0.3139417576941773,0.08914193217413321,0.44574310281070034,0.1059271339792215,0.06930491706944913,0.39588933536043097,0.3174566834900153,0.4976991282883226,0.47470586855890146
contrast,0.2874539144224709,0.18881810199339727,-0.024360050605196127,0.2671895895433451,0.3843102236775074,0.16036018938200008,0.36609476523365553,1.0,0.26299279135678444,0.0769901835485965,0.37093205986671157,0.018664227058252943,0.003215786886777998,0.3021912838812271,0.1949540382042908,0.38360257527842023,0.377787499955603
similarity,0.35384666145004856,0.27936147891343394,0.12146380355534461,0.5751733905218089,0.7235459730084988,0.47453520739943356,0.3139417576941773,0.26299279135678444,1.0,0.27515772587457277,0.6794455842144117,0.25469583892561565,0.2001493816093053,0.6784606004700499,0.4957690872068538,0.7184198492942865,0.6904586510725178
conjunction,0.13057105386569004,0.054153452650348675,-0.11760355591196077,0.22895477528820454,0.35186695303602267,0.20659749484755338,0.08914193217413321,0.0769901835485965,0.27515772587457277,1.0,0.3131679207538373,0.09336024504623018,0.2293580696313864,0.31845369217589176,0.20628816582630882,0.3463560469808487,0.33459034341533694
disjunction,0.4335987615488022,0.37773079182379987,0.20623313771171006,0.6633352980296793,0.8791580520849703,0.6085376550602566,0.44574310281070034,0.37093205986671157,0.6794455842144117,0.3131679207538373,1.0,0.2485530438382247,0.2612338901097153,0.8014890851135056,0.5779004806183351,0.8740173066678016,0.8762890811498572
instantiation,0.07209968562802699,-0.01860137680160216,0.011609424902440976,0.22791306842309797,0.3038058654665657,0.13317598467670927,0.1059271339792215,0.018664227058252943,0.25469583892561565,0.09336024504623018,0.2485530438382247,1.0,0.07764945809877961,0.27387041571733733,0.23211536184522077,0.2949729905577968,0.2590228988434849
level-of-detail,0.06672134354472158,0.06345969233183144,-0.07677569973161032,0.2188499086200665,0.31839724210138043,0.18617395486675895,0.06930491706944913,0.003215786886777998,0.2001493816093053,0.2293580696313864,0.2612338901097153,0.07764945809877961,1.0,0.2919131254794717,0.19780663089181816,0.31272959716514453,0.2965102686238378
equivalence,0.41721923999582,0.3861138427838985,0.2229588843172524,0.6890137761769688,0.8896886144668541,0.5831290924268953,0.39588933536043097,0.3021912838812271,0.6784606004700499,0.31845369217589176,0.8014890851135056,0.27387041571733733,0.2919131254794717,1.0,0.6191610199365196,0.8759540488472956,0.8588419685147995
manner,0.312221057006707,0.25167381105336806,0.16331501544592955,0.5336074545183027,0.6664424580259223,0.46779435998924024,0.3174566834900153,0.1949540382042908,0.4957690872068538,0.20628816582630882,0.5779004806183351,0.23211536184522077,0.19780663089181816,0.6191610199365196,1.0,0.6685763653881748,0.6276022548307743
exception,0.48252406798257313,0.4405206041304018,0.248228869994171,0.7591150235011545,0.9702154281025512,0.6543554268131737,0.4976991282883226,0.38360257527842023,0.7184198492942865,0.3463560469808487,0.8740173066678016,0.2949729905577968,0.31272959716514453,0.8759540488472956,0.6685763653881748,1.0,0.9312941908443481
substitution,0.47087522490204503,0.43527349473736016,0.2433862050848485,0.7126512015616695,0.9364407528397666,0.6346670218012747,0.47470586855890146,0.377787499955603,0.6904586510725178,0.33459034341533694,0.8762890811498572,0.2590228988434849,0.2965102686238378,0.8588419685147995,0.6276022548307743,0.9312941908443481,1.0
