,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst,differentcon,norel
synchronous,1.0,0.02739424651128141,0.020198887153004674,-0.1025662815419282,-0.08803960894096428,0.08379522180879621,-0.005014111672447883,,-0.0250180634963498,-0.006088153949364035,-0.07192503063509198,0.03765984021838692,0.04918268682802565,0.1223958277661514,0.0016203161861888353,-0.036978520719310154,0.0002869639542668866,0.00017453479641569162,-0.05776073847036642,-0.022285395000745414,-0.15869569522064148,-0.008057752297246293,0.002690265520435622,-0.016962469073852262,0.016480213149631176,-0.01219266366366993,0.02102941181634954,0.033071093962511816,,0.017503093558463793
precedence,0.02739424651128141,1.0,0.5051840270117165,-0.16881490594284315,0.11364071262788152,-0.051718248929935325,-0.062035140933716065,,0.00699313202274453,-0.05682062247216885,-0.030550026785858036,-0.09729932639726857,-0.01617054126929185,-0.05622682705509711,-0.09109513065429738,-0.2567292781411095,-0.04970041947624669,-0.05553639011097905,-0.14030837463219115,-0.08808557243848342,-0.19346867144921687,-0.053619413056577865,-0.01061900972561451,-0.05604284337813933,-0.0208360479314163,-0.0013954374292976467,-0.007078108128968518,0.01810966200983747,,-0.007684009754754633
succession,0.020198887153004674,0.5051840270117165,1.0,-0.10378984898451568,-0.01598162149142658,0.011607363593394197,-0.05451197111707231,,0.010867077400763925,-0.027326942137793065,0.004370065768893591,-0.047908980146246324,-0.01453864507563159,-0.021187904460095778,-0.05679721574580921,-0.17405215975172356,-0.004814386965334333,-0.062114496697697516,-0.11557537389946383,-0.049426040271790206,-0.14872627178370254,-0.008628810985595776,-0.015819824841998988,-0.05966034539522376,-0.017472573925340355,0.03310351907609549,0.009577378264472115,-0.015240725969964349,,-0.009391178441698756
reason,-0.1025662815419282,-0.16881490594284315,-0.10378984898451568,1.0,-0.2049277611198911,-0.06571791117392861,0.033205194136915875,,0.02442892057993838,-0.06858021087195577,0.1856712638814314,-0.05616933624840452,-0.06753334084568985,-0.1218410551081302,-0.07055496712885079,-0.22597430057656095,-0.021399307351871344,-0.08416006720577257,-0.05519775608758241,-0.10761965739577369,-0.12865069497470344,0.012196277100922316,-0.03680296478156771,-0.01630826594,-0.02429949326366489,-0.02321121768461764,0.04688345067157534,-0.04210470671196887,,-0.024334097270417816
result,-0.08803960894096428,0.11364071262788152,-0.01598162149142658,-0.2049277611198911,1.0,0.069112395932991,-0.027989062045319944,,-0.01780150764718829,0.16872128076030143,-0.03901087553428521,-0.06299755125876089,-0.03359562403672055,-0.13626657587876775,-0.0974874205231599,-0.3304794576090586,-0.01774203223557514,0.08848646234241608,-0.14748889776146323,-0.006683725186778192,-0.29640115593447014,-0.047866576580422725,0.06689793600464736,-0.028336590563159566,-0.03155033937253998,0.029321374061219818,-0.011284480485985059,-0.005665106326713356,,-0.029732519905033523
arg1-as-cond,0.08379522180879621,-0.051718248929935325,0.011607363593394197,-0.06571791117392861,0.069112395932991,1.0,0.022969893082441954,,-0.013877066383099426,0.05814527800218357,-0.0025162062341058645,0.014184694801368502,0.024007664523180067,0.0274814412383129,0.02131345193035783,-0.05809989980726981,-0.0278383439395652,0.07902610375438335,-0.058338127776319755,-0.011819173913525478,-0.09120298997243638,0.015733000894366814,0.017228096699846075,-0.033005310292990475,0.17067287689063668,-0.017010094320383994,-0.021244990955440204,-0.022724577960607936,,0.020288448463468077
arg2-as-cond,-0.005014111672447883,-0.062035140933716065,-0.05451197111707231,0.033205194136915875,-0.027989062045319944,0.022969893082441954,1.0,,0.08650742654741284,0.023632485105191746,0.052246558734168586,0.003363037666069661,-0.0016397883124013913,-0.04098135283585791,0.0210904145233587,-0.0758087854118406,-0.028473169358146717,-0.03244743156527036,0.05391082607867073,-0.040399418797694875,0.011265161469224221,-0.0064476386598969464,-0.03278134685799643,0.12311776513238136,-0.008135331046962131,-0.012220018473780144,-0.015262359929401637,-0.016325292338603338,,0.0756244185471624
arg1-as-negcond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arg2-as-negcond,-0.0250180634963498,0.00699313202274453,0.010867077400763925,0.02442892057993838,-0.01780150764718829,-0.013877066383099426,0.08650742654741284,,1.0,-0.012935508059863664,-0.01697991106489231,0.01656717039164078,-0.017053576968537727,0.04832431540119917,-0.01797848052744848,-0.045217975461773655,-0.009552165017869544,-0.017913356544593997,0.01026176107553924,-0.02236878300515713,-0.003103474377065468,0.08195558702597189,-0.010997470311678139,-0.016713613479427843,-0.0027292369057379065,-0.004099565858465424,-0.005120209091372228,-0.005476801139409607,,-0.009650107221674207
arg1-as-goal,-0.006088153949364035,-0.05682062247216885,-0.027326942137793065,-0.06858021087195577,0.16872128076030143,0.05814527800218357,0.023632485105191746,,-0.012935508059863664,1.0,-6.378632507245322e-19,-0.0071196805636589665,-0.029314848006880636,-0.04592333741000461,-0.004635711543353765,-0.04529312446696381,0.06568012473913219,0.06335409810890898,-0.028464249145877103,0.011352794064273647,-0.1224509466754621,-0.04322468315469123,0.058738950229865375,0.005621176128687202,-0.010555915731443537,-0.015855960194032268,-0.01980351928492014,0.022947942743970696,,0.0015551617868170857
