,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,differentcon,norel
synchronous,1.0,0.23458958036438424,0.032509654886886875,-0.10803984466278835,-0.08149567439039955,,0.012589101327946007,-0.011458399401510751,,-0.0032896815716014034,0.004625325892768449,-0.05201807439637706,-0.022071508701934642,-0.039940046126220985,-0.04560350755145193,-0.0081490505458792,-0.0015770960667534236,-0.010358254129119547,-0.11618567514497402,-0.10395555669713613,-0.06904516247562283,-0.03568855893979109,0.008036394047591693,-0.02222676197822473,-0.007014110485431179,0.009533728305285764,-0.010396189599837659,0.061203442967571645,0.0015778897478471482
precedence,0.23458958036438424,1.0,0.03099569145198944,-0.18946018210293247,0.07185104405778257,,-0.01715031262153983,-0.013750979315318804,,-0.007285433136290749,0.015213200388064105,-0.09795177486448775,-0.011863413736985278,-0.09232527582204086,-0.06389582148440467,-0.10069091978094946,-0.019708337528454887,-0.0372154588612083,-0.167101390854918,-0.11814609180076353,-0.2583014680108983,-0.0434969459022393,-0.004824540764699105,-0.015264022735899883,-0.01340520662081566,-0.0053432844085473125,-0.028784535278261317,0.028405783076294162,-0.01148721862126236
succession,0.032509654886886875,0.03099569145198944,1.0,-0.015623883061384914,-0.09046860463698295,,0.009806213340152565,-0.0075923494363341806,,0.04052508227100691,-0.007592350514206305,0.030484865148122896,-0.018020182441303965,0.0016976562315522265,-0.013976716201514396,0.0015666491523833022,8.469224919035125e-05,-0.011919827351924836,0.018003517494738233,-0.05236228207150441,0.04136806741721806,-0.027130082665894978,-0.009682112182376223,-0.003851413057851305,-0.0046475581732146444,-0.009301556133747169,-0.028964570581603268,0.009782361323108503,0.004557209693993634
reason,-0.10803984466278835,-0.18946018210293247,-0.015623883061384914,1.0,-0.1256956859919801,,0.006209117336216433,0.028532689680290983,,-0.010934256039857166,0.011336508193257013,0.026452372749066887,-0.0785977358681105,0.005783332763162627,-0.03223892804451066,-0.13908169423407238,0.00994726082003618,0.025207128389326774,0.09568208958262861,0.10070702274691322,0.13594454976901377,0.058296921795172825,0.00047594037966086557,0.009463052414294171,0.000160603174575059,-0.0030727641957495368,0.020589412577507613,-0.0471830022938078,-0.01834741261930257
result,-0.08149567439039955,0.07185104405778257,-0.09046860463698295,-0.1256956859919801,1.0,,-0.007873002589824627,-0.004696979640271207,,0.011398876576946868,-0.018987904704560243,-0.09015846686736365,-0.025806782561121993,-0.12586888013331923,-0.08711805349548979,-0.2768182347320888,-0.017303647899676325,-0.04430570061267991,-0.15470408329338578,0.07212819102573965,-0.30405675885866046,0.021572798145754243,0.010080718236688466,0.014497129286491352,-0.00438262540101332,-0.01581264922080239,-0.005503204565902083,-0.0807985141162056,-0.015950313756217183
arg1-as-cond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arg2-as-cond,0.012589101327946007,-0.01715031262153983,0.009806213340152565,0.006209117336216433,-0.007873002589824627,,1.0,-0.00144420451666523,,-0.0018417155684467299,-0.0014442047216963346,0.011601572728957973,0.021214095218451072,0.0013841630491846647,-0.0022915090178810367,-0.026298169708764214,-0.002397525989134951,0.04481615152899054,0.025827330301435268,0.0015345612510746687,-0.0029178160751997385,-0.006883221607879866,-0.0018417158301131341,-0.0028014375232515362,-0.0008840510518522401,-0.0017693270697059578,-0.008905149938847605,-0.010271814483865015,-0.007311165965893326
arg1-as-negcond,-0.011458399401510751,-0.013750979315318804,-0.0075923494363341806,0.028532689680290983,-0.004696979640271207,,-0.00144420451666523,1.0,,-0.001570257431064379,-0.0012313373655925234,-0.00281403997728365,0.02538876895979667,0.007705728868765734,0.0020561102081757495,-0.012441616929241003,0.07346145500457513,-0.005260843369519072,0.002519380392874312,0.029934139027482345,-0.005197047730494046,-0.005868674872826265,-0.0015702576541626813,-0.0023885219650167447,0.20373155474841348,-0.0015085385750049946,-0.007592582755876515,-0.014654837070238682,-0.006233542727431767
arg2-as-negcond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arg1-as-goal,-0.0032896815716014034,-0.007285433136290749,0.04052508227100691,-0.010934256039857166,0.011398876576946868,,-0.0018417155684467299,-0.001570257431064379,,1.0,-0.001570257653990988,0.006235566644883929,-0.014097772539712087,-0.003833942630990733,-0.016143071358411285,-0.005754929555359342,-0.0026067866130914524,0.04019186269142937,-0.013795439682643327,0.005424114728831264,-0.002798264915702214,-0.007484002268870957,-0.002002464287275467,0.04775116011302967,-0.000961212707474897,-0.0019237572983114822,-0.009682408346503829,-0.00262105517012241,-0.007949298423604197
