,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst,differentcon,norel
synchronous,1.0,0.042108330717450806,0.028772471536974112,-0.08970936176465047,-0.07091971681723595,0.09932807251529542,-0.013147106579429836,,-0.02958131530440773,0.019755878795755678,-0.08211901567798159,0.0937294786554395,0.08347850415574515,0.19223363323978704,0.012607535298612478,-0.006798630170627019,0.021558609165797427,0.014853728822524772,-0.048862425472154414,-0.03106430637697405,-0.15357039571770761,-0.013577492959404002,0.014093865501796345,0.01731879308182001,0.031137504112700255,-0.0032520132599037897,0.01995944539625145,0.040357000089916197,,0.04751945367578203
precedence,0.042108330717450806,1.0,0.44432774715725804,-0.19860317637638994,0.21366757959534502,-0.04926792694357742,-0.06931680838190328,,0.01455726814972017,-0.04291683126816444,-0.025344572086258354,-0.08314804181773928,0.030881707110306852,-0.00797421829484855,-0.09631373374432665,-0.24995044156301294,-0.07640461856047281,-0.032676260078192666,-0.1708699591594217,-0.08076420774836582,-0.17456641631520697,-0.0454356954685446,8.661760051268522e-05,-0.052463048634922,-0.02568395193576592,-0.001911575328289617,-0.015347933194026135,0.028976048895903113,,-0.00394592975599504
succession,0.028772471536974112,0.44432774715725804,1.0,-0.12637013422528828,0.056563648900464815,0.059666674560045575,-0.05887699451014307,,0.02639081337915564,-0.01993324538546534,0.0013967960608238994,-0.02499308875329744,0.005813262752875532,0.04946454909749692,-0.06695323751592687,-0.1768054343827948,0.010890534976052963,-0.0481253629297012,-0.17235969525240977,-0.039518095280580326,-0.15064700352241206,-0.015765870290351282,-0.01718858978454298,-0.07948808773628883,-0.019935358545890732,0.015434747683070845,0.029288143378088192,-0.008796629008009732,,0.013546656804360822
reason,-0.08970936176465047,-0.19860317637638994,-0.12637013422528828,1.0,-0.1958713677647334,-0.06839427262025938,0.04874213201594293,,0.039027643323455125,-0.07050860037870636,0.1939808350231906,-0.007092193539264324,-0.038893316063113255,-0.10824484517695365,-0.0743529195133835,-0.14299306259927763,-0.031898554916068536,-0.08532882319434393,0.008385080944232242,-0.10232103141987502,-0.04400189867936344,0.03944486600936781,-0.018755645794271945,0.03492716068193158,-0.03239167413149597,-0.020520357111237963,0.029859973436157806,-0.045424261722820436,,-0.03383275888778133
result,-0.07091971681723595,0.21366757959534502,0.056563648900464815,-0.1958713677647334,1.0,0.06556274410308266,0.0020843673055771163,,0.000403071692724156,0.1599926546184081,-0.03722308336895609,-0.05247509282967163,-0.010557003696299671,-0.09599995863954343,-0.07957310066334536,-0.29759992709215294,-0.03936261250539499,0.12565652401438293,-0.12862579850436925,0.039976192871841086,-0.3051967273495031,-0.034910166392846824,0.06105028012177634,0.0027271064847705444,-0.04223375989816366,0.06137029363661076,0.009996689395628464,0.01413343857118787,,-0.02345319038577617
arg1-as-cond,0.09932807251529542,-0.04926792694357742,0.059666674560045575,-0.06839427262025938,0.06556274410308266,1.0,0.010905665344989011,,-0.014319027730856209,0.0683153815366142,0.0010235294892394625,0.010870301569061899,0.053140044819975585,0.03871754357361512,0.03575603504412076,-0.05003914564815726,-0.024496867828727103,0.06548237403423962,-0.08169938252432632,-0.0028806958227671022,-0.09279157295832116,0.02536228698087579,0.027192624397466322,-0.030086240862570383,0.1896553319028976,-0.01850638234460838,-0.021921608374175186,-0.023448317750085698,,0.013327475024737006
arg2-as-cond,-0.013147106579429836,-0.06931680838190328,-0.05887699451014307,0.04874213201594293,0.0020843673055771163,0.010905665344989011,1.0,,0.10029416978711991,0.014803792837177008,0.05247818162617068,0.01928855950070943,0.0022501938658933355,-0.04955095464978316,0.02075852837806773,-0.07223118098869767,-0.03549825953423565,-0.02521151311708491,0.09354437549276241,-0.03574397662409315,0.024881843492381737,-0.0021254447214259335,-0.0349566809274894,0.1207784560108117,-0.008456231267022048,-0.013392832230617978,-0.015864387631987577,-0.016969247682738553,,0.007986256917371301
arg1-as-negcond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arg2-as-negcond,-0.02958131530440773,0.01455726814972017,0.02639081337915564,0.039027643323455125,0.000403071692724156,-0.014319027730856209,0.10029416978711991,,1.0,-0.013724743371736191,-0.018666086753325213,0.030559725389211853,-0.01973176621144339,0.061392736235991216,-0.020077403634950232,-0.048051871963307395,-0.01145701399962028,-0.0206426475385224,0.04290812298205213,-0.026895664261625863,0.01708136630386819,0.08942109509142102,-0.011282220255904408,-0.018427054616648605,-0.0027292369057379034,-0.004322518015644447,-0.005120209091372234,-0.0054768011394096,,-0.010169714643319092
arg1-as-goal,0.019755878795755678,-0.04291683126816444,-0.01993324538546534,-0.07050860037870636,0.1599926546184081,0.0683153815366142,0.014803792837177008,,-0.013724743371736191,1.0,0.022986880350661713,-0.011646267699784402,-0.017939411557683024,-0.036578372278442545,0.012018883466729354,-0.036448565530177904,0.056950558358092256,0.0861027875272633,-0.029387438185124067,0.02951381097803754,-0.1379738590425271,-0.04702215287988889,0.03433670586957923,0.010301031789669115,-0.0111999647634453,-0.017738309694843492,-0.021011793180825623,0.029908323458997063,,0.015587425666076293
