,synchronous,precedence,succession,reason,result,arg1-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,2.7085357390700904,NA,0.10643285238623751,NA,NA,NA,0.13783309759547382,NA,NA,NA,NA,NA,NA,0.27400953029271613,NA
precedence,,,NA,0.05064063113514657,0.7529035292521931,NA,0.11969040055463002,0.49452278503660146,0.1366936340060456,0.06003453519239195,0.4337701590584619,NA,0.08498847854107672,0.20935072390965034,0.06781607081869725,NA
succession,,,,NA,0.08348942239125268,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6040411201701525,NA
reason,,,,,0.16987614920439975,NA,0.2769109490957772,0.12731532766439005,0.4236043623798726,0.08238603070432439,0.2782776536192413,NA,0.5127051403401611,NA,NA,NA
result,,,,,,NA,0.34500095739643205,0.4672064017071219,0.23755206257416578,0.1800497556215053,0.34736448011496135,NA,0.16902280893476784,1.6790123833809225,0.18764907847618983,NA
arg1-as-goal,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,4.370573734612225,NA,NA,0.13305612309896903,NA,0.06457946690335942,NA,0.4048061433325043,NA
arg2-as-denier,,,,,,,,,1.82533748701973,0.10669700510423713,0.2668623097648711,NA,0.24145296302982508,NA,0.13416898282927045,NA
contrast,,,,,,,,,,NA,0.2984720158762864,NA,0.1332683626261608,NA,0.19835635322499404,NA
similarity,,,,,,,,,,,5.486839035242411,NA,NA,NA,0.16014925202825292,NA
conjunction,,,,,,,,,,,,NA,0.3105065977681738,0.15074388111163603,0.5505966791553237,0.06253222251279561
disjunction,,,,,,,,,,,,,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,NA,1.7317268999249498,NA
arg1-as-detail,,,,,,,,,,,,,,,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,NA
arg2-as-subst,,,,,,,,,,,,,,,,
