,synchronous,precedence,succession,reason,result,arg1-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,0.001384205906599348,fisher,fisher,0.16878228289486344,fisher,fisher,fisher,fisher,fisher,0.7872717376114664,fisher,fisher,fisher,0.003319565821744629,fisher
precedence,,,fisher,2.31927402349975e-11,0.0028461711149440523,fisher,0.0012410228128551175,0.003085558046340068,0.0001647537797864514,0.004052480914082839,2.7698060043680895e-16,fisher,3.923658537257107e-09,0.02310732272497192,5.370276290925869e-35,fisher
succession,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
reason,,,,,2.7423019588005025e-30,fisher,0.02123501468107279,3.840736696832639e-06,0.030708410729787722,0.014148420913754678,5.890807607527779e-23,fisher,0.009812327468181043,fisher,0.4102027454661411,fisher
result,,,,,,fisher,1.428425262123264e-05,1.794032742122344e-08,2.079251345810557e-10,1.7755730900848174e-06,3.795015503642298e-68,fisher,5.551404716804402e-26,0.03152576020457128,4.158048879249692e-88,fisher
arg1-as-goal,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-denier,,,,,,,,2.795814890274542e-11,fisher,fisher,2.129721272524537e-11,fisher,0.005546633481065436,fisher,0.0014293978744004566,fisher
arg2-as-denier,,,,,,,,,0.02959347994215351,fisher,3.712657338761174e-19,fisher,0.0002505773480315319,fisher,2.5201006278364343e-17,fisher
contrast,,,,,,,,,,fisher,2.2719665031025316e-09,fisher,0.002410428083767841,fisher,5.700212008507779e-08,fisher
similarity,,,,,,,,,,,1.0275717886955625e-13,fisher,fisher,fisher,8.513003159171387e-05,fisher
conjunction,,,,,,,,,,,,fisher,1.336814867037902e-17,6.359233545980277e-07,4.2761602000521045e-19,fisher
disjunction,,,,,,,,,,,,,fisher,fisher,fisher,fisher
arg2-as-instance,,,,,,,,,,,,,,fisher,1.3209721335586195e-06,fisher
arg1-as-detail,,,,,,,,,,,,,,,0.12721111237366103,fisher
arg2-as-detail,,,,,,,,,,,,,,,,fisher
arg2-as-subst,,,,,,,,,,,,,,,,
