,synchronous,precedence,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,,0.07865284639478187,0.04730913188897086,NA,NA,NA,NA,0.07724680980613735,0.08354742575274894,NA,0.021752077365928362,NA
reason,,,,0.019134325642137264,NA,NA,NA,NA,0.022187412089235373,NA,NA,0.04430829638154554,NA
result,,,,,NA,0.13680266339228073,0.04884775268050529,NA,0.018293522888471823,0.020328673062473622,NA,0.005249723568182423,NA
arg1-as-denier,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,NA,NA,0.031016571574650743,NA,NA,0.06190975865687303,NA
contrast,,,,,,,,NA,0.05662296966644793,NA,NA,0.11295765860298913,NA
similarity,,,,,,,,,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,0.11999265819299774,NA,0.018351454153463165,NA
arg2-as-instance,,,,,,,,,,,NA,0.2400616784178428,NA
arg1-as-detail,,,,,,,,,,,,NA,NA
arg2-as-detail,,,,,,,,,,,,,NA
arg2-as-subst,,,,,,,,,,,,,
