,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,substitution
synchronous,,2.4840641711229945,0.409822473214368,NA,0.07728039702233251,NA,NA,NA,NA,0.12169056603773584,0.21337988512219844,NA
asynchronous,,,0.46628340686457787,NA,0.32410091470597274,0.12551557153051013,0.05514630408524737,0.4729563631413936,NA,0.11860356115587087,0.10499601104793654,NA
cause,,,,NA,0.3304559901785238,0.2353178345793081,0.12686973899352025,0.297467364529839,NA,0.3111722729763441,0.43309737283382843,NA
purpose,,,,,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,2.352263893842538,0.18203560988572948,0.31669019834862505,NA,0.15286513431300686,0.26961890292284363,NA
contrast,,,,,,,NA,0.2984720158762864,NA,0.12790334227913042,0.20703836547670465,NA
similarity,,,,,,,,5.486839035242411,NA,NA,0.16255275170097322,NA
conjunction,,,,,,,,,NA,0.3142332351893601,0.5240978114293675,0.06253222251279561
disjunction,,,,,,,,,,NA,NA,NA
instantiation,,,,,,,,,,,1.5384055402184422,NA
level-of-detail,,,,,,,,,,,,NA
substitution,,,,,,,,,,,,
