,synchronous,precedence,succession,reason,result,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,,NA,0.11801713029636929,NA,NA,NA,NA,NA,NA,0.03107480784353517,NA,NA,NA,NA,0.05618336461286587,NA
succession,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reason,,,,,0.03794205311350393,NA,NA,NA,NA,NA,0.13199861660838488,NA,NA,NA,NA,0.18523696351181324,NA
result,,,,,,NA,NA,NA,NA,NA,0.09284327191777578,NA,NA,NA,NA,0.09241834070054124,NA
arg2-as-goal,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,,,NA,0.16887994634473508,NA,NA,NA,NA,0.09658366333310961,NA
similarity,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
disjunction,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,,NA,NA,NA
arg1-as-detail,,,,,,,,,,,,,,,,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,,NA
arg2-as-manner,,,,,,,,,,,,,,,,,
