,synchronous,precedence,succession,reason,result,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,,NA,NA,0.05589120089204487,NA,NA,NA,0.004817016297775842,NA,NA,NA,NA,NA,NA,NA,NA
succession,,,,NA,NA,NA,NA,NA,NA,NA,0.8537792591489561,NA,NA,NA,NA,NA,NA
reason,,,,,NA,NA,NA,NA,NA,NA,-2.5212601721979686,NA,NA,NA,NA,-2.280076487585834,NA
result,,,,,,NA,NA,NA,NA,NA,-2.94063660720115,NA,NA,NA,NA,-3.284415423310172,NA
arg2-as-goal,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,,,NA,-2.6697826969080567,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,,0.2688167584277998,NA,-1.3161457422933562,0.2688167584277998,-0.16459927016589826,NA
disjunction,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,,NA,-1.2448870591235341,NA
arg1-as-detail,,,,,,,,,,,,,,,,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,,NA
arg2-as-manner,,,,,,,,,,,,,,,,,
