,synchronous,precedence,succession,reason,result,arg1-as-denier,arg2-as-denier,contrast,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precedence,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
succession,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reason,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result,,,,,,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-denier,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,0.0,0.0,0.0,0.0,0.012987012987012988,0.0
disjunction,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
arg1-as-instance,,,,,,,,,,,,0.0,0.0,0.0,0.0
arg2-as-instance,,,,,,,,,,,,,0.0,0.0,0.0
arg1-as-detail,,,,,,,,,,,,,,0.0,0.0
arg2-as-detail,,,,,,,,,,,,,,,0.0
arg2-as-manner,,,,,,,,,,,,,,,
