,synchronous,asynchronous,cause,condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,,NA,0.20527911539147495,NA,NA,NA,NA,NA,NA,NA,NA,0.07116907867309868,NA
asynchronous,,,NA,NA,NA,NA,NA,NA,0.3416198242419444,NA,0.15984724495362793,0.15102277673001596,NA
cause,,,,NA,NA,0.24829177003090047,0.10904355778215145,NA,0.20986424365419798,NA,0.3331962775653413,0.2638479571988243,NA
condition,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
purpose,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,,10.371752479924421,NA,0.25121638924455825,NA,NA,0.27896592244418333,NA
contrast,,,,,,,,NA,0.4547982155825293,NA,NA,0.17706055183687897,NA
similarity,,,,,,,,,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,NA,NA,NA,NA
disjunction,,,,,,,,,,,NA,NA,NA
instantiation,,,,,,,,,,,,0.5551686896529491,NA
level-of-detail,,,,,,,,,,,,,NA
manner,,,,,,,,,,,,,
