,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,,0.34705096104971855,NA,NA,NA,NA,0.1698766778388954,NA,NA,0.08524893896632699,NA
cause,,,,NA,NA,0.06119956789253675,NA,0.09766668125902903,NA,0.043640686024791986,0.1178660473376823,NA
purpose,,,,,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,NA,0.16887994634473508,NA,NA,0.08516700006061709,NA
similarity,,,,,,,,NA,NA,NA,NA,NA
conjunction,,,,,,,,,NA,0.2996183862206484,NA,NA
disjunction,,,,,,,,,,NA,NA,NA
instantiation,,,,,,,,,,,NA,NA
level-of-detail,,,,,,,,,,,,NA
manner,,,,,,,,,,,,
