,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asynchronous,,,0.06772553163386606,0.0,0.0,0.029201817001946788,0.0,0.03788287478271294,0.0,0.0,0.010319829424307037,0.0
cause,,,,0.0,0.0,0.0,0.0,0.04642463659949533,0.0,0.0,0.04055625790139064,0.0
purpose,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concession,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,,0.0,0.023747162563296665,0.0,0.0,0.0,0.0
similarity,,,,,,,,0.0,0.0,0.0,0.5028571428571429,0.0
conjunction,,,,,,,,,0.1686746987951807,0.05289909638554217,0.22379804934021802,0.0
disjunction,,,,,,,,,,0.0,0.0,0.0
instantiation,,,,,,,,,,,0.03696428571428571,0.0
level-of-detail,,,,,,,,,,,,0.0
manner,,,,,,,,,,,,
