,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,,-1.265132039598319,NA,NA,-0.7758699552977482,NA,-2.2123099313088166,NA,NA,-3.703519111073064,NA
cause,,,,NA,NA,NA,NA,-2.5069680846289346,NA,NA,-2.4576088830304794,NA
purpose,,,,,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,NA,-2.6697826969080567,NA,NA,NA,NA
similarity,,,,,,,,NA,NA,NA,2.362570079384708,NA
conjunction,,,,,,,,,0.2688167584277998,-1.5612582401298876,-0.07386989662635984,NA
disjunction,,,,,,,,,,NA,NA,NA
instantiation,,,,,,,,,,,-1.6374299206152918,NA
level-of-detail,,,,,,,,,,,,NA
manner,,,,,,,,,,,,
