,synchronous,asynchronous,cause,concession,contrast,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,,0.045881229208524096,NA,NA,0.05507224159736328,NA,NA,0.06147696191878813,NA
cause,,,,NA,NA,0.07480002442449778,NA,NA,0.016235248092847362,NA
concession,,,,,NA,NA,NA,NA,NA,NA
contrast,,,,,,NA,NA,NA,NA,NA
conjunction,,,,,,,NA,NA,0.14421623685508375,NA
disjunction,,,,,,,,NA,NA,NA
instantiation,,,,,,,,,NA,NA
level-of-detail,,,,,,,,,,NA
manner,,,,,,,,,,
