,synchronous+++,precedence+++,succession,reason+++,result+++,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier+++,arg2-as-denier+++,contrast+++,similarity+++,conjunction+++,disjunction,arg1-as-instance,arg2-as-instance+++,arg1-as-detail+++,arg2-as-detail+++,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous+++,0.8994413407821229,0.0,0.0,0.0,0.005303868991876596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029517559068892793,0.0,0.0,0.0,0.0,0.014844032655980036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precedence+++,0.0,0.986598767086572,0.0,0.05840540166713453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12552604256681685,0.0,0.0,0.02143356582052923,0.0,0.09103823377264139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
succession,0.0,0.0,0.7494432071269487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reason+++,0.0,0.05840540166713453,0.0,0.9933639085104186,0.11371107001544666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039449499963928214,0.0,0.15849383632446884,0.0,0.0,0.04479778153078006,0.002516788833081495,0.11175144521008003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result+++,0.005303868991876596,0.0,0.0,0.11371107001544666,0.9948617819340252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05003519158001106,0.0,0.19797911181112068,0.0,0.0,0.05605830343838313,0.00996573593965043,0.15087600880013322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4994438264738598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-denier+++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7494432071269487,0.0,0.0,0.0,0.002813182475705087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier+++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8327759197324416,0.0,0.0,0.014220322068298435,0.0,0.0,0.0,0.0,0.0013512132544695416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast+++,0.0,0.0,0.0,0.039449499963928214,0.05003519158001106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9776907441376234,0.0,0.07654602873356915,0.0,0.0,0.007842298915619342,0.0,0.0654755037210691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
similarity+++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4994438264738598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conjunction+++,0.029517559068892793,0.12552604256681685,0.0,0.15849383632446884,0.19797911181112068,0.0,0.0,0.0,0.0,0.0,0.0,0.002813182475705087,0.014220322068298435,0.07654602873356915,0.0,0.9972239187163401,0.0,0.014220322068298435,0.05780346122939574,0.0,0.02750728104560858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disjunction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8327759197324416,0.0,0.0,0.0,0.0013512132544695416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-instance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014220322068298435,0.0,0.8327759197324416,0.0,0.0,0.0013512132544695416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-instance+++,0.0,0.02143356582052923,0.0,0.04479778153078006,0.05605830343838313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007842298915619342,0.0,0.05780346122939574,0.0,0.0,0.9809087437953418,0.0,0.03835049975518327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-detail+++,0.0,0.0,0.0,0.002516788833081495,0.00996573593965043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9161073825503355,0.01985886676297646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-detail+++,0.014844032655980036,0.09103823377264139,0.0,0.11175144521008003,0.15087600880013322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013512132544695416,0.0654755037210691,0.0,0.02750728104560858,0.0013512132544695416,0.0013512132544695416,0.03835049975518327,0.01985886676297646,0.9961615885905353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
equivalence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-manner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-manner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4994438264738598,0.0,0.0,0.0,0.0
arg1-as-excpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-excpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-subst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-subst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
