,synchronous+++,asynchronous+++,cause+++,condition,negative-condition,purpose,concession+++,contrast+++,similarity+++,conjunction+++,disjunction,instantiation+++,level-of-detail+++,equivalence,manner,exception,substitution
synchronous+++,0.8994413407821229,0.0,0.02906977398295805,0.0,0.0,0.0,0.0,0.0,0.0,0.029517559068892793,0.0,0.0,0.02245367953512442,0.0,0.0,0.0,0.0
asynchronous+++,0.0,0.9935041501263082,0.08297732140298558,0.0,0.0,0.0,0.027204980343259334,0.0,0.0,0.1360304740935443,0.0,0.058359437526206294,0.15155955607223456,0.0,0.0,0.0,0.0
cause+++,0.02906977398295805,0.08297732140298558,0.9972029536809129,0.0,0.0,0.0,0.0701086036891076,0.0914220242551578,0.0,0.2650560733361697,0.013841374240028235,0.08537873443104811,0.25045694043422656,0.0,0.0,0.0,0.0
condition,0.0,0.0,0.0,0.4994438264738598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
negative-condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purpose,0.0,0.0,0.0,0.0,0.0,0.4994438264738598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concession+++,0.0,0.027204980343259334,0.0701086036891076,0.0,0.0,0.0,0.9661016949152542,0.06141650267629339,0.0,0.032012457945257124,0.0,0.005754645165352436,0.059876401144971385,0.0,0.0,0.0,0.0
contrast+++,0.0,0.0,0.0914220242551578,0.0,0.0,0.0,0.06141650267629339,0.9776907441376234,0.0,0.07654602873356915,0.0,0.01649516676839152,0.062126820738561274,0.0,0.0,0.0,0.0
similarity+++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4994438264738598,0.0,0.0,0.0,0.021900432893928602,0.0,0.0,0.0,0.0
conjunction+++,0.029517559068892793,0.1360304740935443,0.2650560733361697,0.0,0.0,0.0,0.032012457945257124,0.07654602873356915,0.0,0.9972239187163401,0.0,0.07427149893671696,0.002000728011855708,0.0,0.0,0.0,0.0
disjunction,0.0,0.0,0.013841374240028235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8327759197324416,0.0,0.00814846618138203,0.0,0.0,0.0,0.0
instantiation+++,0.0,0.058359437526206294,0.08537873443104811,0.0,0.0,0.0,0.005754645165352436,0.01649516676839152,0.0,0.07427149893671696,0.0,0.9862620588594456,0.08026031343981326,0.0,0.0,0.0,0.0
level-of-detail+++,0.02245367953512442,0.15155955607223456,0.25045694043422656,0.0,0.0,0.0,0.059876401144971385,0.062126820738561274,0.021900432893928602,0.002000728011855708,0.00814846618138203,0.08026031343981326,0.9968195856980303,0.0,0.0,0.0,0.0
equivalence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4994438264738598,0.0,0.0
exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
substitution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
