,synchronous+++,precedence+++,succession,reason+++,result+++,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier+++,arg2-as-denier+++,contrast+++,similarity+++,conjunction+++,disjunction,arg1-as-instance,arg2-as-instance+++,arg1-as-detail+++,arg2-as-detail+++,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous+++,1.0,0.21761909705235843,0.0261987560189195,-0.15921703599598586,-0.09504915155401279,0.07478861291119347,0.0634009502438172,0.05096438715652809,0.07478861291119347,0.051087834478967226,0.06180937761701184,-0.09441796576743863,-0.06049255240785874,-0.07644326087465692,-0.06475608479124106,-0.02996949521184105,0.0421906248013955,-0.003651778949765883,-0.16176478525153462,-0.14203026137781535,-0.11775922294926584,-0.04166727207180039,0.059178516581435546,0.017640203221248266,0.06553273198548329,0.05983315566934483,-0.022436566490804274
precedence+++,0.21761909705235843,1.0,0.019553571745746137,-0.21877970903960983,0.05966157209022125,0.007941338665643461,-0.007567216316934427,-0.004265140926174126,0.007941338665643461,-0.0005275896827534338,0.013699608347826185,-0.12701906412579705,-0.03515478256235342,-0.11886016117604775,-0.07986304071140649,-0.084394992750432,-0.01463445090278947,-0.044632068047052165,-0.1921313418031495,-0.14287259529773066,-0.2657589123672575,-0.055147476776077994,0.0004972978024930311,-0.013385779768436796,0.0014247345045948052,0.0002492117722616069,-0.04562958830777554
succession,0.0261987560189195,0.019553571745746137,1.0,-0.08782163539150832,-0.11618080812841285,0.09651099076983832,0.07728622658741761,0.06923771524654392,0.09651099076983832,0.09562991303645402,0.07126198732392452,-0.029027572311672446,-0.07588499644472245,-0.05182671876144317,-0.04218457585475888,-0.020573808373434442,0.054308542661724454,-0.006271606598951323,-0.04494930814212197,-0.10659150071958078,-0.016890856861190934,-0.03948060198374408,0.062348440145317915,0.04171849091922433,0.08614891212199614,0.06209342018993071,-0.04936818358313631
reason+++,-0.15921703599598586,-0.21877970903960983,-0.08782163539150832,1.0,-0.11046474437289099,-0.22707086526761627,-0.1776288231929468,-0.17618568087598388,-0.22707086526761627,-0.18291010424712106,-0.18339589009888538,-0.033559799090385985,-0.13339553059708364,-0.050503683207408966,-0.08502632975016011,-0.12316062594376878,-0.14909922955022897,-0.06289531192296564,0.049160860488867655,0.04750373619399032,0.10191431882213416,-0.026540392546848222,-0.1736226172097048,-0.14048256419921354,-0.2100586392748465,-0.1825214980349227,-0.05178938822506188
result+++,-0.09504915155401279,0.05966157209022125,-0.11618080812841285,-0.11046474437289099,1.0,-0.08292007299229763,-0.07875861824802205,-0.0700069466387567,-0.08292007299229763,-0.05360422473360165,-0.07978267357033356,-0.10246322781973101,-0.026014925648262993,-0.14237365470472618,-0.08930724034241816,-0.16084573090768095,-0.07280750276772494,-0.07304275230453351,-0.13920524492064565,0.04905832215519817,-0.22216355340313737,-0.008760798329133375,-0.06608174285683886,-0.03534861670461414,-0.07763998133840308,-0.07812918449142468,-0.04009441083111621
arg1-as-cond,0.07478861291119347,0.007941338665643461,0.09651099076983832,-0.22707086526761627,-0.08292007299229763,1.0,0.7671636847946758,0.8074714260019357,1.0,0.7378409060295648,0.8153881063226391,-0.1733992349284582,-0.18660444056656797,-0.14192733832820675,-0.022468635445643988,-0.08435057884022183,0.628510359805605,0.2249054435452825,-0.19566644870381253,-0.13915911958033478,-0.21939728850996798,0.13822541693215,0.7416063680851475,0.5591163941503682,0.9197091916058986,0.7507368367204563,0.06540199792803975
arg2-as-cond,0.0634009502438172,-0.007567216316934427,0.07728622658741761,-0.1776288231929468,-0.07875861824802205,0.7671636847946758,1.0,0.6182510788741971,0.7671636847946758,0.5647928529030772,0.6245213721994718,-0.13256680375997718,-0.13461575580353383,-0.11439959270537234,-0.02305517587618099,-0.08899517392606385,0.4799816822063291,0.19808698832929886,-0.14151902907836522,-0.11237833386178123,-0.17467951940294252,0.0975805104768655,0.5677128535894562,0.4260179844619364,0.7052211287911305,0.5745240428474911,0.04025442407252706
arg1-as-negcond,0.05096438715652809,-0.004265140926174126,0.06923771524654392,-0.17618568087598388,-0.0700069466387567,0.8074714260019357,0.6182510788741971,1.0,0.8074714260019357,0.5945931223354416,0.6573851867164991,-0.15117490093063712,-0.14342130542486156,-0.11818687604784142,-0.0224303646558537,-0.08064496150565204,0.5390626831256206,0.17532308053989543,-0.16419213283734005,-0.10213486699081044,-0.1863606366589207,0.10311400079907526,0.5976705574903708,0.4485248336162789,0.7922844256056657,0.6047821204155165,0.04311650431615586
arg2-as-negcond,0.07478861291119347,0.007941338665643461,0.09651099076983832,-0.22707086526761627,-0.08292007299229763,1.0,0.7671636847946758,0.8074714260019357,1.0,0.7378409060295648,0.8153881063226391,-0.1733992349284582,-0.18660444056656797,-0.14192733832820675,-0.022468635445643988,-0.08435057884022183,0.628510359805605,0.2249054435452825,-0.19566644870381253,-0.13915911958033478,-0.21939728850996798,0.13822541693215,0.7416063680851475,0.5591163941503682,0.9197091916058986,0.7507368367204563,0.06540199792803975
arg1-as-goal,0.051087834478967226,-0.0005275896827534338,0.09562991303645402,-0.18291010424712106,-0.05360422473360165,0.7378409060295648,0.5647928529030772,0.5945931223354416,0.7378409060295648,1.0,0.6006052757104768,-0.12873412601098017,-0.15214095085560986,-0.11256497520765323,-0.031172885011291066,-0.0709362877139906,0.46152607645313704,0.18999113585943955,-0.16021582296342987,-0.1040784580130807,-0.16774463997241532,0.09348195324672243,0.5459160878169792,0.437866214596746,0.6782389547863115,0.5525003037032338,0.03811414201385949
