,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,1.0,0.171911695631752,0.04669703872437358,0.03618968386023295,0.07807417046193885,0.0,0.0031397174254317113,0.0,0.0,0.0015625,0.0015748031496062992,0.04242424242424243,0.07092819614711034,0.04941176470588235,0.03373313343328336,0.09286412512218964,0.0030864197530864196,0.014473684210526316,0.03517994338859685,0.020184544405997693,0.07442298634008479,0.007509386733416771,0.003129890453834116,0.0,0.0,0.003134796238244514,0.026815642458100558
precedence,,1.0,0.05114466634193863,0.09160081943225051,0.278830313014827,0.0,0.0005327650506126798,0.0005336179295624333,0.0,0.0015982951518380393,0.002137894174238375,0.07992700729927008,0.16577032584625118,0.08545780969479354,0.06596091205211727,0.2495882891125343,0.0015906680805938495,0.01310483870967742,0.10468159348647862,0.07505360972122944,0.1686140209508461,0.01691542288557214,0.0015982951518380393,0.0031729243786356425,0.0,0.0015991471215351812,0.03204208512673362
succession,,,1.0,0.035079288803459875,0.03299152920196166,0.0,0.0033222591362126247,0.0,0.0,0.009966777408637873,0.0,0.05011389521640091,0.03687315634218289,0.03802008608321377,0.027613412228796843,0.046414342629482075,0.003205128205128205,0.009302325581395349,0.045625587958607716,0.017768301350390904,0.05177993527508091,0.004291845493562232,0.0,0.003125,0.0,0.0,0.008665511265164644
reason,,,,1.0,0.23674770825029892,0.0,0.0021390374331550803,0.0026795284030010718,0.0,0.0010672358591248667,0.0021424745581146223,0.1334867663981588,0.13401109057301294,0.12944257388701833,0.07927332782824112,0.24839948783610755,0.004262120404901438,0.02661207778915046,0.22419354838709676,0.17206398751463128,0.3012345679012346,0.04134762633996937,0.002136752136752137,0.0053106744556558685,0.0005361930294906167,0.0016025641025641025,0.047665369649805445
result,,,,,1.0,0.0,0.0011496895838123706,0.001380897583429229,0.0,0.002531645569620253,0.0009201748332183115,0.1420466484555579,0.25376475376475377,0.13850931677018632,0.09902912621359224,0.5256599442531562,0.0027567195037904893,0.018619436875567667,0.23280943025540274,0.18572972972972973,0.41583989052343484,0.03102189781021898,0.0018399264029438822,0.005981136415919025,0.00046040515653775324,0.0013796275005748448,0.04369369369369369
arg1-as-cond,,,,,,NA,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-cond,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0027272727272727275,0.0032912781130005485,0.0017167381974248926,0.001314060446780552,0.001006441223832528,0.0,0.013157894736842105,0.003097573567372225,0.0017391304347826088,0.0017775520568816658,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-negcond,,,,,,,,1.0,0.0,0.0,0.0,0.0009099181073703367,0.0027457440966501922,0.0017211703958691911,0.0013192612137203166,0.0010070493454179255,0.034482758620689655,0.0,0.0015487867836861124,0.0034934497816593887,0.00127000254000508,0.0,0.0,0.0,0.1,0.0,0.0
arg2-as-negcond,,,,,,,,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-goal,,,,,,,,,,1.0,0.0,0.0027223230490018148,0.0010934937124111536,0.001713796058269066,0.0,0.0018123238018525976,0.0,0.012987012987012988,0.001029336078229542,0.0026064291920069507,0.002030972328002031,0.0,0.0,0.023809523809523808,0.0,0.0,0.0
arg2-as-goal,,,,,,,,,,,1.0,0.0009099181073703367,0.0010964912280701754,0.0008598452278589854,0.0,0.0014104372355430183,0.0,0.0,0.0015487867836861124,0.002617801047120419,0.001524390243902439,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-denier,,,,,,,,,,,,1.0,0.21199500208246563,0.1481103166496425,0.05434782608695652,0.1573312942076085,0.004508566275924256,0.015625,0.101238164603059,0.0913978494623656,0.15619967793880837,0.021739130434782608,0.0009057971014492754,0.004476275738585497,0.0009140767824497258,0.0036363636363636364,0.050911854103343465
