,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,0.0,3.3627534139011175e-37,0.6350379627857305,0.0002502678894363925,4.396384866243322e-06,fisher_used,fisher_used,0.8124685130806762,fisher_used,0.8667854474436232,fisher_used,0.00855130752348998,0.011430768915251868,0.002283741759314716,0.05806740624444817,0.5983514051557857,0.8124685130806762,0.6810411195958705,2.212059989203133e-06,0.006179510548678504,8.203609071675448e-07,0.8124685130806762,fisher_used,fisher_used,fisher_used,fisher_used,0.4809384204826064
precedence,,0.0,0.09707250879693911,9.930822108589842e-30,0.005236754923894177,fisher_used,fisher_used,0.5595674788701372,fisher_used,0.6799335395442906,fisher_used,6.17922671368899e-10,0.0022713970690410746,1.2104239492254573e-06,9.968552140498099e-05,3.079766249381006e-13,0.5595674788701372,0.8826184751463444,6.056151316147694e-18,4.5513967004911937e-08,1.6180886961101047e-60,0.5595674788701372,fisher_used,fisher_used,fisher_used,fisher_used,0.8173773896681216
succession,,,0.0,0.8234395708177478,1.7178849570243386e-07,fisher_used,fisher_used,0.8932775493812097,fisher_used,0.9244285571173192,fisher_used,0.2868732630741249,0.05135965620572263,0.3679354052316727,0.18453090727515511,0.6332123105919387,0.8932775493812097,0.8161961584679415,0.0940660426479522,0.12153428277533887,0.001318612377452893,0.8932775493812097,fisher_used,fisher_used,fisher_used,fisher_used,0.5231598223427282
reason,,,,0.0,7.600427047490541e-33,fisher_used,fisher_used,0.5836915930737769,fisher_used,0.6984119579145531,fisher_used,0.9240228478657202,2.439167840004192e-08,0.01370360618521252,0.000554384505402992,1.7619416429139177e-18,0.5836915930737769,0.1400938832053211,0.03939097175940349,0.010106629803880426,1.6105298643064396e-10,0.5836915930737769,fisher_used,fisher_used,fisher_used,fisher_used,0.955088550517997
result,,,,,0.0,fisher_used,fisher_used,0.9126476837238643,fisher_used,0.2798557361720829,fisher_used,9.102784933069971e-12,2.8252860453482525e-06,2.383662160373381e-15,2.23193277841686e-13,3.679846079591202e-52,0.9126476837238643,0.14745227307731157,4.330614675003597e-25,4.498342014402537e-05,3.474403522505678e-77,0.12641867485111677,fisher_used,fisher_used,fisher_used,fisher_used,0.00041718609689392046
arg1-as-cond,,,,,,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used
arg2-as-cond,,,,,,,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used
arg1-as-negcond,,,,,,,,0.0,fisher_used,0.986007049356787,fisher_used,0.7545581982688281,0.08999387411679578,0.7242395460658047,0.8061916370140967,0.9296911975331605,0.980210472762072,0.9657200235264161,0.6034680879175331,0.7746609070141721,0.6954765252284074,0.980210472762072,fisher_used,fisher_used,fisher_used,fisher_used,0.906026796158699
arg2-as-negcond,,,,,,,,,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used
arg1-as-goal,,,,,,,,,,0.0,fisher_used,0.8250541758374234,0.7170626483407333,0.8030150349956395,0.8622822804403161,0.287144621171403,0.986007049356787,0.9757585289109235,0.7134273519158552,0.8395903311344768,0.44671535041486254,0.986007049356787,fisher_used,fisher_used,fisher_used,fisher_used,0.9334789051809452
arg2-as-goal,,,,,,,,,,,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used
arg1-as-denier,,,,,,,,,,,,0.0,2.2930584313475134e-46,0.00013249815574568145,0.04095177470643876,3.143073182822762e-08,0.7545581982688281,0.5880487325875603,6.304249280709167e-05,0.13620388925079455,0.06537906618582297,0.7545581982688281,fisher_used,fisher_used,fisher_used,fisher_used,0.4365438018011878
