,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,NA,0.705983113113499,-0.23344947735191637,-0.5789490999413304,-0.3580176525409791,NA,NA,NA,NA,NA,NA,-0.7974074883572353,-0.38313625815007185,-0.837529198027511,-0.6899295294385087,0.04020585397233837,NA,NA,-0.9218700553449743,NA,-0.42927587138611184,NA,NA,NA,NA,NA,0.24831148192292413
precedence,,NA,-0.3957853144550543,-0.8327096086644031,0.09784890080861017,NA,NA,NA,NA,NA,NA,-0.7659291262290134,-0.1841111712981253,-0.4684095570116674,-0.5559429171693449,-0.25200452828097214,NA,0.08064986866426695,-0.6189359094323708,-0.7256634228968083,-0.6452199200290804,NA,NA,NA,NA,NA,-0.05073086844368014
succession,,,NA,-0.045109945605218006,-0.7266728860995675,NA,NA,NA,NA,NA,NA,-0.4738644633760007,-0.5747255209500336,0.20736630670405504,NA,-0.06281991624011168,NA,NA,0.2716956959399689,NA,0.3936112615051435,NA,NA,NA,NA,NA,NA
reason,,,,NA,-0.44211343623399874,NA,NA,NA,NA,NA,NA,-0.008374830239927569,-0.38940241353156274,-0.22079985150363363,-0.5104686685045824,-0.31505607508225253,NA,0.5387966240130684,0.10983743187483802,0.20865289511763888,0.23159815099105688,NA,NA,NA,NA,NA,0.012391294552336323
result,,,,,NA,NA,NA,0.07734891588497617,NA,NA,NA,-0.41112429659686867,-0.18318549401926665,-0.42753669050582616,-0.5590634043672718,-0.36509405519067806,0.07734891588497617,-0.6217092815827883,-0.400432139272314,0.2555640677615389,-0.4599966045175618,NA,NA,NA,NA,NA,-0.5506607929515418
arg1-as-cond,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-cond,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-negcond,,,,,,,,NA,NA,NA,NA,NA,0.7681070275257573,NA,NA,-0.06227894817776411,NA,NA,NA,NA,0.2667999384899277,NA,NA,NA,NA,NA,NA
arg2-as-negcond,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-goal,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-goal,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,,,,,NA,0.6748327246554527,0.345550285224732,-0.5132510621080315,-0.31881165785821475,NA,NA,-0.48434290973192623,-0.2776424702058505,-0.11557192652839238,NA,NA,NA,NA,NA,-0.3666563817751723
arg2-as-denier,,,,,,,,,,,,,NA,0.3717082265206246,-0.6659162539396668,-0.2995969733720677,NA,NA,-0.640400693288672,-0.3667209502825941,-0.5050414883367833,NA,NA,NA,NA,NA,-0.024765157984628524
contrast,,,,,,,,,,,,,,NA,-0.11459290343406252,-0.29245732908463745,NA,NA,-0.29044931466686214,-0.45355597934787667,-0.28524191253667197,NA,NA,NA,NA,NA,0.7646438213055575
similarity,,,,,,,,,,,,,,,NA,0.6263229545598907,NA,NA,-0.015126158599382081,-0.3180361059557955,-0.3231057482744337,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,,,,,,NA,NA,-0.7002215111986217,-0.24195716541825946,-0.4114834632481462,-0.11341348208690405,NA,NA,NA,NA,NA,-0.47470176331186653
disjunction,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,,,,,,NA,NA,NA,0.7928182807399348,NA,NA,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,,,,,,NA,-0.37847820919624364,0.4303939682620899,NA,NA,NA,NA,NA,-0.7131329433124874
arg1-as-detail,,,,,,,,,,,,,,,,,,,,NA,-0.02519585869734499,NA,NA,NA,NA,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,NA,0.2667999384899277,NA,NA,NA,NA,0.11679660019238776
equivalence,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
