,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,NA,2.6368455701465647,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.245726286998144,NA,NA,NA,NA,NA,NA
precedence,,NA,NA,0.04058779761904762,0.7515385696220318,NA,NA,NA,NA,NA,NA,0.08018580144204104,0.48147639397639397,0.10975095785440613,0.0,0.43249046529366897,NA,NA,0.07299765219957625,0.14068340205936966,0.06517456178473127,NA,NA,NA,NA,NA,NA
succession,,,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.604964539007092,NA,NA,NA,NA,NA,NA
reason,,,,NA,0.1677709766306977,NA,NA,NA,NA,NA,NA,0.22268907563025211,0.10939597315436242,0.3866219856758,0.0,0.27646851552460305,NA,NA,0.49622307538891103,NA,NA,NA,NA,NA,NA,NA,NA
result,,,,,NA,NA,NA,NA,NA,NA,NA,0.3367965926690759,0.4645589691747959,0.23189144886622348,0.16734330897421026,0.3470895267340672,NA,NA,0.16650769635574267,1.6737575487575487,0.18710900626880844,NA,NA,NA,NA,NA,NA
arg1-as-cond,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-cond,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-negcond,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-negcond,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-goal,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-goal,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,,,,,NA,4.30556586270872,NA,NA,0.12579536312440576,NA,NA,0.0,NA,0.3904963537991061,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,,,,,,NA,1.7780415430267063,0.0,0.2645092255191162,NA,NA,0.22009055154120552,NA,0.12942224644668987,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,,,,,,,NA,NA,0.2936166137523144,NA,NA,0.08920884889388826,NA,0.1885269971783512,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,,,,,,,,NA,5.578104138851803,NA,NA,NA,NA,0.1381972592163675,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,,,,,,NA,NA,NA,0.308356526082923,0.13810733141749648,0.5501470794228883,NA,NA,NA,NA,NA,0.0
disjunction,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,,,,,,NA,NA,1.7283924318407078,NA,NA,NA,NA,NA,NA
arg1-as-detail,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
equivalence,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
