,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,1.0,0.11563605187011039,0.0,0.0,0.12453407574432838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19046869974970987,0.0,0.0,0.0,0.0,0.033670493894660106,0.0,0.0,0.0,0.0,0.0,0.0
precedence,,1.0,0.0,0.0038833517903285346,0.17306790015213197,0.0,0.0,0.0,0.0,0.0,0.0,0.004962796189011834,0.0381989214422181,0.007342947749924495,0.0,0.1277701693675323,0.0,0.0,0.006418395922840096,0.007973421926910298,0.014204065544231093,0.0,0.0,0.0,0.0,0.0,0.03654485049833887
succession,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16753359341135673,0.0,0.0,0.042975567190226875,0.0,0.2521186440677966,0.0,0.0,0.0,0.0,0.0,0.0
reason,,,,1.0,0.04855920114122682,0.0,0.0,0.0,0.0,0.0,0.0,0.010486685032139578,0.007582625118035884,0.01976010101010101,0.0,0.08365409622886867,0.0,0.0,0.03388016288539848,0.03301587301587301,0.13324387947269303,0.0,0.0,0.0,0.0,0.0,0.036825396825396824
result,,,,,1.0,0.0,0.0,0.0,0.0,0.5002377555872562,0.0,0.07428977886765463,0.10917628802237192,0.05541596420697705,0.0389265335235378,0.19588401484782098,0.0,0.0,0.046399683324495296,0.22879899463351674,0.0874477139195822,0.0,0.0,0.0,0.0,0.0,0.10785612390462604
arg1-as-cond,,,,,,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg2-as-cond,,,,,,,NA,NA,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg1-as-negcond,,,,,,,,NA,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg2-as-negcond,,,,,,,,,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg1-as-goal,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-goal,,,,,,,,,,,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg1-as-denier,,,,,,,,,,,,1.0,0.12761922599676914,0.034865702479338845,0.0,0.03479170472904957,0.0,0.0,0.0,0.0,0.05382406499509736,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier,,,,,,,,,,,,,1.0,0.06811743497295905,0.0,0.07675862721044831,0.0,0.0,0.013626655592305296,0.017118575475515985,0.023003993213937035,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,,,,,,,,,1.0,0.00909090909090909,0.07644101942704024,0.0,0.0,0.004149809614469301,0.0,0.028746147919876737,0.0,0.0,0.0,0.0,0.0,0.0385551948051948
similarity,,,,,,,,,,,,,,,1.0,0.3880039011703511,0.0,0.0,0.022676701570680628,0.013392857142857144,0.019809322033898305,0.0,0.0,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,,,,,,,1.0,0.5002167316861725,0.0,0.08848666816449821,0.0367979441451483,0.20514205108990324,0.0,0.0,0.0,0.0,0.0,0.0
disjunction,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-instance,,,,,,,,,,,,,,,,,,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg2-as-instance,,,,,,,,,,,,,,,,,,,1.0,0.016903515332834705,0.20110295205135031,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-detail,,,,,,,,,,,,,,,,,,,,1.0,0.0749596448748991,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.10820217917675544
equivalence,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,0.0
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,0.0
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0.0
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0.0
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,NA,0.0
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
