,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,0.0,0.07981162303170568,0.9389780440251956,0.3788906862706465,0.01880572080853226,fisher,fisher,fisher,fisher,fisher,fisher,0.7095936399509546,0.4489389311984948,0.6051192939053363,0.7905150078467355,0.4934983758933523,0.956833210778019,fisher,0.4086494032010386,0.7992687988550312,0.09734124428834544,fisher,fisher,fisher,fisher,fisher,0.8860728095192956
precedence,,0.0,0.7173144293673854,0.0002849179417930066,2.7655801550420433e-11,fisher,fisher,fisher,fisher,fisher,fisher,0.07820315573199477,0.002997772913458662,0.014472810698534068,0.20900505978290165,5.035401289470721e-13,0.7979596761836778,fisher,9.317531435535349e-05,0.22911727280767838,4.4819205910136215e-15,fisher,fisher,fisher,fisher,fisher,0.498028729145369
succession,,,0.0,0.7755541202837968,0.446516096605197,fisher,fisher,fisher,fisher,fisher,fisher,0.9039563025176891,0.8061916370140967,0.8669493699642137,0.9314084748660546,0.4483243118218512,0.986007049356787,fisher,0.788908973190559,0.9343319718687016,0.591140185370004,fisher,fisher,fisher,fisher,fisher,0.9629724459001197
reason,,,,0.0,1.4280917620958024e-15,fisher,fisher,fisher,fisher,fisher,fisher,0.16545227382820135,0.014690179882604048,0.054141814388877295,0.3224914704010738,6.551951461327939e-15,0.840234901676611,fisher,0.18484609221714363,0.34359532240843904,0.0020078484047476868,fisher,fisher,fisher,fisher,fisher,0.5936105668133985
result,,,,,0.0,fisher,fisher,fisher,fisher,fisher,fisher,0.002686865820604171,2.99029512790689e-11,3.6088484015157446e-06,0.03144221752439006,7.245781213048905e-67,0.5904156598584085,fisher,3.8524404001736376e-14,0.0019310383421523533,1.836488592362528e-49,fisher,fisher,fisher,fisher,fisher,0.6041096781941442
arg1-as-cond,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-cond,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-negcond,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-negcond,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-goal,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-goal,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-denier,,,,,,,,,,,,0.0,0.7458651884160039,0.661157087883564,0.6754317254859946,0.00022571233361577098,0.9320097333367189,fisher,0.19278930520871473,0.6885543483292604,0.008971047983872117,fisher,fisher,fisher,fisher,fisher,0.8213332018423682
arg2-as-denier,,,,,,,,,,,,,0.0,0.8149674659387646,0.39458557911603154,1.207671818318062e-10,0.8622822804403161,fisher,0.008095896752907126,0.4150943367528558,3.5551599522552377e-07,fisher,fisher,fisher,fisher,fisher,0.646112521441317
contrast,,,,,,,,,,,,,,0.0,0.5610104441509867,4.1074663302768926e-05,0.9057065196102146,fisher,0.07056789900900778,0.5778649471670476,0.000285431398811176,fisher,fisher,fisher,fisher,fisher,0.7538634232240983
similarity,,,,,,,,,,,,,,,0.0,0.00017433708524596637,0.9514722630205953,fisher,0.35288467002493384,0.774945922584064,0.0623192667715363,fisher,fisher,fisher,fisher,fisher,0.8720228534818166
conjunction,,,,,,,,,,,,,,,,0.0,0.5918926511420277,fisher,5.765500650851359e-13,0.011782932884119877,2.25979131144531e-23,fisher,fisher,fisher,fisher,fisher,0.1558903662486673
disjunction,,,,,,,,,,,,,,,,,0.0,fisher,0.8498596741031367,0.9535429997237068,0.7040808228703378,fisher,fisher,fisher,fisher,fisher,0.9738148762036245
arg1-as-instance,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-instance,,,,,,,,,,,,,,,,,,,0.0,0.3738307320248314,0.02018956198864987,fisher,fisher,fisher,fisher,fisher,0.6163252267776591
arg1-as-detail,,,,,,,,,,,,,,,,,,,,0.0,0.25388731433330836,fisher,fisher,fisher,fisher,fisher,0.8774459467835101
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,0.0,fisher,fisher,fisher,fisher,fisher,0.8934100759467533
equivalence,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
