,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,0.0,2.969264533243876e-61,2.286743341074315e-18,0.3378178278001558,0.3548856342654524,0.9838428330696198,0.01559949375682604,0.002434895575107635,0.00030257030818779066,0.6903038705544304,0.9286061231842282,6.362862933439108e-19,1.478550072521887e-14,0.004221306614414961,0.2814691718129809,0.5569180254714523,0.4057883563243161
asynchronous,,0.0,0.4967399190605758,0.33930657746325954,0.24576601278214216,0.26455581875149453,0.01140626338984008,2.09237347224894e-09,4.3684244067236255e-06,0.001373857056868531,0.06998725761766343,2.2086785315358345e-24,1.1157800065500098e-57,0.0011265640142057675,0.15636675495192257,0.41417541348760467,0.007155235004466974
cause,,,0.0,0.7271875998853929,0.4850612761769596,0.6769429384109413,0.08834551005254493,1.913286968880649e-09,8.003837554792854e-06,5.31662683173146e-17,0.6214518322243652,0.19631961786196508,0.6509235785240222,9.02926012404107e-06,0.08986556331740753,0.07445984351666418,0.09986821729494486
condition,,,,0.0,0.9072719129128781,0.8501643625367803,0.013747797541142555,0.971538930797969,0.7987908412138364,0.016150130473559638,0.8466698768669244,0.08862702915147219,0.6743287525247694,0.5787860288379154,0.7890141994052292,0.877483479022614,0.4725531062277608
negative-condition,,,,,0.0,0.8720424463665335,0.1334018929596204,0.5925033062982027,0.9325943654546107,0.35922975185907935,3.0538060326812478e-09,0.6838049055408271,0.7978065927953543,0.6359765358678224,0.8195299145005264,6.260292273934455e-14,0.5402377919256929
purpose,,,,,,0.0,0.7336989002228085,0.6755956720700531,0.09726945973207732,0.9923109209303251,0.7891736554891311,0.8206187157379589,0.16681511486669306,0.44269311261148214,0.01832669143275301,0.8311966935685827,0.3205724361954605
concession,,,,,,,0.0,8.713313140760008e-46,3.7551772759009967e-07,0.027569014949385507,0.9575706363618162,7.837728607653196e-13,7.38536599763073e-09,0.4940093730109215,0.4221446569477596,0.033592804332192035,2.347630727634048e-07
contrast,,,,,,,,0.0,0.8822129250013757,2.0964701849584463e-05,0.004457117704325525,0.006627998450417666,0.004007350354261197,0.3648449567463625,0.02692324325772575,0.01396759535809312,1.0339837749886364e-18
similarity,,,,,,,,,0.0,4.032981129727509e-18,0.002876305143798725,2.3935878785080092e-05,0.0027183542206341287,0.18443538518751346,0.9416443553877941,0.1759868548023391,0.04673410540856726
conjunction,,,,,,,,,,0.0,0.6947696950775174,0.6616303040218776,0.07108743424255026,0.368906293888689,0.45838371374611475,0.29088989731156684,3.3282430159997513e-06
disjunction,,,,,,,,,,,0.0,0.3063565973913235,0.7550749046008273,0.431997014007522,0.7048722856805261,0.8272731100741526,0.001835478075868128
instantiation,,,,,,,,,,,,0.0,1.3679011481838583e-54,0.04092892475603363,0.007034568539433457,0.12049086520644972,0.006960504338213191
level-of-detail,,,,,,,,,,,,,0.0,0.00011579037632356531,0.022197696831544763,0.7107064533027854,0.9712233666547274
equivalence,,,,,,,,,,,,,,0.0,0.41472077627271575,0.30865811514341734,0.0008136984879235986
manner,,,,,,,,,,,,,,,0.0,0.7626878485483314,0.9277195625544516
exception,,,,,,,,,,,,,,,,0.0,0.6286141449065916
substitution,,,,,,,,,,,,,,,,,0.0
