,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,NA,0.5901084269727044,-0.3632112729657368,0.35129533678756475,NA,-0.007539178314273613,-0.10747999105958218,-0.18195194915219884,-0.2776733566870973,-0.01949937665257607,-0.03325905752248907,-0.45507475375486267,-0.3109941423901774,-0.5129944949430291,-0.3640573078389715,0.2192079825381977,-0.08998742852508212
asynchronous,,NA,-0.02149393487976165,-0.35008228195282504,-0.527353926311872,0.23930033494603647,-0.07033992918584993,-0.2186933926257127,-0.20205046561715798,-0.09828398124878407,-0.49093762560049,-0.3019952031755673,-0.413812496750807,-0.29391050357944737,-0.2581628941551719,-0.25721294566944497,-0.18406760514424747
cause,,,NA,-0.11738904170693629,0.3497696749497178,0.11516089793210219,0.05250163866590862,-0.21340975053569966,-0.18938477044334145,-0.31344426221067173,-0.11759886795263276,-0.04093670666956419,-0.014216898912244808,0.5058736007477515,0.37533703708348487,-0.4345709649708886,0.12470339222779477
condition,,,,NA,NA,NA,0.6409333033235801,0.013956137852463685,-0.13258834189066748,-0.5893339033318192,NA,0.4586478370262154,0.14093206064008984,NA,NA,NA,NA
negative-condition,,,,,NA,NA,0.4808796446755498,0.21362862010221464,0.04519414385741566,-0.3177085640866599,0.9556092405254416,0.14719775309587643,-0.09320005040110882,NA,NA,0.9723193916349809,NA
purpose,,,,,,NA,-0.07862131110610499,-0.1295615968650502,NA,-0.00247273906522356,NA,-0.05476780348953666,0.3589924060011113,NA,0.7741979898113727,NA,NA
concession,,,,,,,NA,0.4294252416823956,-0.21214269900715105,-0.06589261054278436,-0.011808764458941138,-0.201693582112514,-0.15474785738811178,-0.054733946237478334,-0.13317024879936512,0.5103477922662791,0.2972722338323873
contrast,,,,,,,,NA,-0.007547193804561379,-0.15334596914507156,0.5261460236752205,-0.09750928754038946,-0.09687010274306963,0.08560311284046693,-0.6259818943957166,0.553896135382825,0.4883795377424931
similarity,,,,,,,,,NA,0.46473407314959575,0.5651919817661154,0.16818450310841593,-0.11949241161009524,0.14188741656966605,0.017495150123694094,NA,-0.2145342720725095
conjunction,,,,,,,,,,NA,-0.09368320188693152,-0.013771087492834237,0.0552708663949497,-0.07738434096170632,-0.126091671899081,-0.28292796643095813,-0.28253215577025664
disjunction,,,,,,,,,,,NA,0.21693121693121692,-0.06908686793850713,NA,NA,NA,0.655025041736227
instantiation,,,,,,,,,,,,NA,0.4522488646444318,0.1588424031722757,0.38542472535974004,0.38376213218302263,-0.18639973527465256
level-of-detail,,,,,,,,,,,,,NA,0.34515631228163157,0.42876085659351587,0.10916940789473684,-0.0022949631598019084
equivalence,,,,,,,,,,,,,,NA,0.2848385778504291,0.46809252586307104,0.40255386418457595
manner,,,,,,,,,,,,,,,NA,NA,0.03295967876861302
exception,,,,,,,,,,,,,,,,NA,0.2438070404172099
substitution,,,,,,,,,,,,,,,,,NA
