,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.007009345794392523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020435967302452314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asynchronous,,1.0,0.017954070981210855,0.0,0.0,0.0,0.002577319587628866,0.0,0.0,0.017467248908296942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cause,,,1.0,0.0,0.0,0.0,0.010135135135135136,0.001893939393939394,0.0004880429477794046,0.035427210479309315,0.0,0.0057958091841284,0.036444141689373294,0.0,0.0,0.0,0.0004921259842519685
condition,,,,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0
negative-condition,,,,,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0
purpose,,,,,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0
concession,,,,,,,1.0,0.011086474501108648,0.0,0.007202216066481994,0.0,0.0016806722689075631,0.00362844702467344,0.0,0.0,0.0,0.0
contrast,,,,,,,,1.0,0.0,0.002600780234070221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
similarity,,,,,,,,,1.0,0.00888585099111415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,1.0,0.0,0.003579952267303103,0.036959260814783707,0.0,0.0,0.0,0.0
disjunction,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
instantiation,,,,,,,,,,,,1.0,0.016299918500407497,0.0,0.0,0.0,0.0
level-of-detail,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0009775171065493646
equivalence,,,,,,,,,,,,,,NA,NA,NA,0.0
manner,,,,,,,,,,,,,,,NA,NA,0.0
exception,,,,,,,,,,,,,,,,NA,0.0
substitution,,,,,,,,,,,,,,,,,1.0
