,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,0.0,0.00378550918329484,0.0014858445429116868,fisher,fisher,0.9218499896977794,0.01136642664046365,0.18704787152791746,0.3773206875745241,0.7872717376114664,0.9218499896977794,0.04368811259703402,0.0003607177894840516,fisher,fisher,fisher,0.7132925995824029
asynchronous,,0.0,1.072924757067527e-17,fisher,fisher,0.7389707977144674,4.666902848732876e-08,7.136613742276109e-05,0.002711815297179137,1.0227217456115125e-14,0.7389707977144674,2.1294798078266443e-09,3.356915015440329e-42,fisher,fisher,fisher,0.7219197063561611
cause,,,0.0,fisher,fisher,0.26052676652504647,3.884159877182464e-30,2.0821920199548085e-14,1.4224554032267505e-10,4.0651270697802205e-106,0.3740517510105196,2.3993883786751456e-22,5.505841587272568e-45,fisher,fisher,fisher,0.5252760279899426
condition,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
negative-condition,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
purpose,,,,,,0.0,0.7490023626864877,0.8675497430037807,0.9111451326211173,0.4584681397064996,0.9901059967464158,0.7987507867145105,0.5501998097942238,fisher,fisher,fisher,0.9629553461853654
concession,,,,,,,0.0,1.1533165861948431e-05,0.012713919362106358,4.771613559293517e-26,0.7490023626864877,3.6354728922214403e-08,4.85587998665944e-23,fisher,fisher,fisher,0.23077665982803924
contrast,,,,,,,,0.0,0.4194231094284422,2.2719665031025316e-09,0.8675497430037807,0.0018727901900332594,2.6453781071010825e-09,fisher,fisher,fisher,0.30564724289108147
similarity,,,,,,,,,0.0,1.0275717886955587e-13,0.9111451326211173,0.37636232063121333,1.3334259521083419e-05,fisher,fisher,fisher,0.6759724431279965
conjunction,,,,,,,,,,0.0,0.17731815531588363,5.6710429384185725e-18,4.240671796201494e-25,fisher,fisher,fisher,0.005490791595722068
disjunction,,,,,,,,,,,0.0,0.7987507867145105,0.5501998097942238,fisher,fisher,fisher,0.9629553461853654
instantiation,,,,,,,,,,,,0.0,7.813297477586131e-05,fisher,fisher,fisher,0.3396063523499505
level-of-detail,,,,,,,,,,,,,0.0,fisher,fisher,fisher,0.6783748724833027
equivalence,,,,,,,,,,,,,,fisher,fisher,fisher,fisher
manner,,,,,,,,,,,,,,,fisher,fisher,fisher
exception,,,,,,,,,,,,,,,,fisher,fisher
substitution,,,,,,,,,,,,,,,,,0.0
