,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,NA,0.41488972828073595,-0.4277190127474912,NA,NA,NA,NA,NA,NA,0.03562438762971424,NA,NA,-0.6787791437049597,NA,NA,NA,NA
asynchronous,,NA,-0.3646922651867465,NA,NA,NA,-0.5181494573231263,-0.8169102599223295,NA,-0.3588867052087243,NA,-0.8050008031268405,-0.8130464021519839,NA,NA,NA,-0.1817354156453533
cause,,,NA,NA,NA,NA,-0.5042277500839002,-0.6234055851782118,-0.7869478074692627,-0.5416699607687342,NA,-0.5269667930542725,-0.39581675153116547,NA,NA,NA,-0.1746169083995537
condition,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
negative-condition,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
purpose,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,,NA,0.39887435720937764,-0.7821882190089602,-0.5204639413900373,NA,-0.7522463447717683,-0.5778245352135519,NA,NA,NA,NA
contrast,,,,,,,,NA,-0.37733499377334995,-0.5460531186274136,NA,-0.8422766605080217,-0.6675005086835271,NA,NA,NA,0.4703759748574089
similarity,,,,,,,,,NA,0.6959610310533794,NA,-0.2528339286820425,-0.7460095286802508,NA,NA,NA,NA
conjunction,,,,,,,,,,NA,NA,-0.5241911540457951,-0.3125557197197657,NA,NA,NA,NA
disjunction,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
instantiation,,,,,,,,,,,,NA,0.21139680441176614,NA,NA,NA,NA
level-of-detail,,,,,,,,,,,,,NA,NA,NA,NA,-0.13395901861966986
equivalence,,,,,,,,,,,,,,NA,NA,NA,NA
manner,,,,,,,,,,,,,,,NA,NA,NA
exception,,,,,,,,,,,,,,,,NA,NA
substitution,,,,,,,,,,,,,,,,,NA
