,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,8.419405828161572,1.31786780169951,NA,NA,NA,NA,NA,NA,NA,-0.4994574091130224,NA,NA,NA,NA,NA,NA,NA
asynchronous,,3.980832814421939,-1.5773208896771012,NA,NA,NA,-3.534867023862103,NA,NA,-1.5229929235738113,NA,NA,NA,NA,NA,NA,NA
cause,,,1.6829148828040195,NA,NA,NA,-2.2478224547588668,-2.8089382135256553,-2.902047617917136,-1.9260930918837877,NA,-2.4621354499992636,-1.5657220946523334,NA,NA,NA,-1.1244400392535843
condition,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
negative-condition,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
purpose,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,,4.151633503321115,-0.018291498121197056,NA,-2.6517525165335436,NA,-3.6938565476232603,-3.5165423656490225,NA,NA,NA,NA
contrast,,,,,,,,6.175480245275483,NA,-2.3283454927202674,NA,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,,8.082370840884002,1.278984821029343,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,2.163507603609407,NA,-3.097019946613812,-1.3671647416107957,NA,NA,NA,NA
disjunction,,,,,,,,,,,12.667333341605158,NA,NA,NA,NA,NA,NA
instantiation,,,,,,,,,,,,4.821843290660782,-0.8463325783093553,NA,NA,NA,NA
level-of-detail,,,,,,,,,,,,,2.6772293777476577,NA,NA,NA,-0.13012554430994608
equivalence,,,,,,,,,,,,,,NA,NA,NA,NA
manner,,,,,,,,,,,,,,,NA,NA,NA
exception,,,,,,,,,,,,,,,,NA,NA
substitution,,,,,,,,,,,,,,,,,9.859978419547554
