,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,NA,0.038091797304514466,NA,NA,NA,0.10433425797503468,NA,NA,0.06535995693241325,NA,0.0,0.0,NA,NA,NA,NA
cause,,,NA,NA,NA,NA,0.03493037694013304,0.0,NA,0.017592101775775245,NA,0.0,0.05919677089656389,NA,NA,NA,NA
condition,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
negative-condition,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
purpose,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,,NA,NA,NA,0.0,NA,0.0,0.0,NA,NA,NA,NA
contrast,,,,,,,,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,NA
similarity,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,NA,NA,0.09416932633240674,0.009963832492320327,NA,NA,NA,NA
disjunction,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
instantiation,,,,,,,,,,,,NA,0.15360775588048314,NA,NA,NA,NA
level-of-detail,,,,,,,,,,,,,NA,NA,NA,NA,NA
equivalence,,,,,,,,,,,,,,NA,NA,NA,NA
manner,,,,,,,,,,,,,,,NA,NA,NA
exception,,,,,,,,,,,,,,,,NA,NA
substitution,,,,,,,,,,,,,,,,,NA
