,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,9.813427854297013e-198,0.21809382380602493,0.44010692242518357,0.02097487368817933,0.16760436993812938,0.004237726495359319,0.6884785405295624,fisher_used,0.3726574241310502,0.4714511084993791,0.014090943128991871,0.0027313494223009964,0.012049088241864904,1.0407939235864058e-08,0.645867611680782,0.28913987076730735,0.41439091044891097,0.6613777601216312,0.24036899968311098,0.3217733456185928,0.001871956084980719,0.6354709074575609,0.6292157321532301,0.45057008001219057,0.31064681411827494,0.9608950362206612,0.6156925403985976,0.24567030433192805
precedence,,9.813427854296455e-198,1.0845740885539596e-32,6.600952903298045e-08,2.7651791121786954e-09,0.16791966934168534,0.04064724521200351,fisher_used,0.6778152251487757,0.2689394954379612,0.459707240989476,0.0351418520667005,0.2816395784465937,0.6780300356818725,0.007373325750940373,1.9038863059185143e-06,0.014644341195754633,0.5034583969103008,1.5031851533623015e-06,0.03238451601294098,0.008810274104992322,0.23056454014786273,0.8875447492948016,0.15013414011739215,0.4361965704310259,0.8641356685116781,0.5740221855650687,0.33671750440435655
succession,,,9.813427854295896e-198,0.0002941145933186915,0.04382761966939514,0.04317444296862466,0.08124943668820964,fisher_used,0.3817463833611505,0.589478344371852,0.9845301546043824,0.5599173400443714,0.8339171983528532,0.03962287947350508,0.04292675570076243,3.0182921510334833e-05,0.6882434463333882,0.18516880672051522,1.4557229569292948e-07,0.2751139307013527,0.007695808340047005,0.5672417198364039,0.6133951096231591,0.014352323382382758,0.5485570133356448,0.7655332266468114,0.32363952367530346,0.8295398749358485
reason,,,,9.813427854296455e-198,4.647256635836444e-05,0.05908958795411834,0.12819800879965443,fisher_used,0.2160696074103953,0.06321017272959348,1.5171757866715892e-06,0.793874066935085,0.4693111495440684,0.011867058929447064,0.03728906157608204,0.20766936119798865,0.22617726124799264,0.028982232331045084,0.34552702824674664,0.00818344230948803,0.6576300419346397,0.1644572006524505,0.7269149161086037,0.11059221810489253,0.3191959543642282,0.5321690468164654,0.5822795811395662,0.21339311736194264
result,,,,,9.813427854297013e-198,0.07281756049894193,0.5172596398354379,fisher_used,0.5067361605283891,0.0009032567730936569,0.31282754612138763,0.34393849614627947,0.948183727973219,0.09752276081138538,0.18710393751717153,0.001153406607703643,0.267267216841783,0.0011054048320888626,0.030805062512741798,0.2623799872846627,8.898020137529528e-08,0.44767690287299944,0.059479767853669596,0.4156080295804534,0.1775994083665577,0.14518569866421488,0.6101169581308166,0.39522247585221315
arg1-as-cond,,,,,,9.813427854295896e-198,0.7531291127053428,fisher_used,0.6674685483477915,0.04021537011172986,0.9653640605468081,0.7668919420685348,0.09549139766073118,0.20980863738527128,0.26975005915927097,0.17311995930537477,0.46987963324119375,0.06420287161460198,0.013135485151718904,0.9103030645922595,0.03466294123341755,0.4377727831243736,0.4059204321848171,0.3753105533539336,1.0820180599106996e-08,0.5787150015724714,0.5107110187227715,0.48172052704231827
arg2-as-cond,,,,,,,9.813427854296455e-198,fisher_used,0.002527145463895005,0.665072329617986,0.12199961565361388,0.5501216316231219,0.9621697937205528,0.12090449286494817,0.5431047914213502,0.1163665480877812,0.2867949961838566,0.47731066160163127,0.0036592373090164787,0.3142492259069467,0.49874332019351475,0.9536036274370248,0.29427376780811826,0.0003244047344325774,0.7997280606162658,0.6878274224735356,0.6341068863946786,0.6106809016722278
arg1-as-negcond,,,,,,,,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used
arg2-as-negcond,,,,,,,,,9.813427854295896e-198,0.6804859243698833,0.5752786137466583,0.33370801018418916,0.5535215637524156,0.12263869588817218,0.5465119747756891,0.35996347299697795,0.7310203354846365,0.5350767292378418,0.11064135781110916,0.4180566257576668,0.2074206631425398,0.007156267353082892,0.7350014555188698,0.5802733959934088,0.9347444391343294,0.8968228802723915,0.8779201907118865,0.8694918060361453
arg1-as-goal,,,,,,,,,,9.813427854296455e-198,0.4568831421976737,0.758217545127738,0.623056281062692,0.31460977744599916,0.6924983483789102,0.21452584087566542,0.08886709283990087,0.009269915271324501,0.382981308984499,0.3502388548961003,0.00037029938170516654,0.15826801372127253,0.3276960137717773,0.7687924892961949,0.7368360762163124,0.594569923917555,0.5284052220120005,0.36485312353985033
