,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
precedence,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
succession,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
reason,,,,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
result,,,,,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
arg1-as-cond,,,,,,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
arg2-as-cond,,,,,,,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
arg1-as-negcond,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-negcond,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
arg1-as-goal,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
arg2-as-goal,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
arg1-as-denier,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
arg2-as-denier,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
contrast,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
similarity,,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
conjunction,,,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
disjunction,,,,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
arg1-as-instance,,,,,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
arg2-as-instance,,,,,,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
arg1-as-detail,,,,,,,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
