,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,NA,0.1150992095499274,0.08501843369455926,-0.20810499493874132,-0.11341350046480943,0.39636324277519214,-0.09981708910373661,NA,NA,0.12292358803986711,-0.40769867549668876,0.3056403663827736,0.28964189978692695,0.4484840698869476,0.059099153567110034,0.12921454134488605,0.16025520735597673,0.05522939769515112,-0.11267941632539462,-0.11024121878967415,-0.25318193161966557,-0.10782608695652174,0.09963985594237695,0.10168052962145646,0.5835189309576837,-0.027472527472527472,0.20648464163822525,0.3926460932370322
precedence,,NA,0.7953778154714335,-0.4766619519094767,0.4468264864294012,-0.2616262482168331,-0.6036948748510131,NA,0.24705882352941178,-0.213768115942029,-0.10424155283968368,-0.262620533182076,0.1310662663221842,0.03652524130268731,-0.39442894616313445,-0.4333664170350988,-0.6680936791740116,-0.08624010271774021,-0.47142968811068553,-0.23712176934587972,-0.20832660964983057,-0.28246260567960113,0.029266879165459288,-0.21418580517078012,NA,-0.09545753785385122,-0.2912571132953958,0.3329015544041451
succession,,,NA,-0.3834872604074813,0.18524702132503604,0.32116788321167883,-0.6660617059891107,NA,0.47337850919651503,-0.11965811965811966,0.00307073865222489,-0.08108108108108109,0.03125942305759373,0.20012631958855906,-0.36087239969181534,-0.4247063011747953,0.09185441941074524,-0.21603563474387527,-0.6546048791875803,-0.14020112658534056,-0.2444276539478655,-0.152845998266397,-0.13558074488443986,-0.5007652503461847,NA,0.16500383729854182,0.38384299406663624,-0.11475409836065574
reason,,,,NA,-0.2849205124247569,-0.3119634295908128,0.2818746850327566,NA,0.6048064085447263,-0.31982633863965265,0.49133901567225735,0.026493721539947564,-0.08565858413549408,-0.20536978700037573,-0.2525389302640487,-0.12223756906077347,-0.2413566019097794,-0.2591021562389537,0.07496303037197133,-0.25593227075797925,0.033111600187937386,0.2384931312845206,-0.06718221362977284,0.18482576091751213,NA,-0.3303471444568869,0.20645595158036315,-0.5549738219895288
result,,,,,NA,0.2528900439107447,0.1237147054023176,NA,0.37719298245614036,0.4768588770864947,-0.11557672203507957,-0.09122749186204623,0.007089571980318502,-0.12436452881220104,-0.14247339601198472,-0.2999071494893222,-0.19563726162710934,0.3351278600269179,-0.16363450531479967,0.09716164530631416,-0.36176048611697187,-0.13362541073384446,0.32838283828382836,0.09347774899929362,NA,0.6325823223570191,0.19186785260482847,0.2977310459324848
arg1-as-cond,,,,,,NA,0.11684782608695653,NA,NA,0.42907801418439717,0.010526315789473684,0.05873821609862219,0.3052651587150732,0.18601694915254238,0.21585903083700442,-0.23429541595925296,-0.3474779823859087,0.3235294117647059,-0.480963045912654,-0.02125,-0.29064853940841445,0.23476070528967255,0.25076452599388377,-0.2596401028277635,NA,NA,NA,NA
arg2-as-cond,,,,,,,NA,NA,0.8831168831168831,0.1601123595505618,0.36551724137931035,0.14866931783420007,0.014724989172802079,-0.38996138996138996,0.16529543754674644,-0.3315508021390374,NA,-0.2548262548262548,0.4908256880733945,-0.29678266579120155,0.14210327930644553,-0.03005780346820809,NA,0.6190959878110716,NA,NA,NA,NA
arg1-as-negcond,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-negcond,,,,,,,,,NA,NA,NA,0.5107632093933464,NA,0.6881443298969072,NA,-0.490272373540856,NA,NA,0.7,NA,NA,0.8580645161290322,NA,NA,NA,NA,NA,NA
arg1-as-goal,,,,,,,,,,NA,0.16591251885369532,-0.06870229007633588,-0.13013698630136986,-0.17993630573248406,0.08869814020028613,-0.22319034852546918,0.4270833333333333,0.42630771852104277,-0.1567887931034483,0.16365280289330922,-0.47573175250092625,NA,0.29245283018867924,0.07142857142857142,NA,NA,NA,0.4395229982964225
