,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,1.0,0.06040268456375839,0.037037037037037035,0.027906976744186046,0.03180212014134275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.04,0.01694915254237288,0.03722504230118443,0.0,0.0,0.0,0.02631578947368421,0.0215311004784689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precedence,,1.0,0.22388059701492538,0.010067114093959731,0.18095238095238095,0.00819672131147541,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.029411764705882353,0.007194244604316547,0.06615384615384616,0.0,0.0,0.009216589861751152,0.01935483870967742,0.060669456066945605,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0
succession,,,1.0,0.013392857142857142,0.03832752613240418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022556390977443608,0.0,0.026533996683250415,0.01818181818181818,0.0,0.006944444444444444,0.012048192771084338,0.018823529411764704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reason,,,,1.0,0.058394160583941604,0.005405405405405406,0.01092896174863388,0.0,0.0,0.0,0.03763440860215054,0.004830917874396135,0.005050505050505051,0.02247191011235955,0.0049504950495049506,0.14545454545454545,0.005208333333333333,0.028846153846153848,0.05223880597014925,0.0091324200913242,0.14688128772635814,0.00546448087431694,0.0,0.0053475935828877,0.0,0.0,0.0,0.0
result,,,,,1.0,0.011811023622047244,0.00392156862745098,0.0,0.0,0.015748031496062992,0.015384615384615385,0.014545454545454545,0.011235955056179775,0.03303303303303303,0.007352941176470588,0.15826330532212884,0.011494252873563218,0.04395604395604396,0.04129793510324484,0.04659498207885305,0.10517241379310345,0.0,0.007905138339920948,0.007782101167315175,0.0,0.0,0.0,0.0
arg1-as-cond,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017331022530329288,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-cond,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001736111111111111,0.0,0.0,0.00980392156862745,0.0,0.005141388174807198,0.0,0.0,0.125,0.0,0.0,0.0,0.0
arg1-as-negcond,,,,,,,,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA
arg2-as-negcond,,,,,,,,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA
arg1-as-goal,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
