,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA
succession,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reason,,,,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11821234823043142,NA,NA,NA,NA,0.16016129032258064,NA,NA,NA,NA,NA,NA,NA
result,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083005912645432,NA,NA,NA,NA,0.0744530698659139,NA,NA,NA,NA,NA,NA,NA
arg1-as-cond,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-cond,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-negcond,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-negcond,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-goal,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-goal,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,,,,,,,NA,NA,0.11528592375366568,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
disjunction,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-detail,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
equivalence,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
arg1-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
