,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,9.813427854295896e-198,0.7936662613955339,0.9538572387968022,0.6428745198223474,0.6089258690650479,fisher,fisher,fisher,fisher,fisher,fisher,0.9538572387968022,0.9538572387968022,0.8469680816269998,fisher,0.4680569721533726,0.9538572387968022,0.9538572387968022,0.8540889389387878,0.9347444391343294,0.5396147847202862,fisher,fisher,0.9538572387968022,fisher,fisher,fisher,fisher
precedence,,9.813427854295896e-198,0.8801023299492842,0.22676488352483404,0.18231443298387368,fisher,fisher,fisher,fisher,fisher,fisher,0.8801023299492842,0.8801023299492842,0.6149053185723437,fisher,0.05854219036900189,0.8801023299492842,0.8801023299492842,0.6316526147002428,0.8309853423412334,0.10981940881523686,fisher,fisher,0.8801023299492842,fisher,fisher,fisher,fisher
succession,,,9.813427854295896e-198,0.7891536207426482,0.7679573089798519,fisher,fisher,fisher,fisher,fisher,fisher,0.9733792046638606,0.9733792046638606,0.9113801407515953,fisher,0.6755928843314973,0.9733792046638606,0.9733792046638606,0.9155357583519905,0.962338558695971,0.7235262679679101,fisher,fisher,0.9733792046638606,fisher,fisher,fisher,fisher
reason,,,,9.813427854296455e-198,0.018062655671126745,fisher,fisher,fisher,fisher,fisher,fisher,0.7891536207426482,0.7891536207426482,0.37246135772259503,fisher,0.0007980322590794087,0.7891536207426482,0.7891536207426482,0.3953867742754238,0.7051445094955777,0.0045863920802535025,fisher,fisher,0.7891536207426482,fisher,fisher,fisher,fisher
result,,,,,9.813427854296455e-198,fisher,fisher,fisher,fisher,fisher,fisher,0.7679573089798519,0.7679573089798519,0.32509022640791013,fisher,0.0026145310758096127,0.7679573089798519,0.7679573089798519,0.3483837141873738,0.6763178673426924,0.001761701921433807,fisher,fisher,0.7679573089798519,fisher,fisher,fisher,fisher
arg1-as-cond,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-cond,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-negcond,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-negcond,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-goal,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-goal,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
