,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
asynchronous,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
cause,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
condition,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
negative-condition,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
purpose,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
concession,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
contrast,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
similarity,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
conjunction,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
disjunction,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
instantiation,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
level-of-detail,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used
equivalence,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used
manner,,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used
exception,,,,,,,,,,,,,,,,chi2_used,chi2_used
substitution,,,,,,,,,,,,,,,,,chi2_used
