,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.06321839080459771,0.03455723542116631,0.0,0.0,0.0,0.05263157894736842,0.04,0.01694915254237288,0.03722504230118443,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
asynchronous,,1.0,0.14453125,0.006535947712418301,0.0,0.012048192771084338,0.014705882352941176,0.039473684210526314,0.006024096385542169,0.08433734939759036,0.00641025641025641,0.014285714285714285,0.07889908256880734,0.0,0.0064516129032258064,0.0,0.0
cause,,,1.0,0.013574660633484163,0.0,0.04054054054054054,0.04375,0.03913894324853229,0.006550218340611353,0.2803030303030303,0.008948545861297539,0.08646616541353383,0.23356643356643356,0.0022675736961451248,0.01580135440180587,0.0,0.0
condition,,,,1.0,0.0,0.034482758620689655,0.014705882352941176,0.0,0.0,0.0051813471502590676,0.0,0.013888888888888888,0.004464285714285714,0.0,0.058823529411764705,0.0,0.0
negative-condition,,,,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA
purpose,,,,,,1.0,0.0,0.0,0.0,0.024054982817869417,0.0,0.012658227848101266,0.015317286652078774,0.0,0.0,0.0,0.0
concession,,,,,,,1.0,0.1968503937007874,0.012345679012345678,0.05132450331125828,0.0,0.041884816753926704,0.03711340206185567,0.0,0.0,0.01639344262295082,0.0
contrast,,,,,,,,1.0,0.037037037037037035,0.08482871125611746,0.030303030303030304,0.026905829596412557,0.047151277013752456,0.0,0.0,0.01098901098901099,0.0
similarity,,,,,,,,,1.0,0.034782608695652174,0.06666666666666667,0.006329113924050633,0.02207505518763797,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,1.0,0.008620689655172414,0.13738019169329074,0.45350500715307585,0.003484320557491289,0.006896551724137931,0.0,0.0
disjunction,,,,,,,,,,,1.0,0.0,0.004434589800443459,0.0,0.0,0.0,0.0
instantiation,,,,,,,,,,,,1.0,0.11538461538461539,0.0,0.0,0.0,0.0
level-of-detail,,,,,,,,,,,,,1.0,0.002257336343115124,0.0044444444444444444,0.0,0.0
equivalence,,,,,,,,,,,,,,1.0,0.0,0.0,0.0
manner,,,,,,,,,,,,,,,1.0,0.0,0.0
exception,,,,,,,,,,,,,,,,1.0,0.0
substitution,,,,,,,,,,,,,,,,,NA
