,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,9.813427854296455e-198,0.6501850889284595,0.02918421913847642,0.8999113522497515,fisher_used,0.8010662405591028,0.5696851939935592,0.40408254734490556,0.7573665542358292,0.25106814715839443,0.7780466572497128,0.26975717528135634,0.00949872568027963,fisher_used,0.8999113522497515,fisher_used,fisher_used
asynchronous,,9.813427854297013e-198,0.11688791595377981,0.7265205600125757,fisher_used,0.4834993382834917,0.11388727697915291,0.4247498801740547,0.3902741560905394,7.247387201134595e-06,0.43314123293488926,0.007539040734652845,2.0467406433283327e-08,fisher_used,0.7265205600125757,fisher_used,fisher_used
cause,,,9.813427854296455e-198,0.4661017545093423,fisher_used,0.6839005080198093,0.019071457024734114,3.0353486542126235e-05,0.35259922565905977,8.254106879211757e-24,0.48954088050002653,0.0004044403706425147,4.9306861184719776e-15,fisher_used,0.4661017545093423,fisher_used,fisher_used
condition,,,,9.813427854295896e-198,fisher_used,0.9466991589028205,0.8801023299492842,0.8248029029417031,0.9346715693413772,0.255769615113107,0.9403857224893594,0.7696635635263114,0.49137168513663354,fisher_used,0.9733792046638606,fisher_used,fisher_used
negative-condition,,,,,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used,fisher_used
purpose,,,,,,9.813427854296455e-198,0.7625120967344708,0.6574154749020111,0.8695644866423404,0.0776014524595547,0.8809063746157514,0.5574659440595285,0.7601479070591269,fisher_used,0.9466991589028205,fisher_used,fisher_used
concession,,,,,,,9.813427854295896e-198,5.571923024941254e-08,0.7110013523228791,0.008947518879262845,0.7353328639456614,0.6278980304982301,0.03220975724282915,fisher_used,0.8801023299492842,fisher_used,fisher_used
contrast,,,,,,,,9.813427854297013e-198,0.1620392063395132,0.01934629006151772,0.10308727299683153,0.05208031220402254,0.0003860086172577051,fisher_used,0.8248029029417031,fisher_used,fisher_used
similarity,,,,,,,,,9.813427854296455e-198,0.7536456218127328,0.8542513147536425,0.47198673485419207,0.9487030164706399,fisher_used,0.9346715693413772,fisher_used,fisher_used
conjunction,,,,,,,,,,9.813427854296455e-198,0.8683372089438073,0.08079863759404401,0.6865632241949895,fisher_used,0.37836415825016134,fisher_used,fisher_used
disjunction,,,,,,,,,,,9.813427854296455e-198,0.5116853178563837,0.12304022061886855,fisher_used,0.9403857224893594,fisher_used,fisher_used
instantiation,,,,,,,,,,,,9.813427854295896e-198,0.038877814164999996,fisher_used,0.7696635635263114,fisher_used,fisher_used
level-of-detail,,,,,,,,,,,,,9.813427854295896e-198,fisher_used,0.49137168513663354,fisher_used,fisher_used
equivalence,,,,,,,,,,,,,,fisher_used,fisher_used,fisher_used,fisher_used
manner,,,,,,,,,,,,,,,9.813427854295896e-198,fisher_used,fisher_used
exception,,,,,,,,,,,,,,,,fisher_used,fisher_used
substitution,,,,,,,,,,,,,,,,,fisher_used
