,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.04081632653061224,0.037316849816849816,0.0,0.0,0.0,0.0,0.0,0.0,0.14794620138131587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asynchronous,,1.0,0.1810243328100471,0.0,0.0,0.0,0.0,0.05102040816326531,0.0,0.1402347198421353,0.0,0.012144294337453291,0.047825012357884326,0.0,0.0,0.0,0.0
cause,,,1.0,0.0,0.0,0.1266025641025641,0.05320512820512821,0.027014652014652012,0.08493589743589743,0.18686386768447838,0.1016025641025641,0.0950929938605995,0.15996805962203886,0.0,0.0,0.0,0.0
condition,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.5012722646310432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
negative-condition,,,,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA
purpose,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12673010380622837,0.0,0.0,0.0,0.0
concession,,,,,,,1.0,0.22142857142857142,0.0,0.07881679389312977,0.0,0.03204225352112676,0.05346020761245675,0.0,0.0,0.0,0.0
contrast,,,,,,,,1.0,0.09523809523809523,0.1449472918938568,0.11190476190476191,0.0,0.04090459713297083,0.0,0.0,0.0,0.0
similarity,,,,,,,,,1.0,0.2538167938931298,0.0,0.0,0.1701268742791234,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,1.0,0.20254452926208652,0.1995484356520804,0.38730552840804033,0.0,0.0,0.0,0.0
disjunction,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
instantiation,,,,,,,,,,,,1.0,0.13158535991032702,0.0,0.0,0.0,0.0
level-of-detail,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
equivalence,,,,,,,,,,,,,,NA,0.0,NA,NA
manner,,,,,,,,,,,,,,,1.0,0.0,0.0
exception,,,,,,,,,,,,,,,,NA,NA
substitution,,,,,,,,,,,,,,,,,NA
