,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,4.218387164569786e-31,1.0,0.04296664130598717,1.0,1.0,1.0,1.0,1.0,1.0,chi2,1.0,0.6178235008118991,0.006964351636147359,1.0,1.0,1.0,1.0
asynchronous,,chi2,chi2,1.0,1.0,1.0,0.15386734517430062,0.6117997884280562,1.0,chi2,1.0,chi2,chi2,1.0,1.0,1.0,1.0
cause,,,chi2,1.0,1.0,1.0,chi2,chi2,0.6704865655961667,chi2,0.6639150726023582,chi2,chi2,1.0,1.0,1.0,1.0
condition,,,,0.0011111111111111111,1.0,1.0,1.0,1.0,1.0,0.43666666666666665,1.0,1.0,1.0,1.0,1.0,1.0,1.0
negative-condition,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
purpose,,,,,,3.682478846936994e-11,1.0,1.0,1.0,0.13623187687713728,1.0,1.0,1.0,1.0,1.0,1.0,1.0
concession,,,,,,,2.4753023091245817e-41,0.00017118824665996127,1.0,chi2,1.0,1.0,chi2,1.0,1.0,1.0,1.0
contrast,,,,,,,,3.1010251726862024e-73,0.24991088158852057,chi2,0.21297800588713472,0.06969267360799011,chi2,1.0,1.0,1.0,1.0
similarity,,,,,,,,,1.3776232717491747e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
conjunction,,,,,,,,,,chi2,1.0,chi2,chi2,1.0,1.0,1.0,1.0
disjunction,,,,,,,,,,,2.054954713692519e-13,1.0,0.1825259591328937,1.0,1.0,1.0,1.0
instantiation,,,,,,,,,,,,chi2,chi2,1.0,1.0,1.0,1.0
level-of-detail,,,,,,,,,,,,,chi2,1.0,1.0,1.0,1.0
equivalence,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
manner,,,,,,,,,,,,,,,0.0011111111111111111,1.0,1.0
exception,,,,,,,,,,,,,,,,1.0,1.0
substitution,,,,,,,,,,,,,,,,,1.0
