,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,NA,0.32709284627092844,NA,NA,NA,NA,NA,NA,0.1523809523809524,NA,NA,0.05738418669453152,NA,NA,NA,NA
cause,,,NA,NA,NA,NA,NA,0.0,NA,0.09372679304279852,NA,0.0,0.11141020710871834,NA,NA,NA,NA
condition,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
negative-condition,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
purpose,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,NA,NA,0.11528592375366568,NA,NA,0.0,NA,NA,NA,NA
similarity,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,NA,NA,0.26156433978132887,NA,NA,NA,NA,NA
disjunction,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
instantiation,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
level-of-detail,,,,,,,,,,,,,NA,NA,NA,NA,NA
equivalence,,,,,,,,,,,,,,NA,NA,NA,NA
manner,,,,,,,,,,,,,,,NA,NA,NA
exception,,,,,,,,,,,,,,,,NA,NA
substitution,,,,,,,,,,,,,,,,,NA
